Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
619,29817,30657,-863,13468,-989,360,-720,29817,665,16177,-2208,345,309,-61,33398,6618,-32353,1852,493,975,-312,33398,-9958,-31004,9073,-145,368,-48,29817,57,32188,3309,-478,804,165,2,2
620,33399,30651,-895,13468,-1009,360,-732,33399,663,16173,-2208,343,281,-61,33420,6618,-32353,1852,463,975,-312,33420,-9958,-31013,9062,-150,368,-48,33399,6,32188,3309,-494,804,165,2,2
621,33421,30651,-979,13515,-1039,413,-750,33421,648,16173,-2204,339,261,-61,33442,6465,-32392,1913,436,1040,-309,33442,-9918,-31081,9016,-150,362,-127,33421,-31,32193,3377,-495,810,220,2,2
622,33443,30676,-979,13523,-1039,415,-750,33443,648,16176,-2204,339,261,-56,33464,6465,-32392,1915,436,1040,-301,33464,-9826,-31081,9016,-133,362,-127,33443,-31,32203,3377,-495,810,224,2,2
623,33465,30676,-1042,13523,-1066,415,-767,33465,637,16176,-2207,339,252,-56,33486,6327,-32422,1915,416,1040,-301,33486,-9826,-31132,8982,-133,358,-212,33465,-31,32203,3377,-495,810,224,2,2
624,33487,30659,-1089,13564,-1095,416,-791,33487,637,16173,-2223,345,245,-24,33508,6213,-32444,1960,370,1084,-274,33508,-9629,-31171,8958,-97,320,-276,33487,118,32214,3250,-451,658,260,2,2
625,33509,30659,-1089,13570,-1095,416,-791,33509,658,16173,-2223,346,245,-24,33530,6213,-32444,1962,370,1084,-274,33530,-9629,-31171,8958,-97,320,-276,33509,194,32214,3250,-365,658,260,2,2
626,33531,30659,-1114,13570,-1136,400,-792,33531,658,16170,-2250,346,221,-24,33552,6196,-32455,1962,326,1084,-274,33552,-9629,-31208,8940,-97,291,-329,33531,194,32214,3203,-365,481,260,2,2
627,33553,30668,-1114,13589,-1169,361,-792,33553,733,16168,-2270,366,203,19,33574,6183,-32457,1963,248,1117,-242,33574,-9489,-31236,8929,-83,270,-368,33553,295,32212,3152,-254,307,272,2,2
628,33575,30698,-1107,13589,-1169,361,-790,33575,736,16168,-2270,366,203,45,33596,6183,-32457,1963,248,1117,-242,33596,-9489,-31236,8929,-83,270,-368,33575,335,32212,3152,-210,307,272,2,2
629,33597,30698,-1107,13589,-1175,329,-790,33597,736,16168,-2282,366,203,45,33618,6173,-32458,1963,235,1117,-242,33618,-9489,-31257,8929,-83,270,-421,33597,335,32212,3130,-210,190,272,2,2
630,33619,30725,-1074,13605,-1180,302,-782,33619,794,16169,-2291,361,209,86,33640,6084,-32459,1936,220,1021,-211,33640,-9384,-31280,8926,-83,286,-486,33619,441,32215,3097,-86,89,337,2,2
631,33641,30725,-1052,13605,-1180,302,-782,33641,794,16176,-2291,361,231,86,33662,6084,-32459,1936,220,1021,-211,33662,-9384,-31280,8924,-83,286,-486,33641,441,32215,3097,-77,89,339,2,2
632,33663,30725,-1052,13553,-1184,290,-782,33663,794,16176,-2319,357,231,86,33684,6017,-32482,1902,209,1021,-211,33684,-9384,-31296,8924,-102,273,-534,33663,441,32215,3054,-77,-71,339,2,2
633,33685,30746,-1023,13476,-1223,290,-791,33685,836,16175,-2345,357,270,113,33706,5967,-32485,1874,186,1116,-266,33706,-9237,-31308,8899,-122,256,-570,33685,542,32217,2998,-9,-205,365,2,2
634,33707,30746,-1009,13476,-1223,304,-791,33707,836,16175,-2345,365,270,113,33728,5967,-32485,1874,186,1116,-266,33728,-9209,-31308,8899,-122,256,-570,33707,548,32217,2998,-9,-205,365,2,2
635,33729,30746,-1009,13413,-1280,304,-806,33729,836,16163,-2364,365,270,113,33750,5951,-32485,1809,173,1116,-309,33750,-9209,-31308,8880,-137,256,-597,33729,548,32208,2956,-9,-276,365,2,2
636,33751,30729,-976,13351,-1386,336,-826,33751,882,16152,-2379,379,222,133,33772,5939,-32475,1760,173,1249,-390,33772,-9076,-31301,8866,-143,290,-617,33751,665,32190,2895,-5,-299,365,2,2
637,33773,30729,-938,13351,-1386,347,-826,33773,882,16152,-2379,379,222,133,33794,5939,-32469,1760,174,1249,-390,33794,-9076,-31301,8855,-143,290,-617,33773,665,32190,2895,-5,-299,365,2,2
638,33795,30717,-938,13319,-1504,347,-871,33795,882,16141,-2400,379,179,133,33816,5930,-32469,1750,174,1249,-455,33816,-9076,-31301,8855,-143,290,-617,33795,665,32176,2865,-18,-299,359,2,2
639,33817,30700,-899,13319,-1599,464,-907,33817,938,16124,-2410,397,121,130,33838,5927,-32463,1742,197,1407,-503,33838,-8970,-31295,8819,-134,312,-502,33817,754,32176,2842,-51,-290,288,2,2
640,33839,30700,-899,13335,-1599,468,-907,33839,969,16124,-2410,397,121,130,33860,5927,-32463,1742,197,1438,-503,33860,-8970,-31295,8819,-134,312,-499,33839,754,32180,2842,-51,-289,288,2,2
641,33861,30700,-899,13335,-1662,468,-931,33861,969,16111,-2420,397,63,128,33882,5927,-32471,1742,197,1438,-518,33882,-8970,-31319,8774,-134,312,-499,33861,754,32180,2842,-120,-289,229,2,2
642,33883,30715,-882,13347,-1698,553,-956,33883,1022,16111,-2427,412,12,127,33904,5945,-32471,1744,220,1582,-521,33904,-8937,-31337,8740,-118,331,-416,33883,789,32183,2853,-230,-281,144,2,2
643,33905,30715,-870,13371,-1698,553,-956,33905,1022,16112,-2427,412,12,127,33926,5947,-32449,1746,220,1582,-521,33926,-8937,-31337,8740,-116,339,-416,33905,789,32183,2853,-230,-264,144,2,2
644,33927,30715,-870,13371,-1722,553,-967,33927,1022,16112,-2433,412,-26,126,33948,5947,-32449,1747,220,1582,-521,33948,-8937,-31350,8735,-116,339,-416,33927,789,32183,2853,-308,-264,69,2,2
