Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
765,31689,27674,-2452,19297,-955,412,-651,31689,1139,16231,-1651,345,359,-95,31690,80,31903,8785,302,1088,-143,31690,-7517,-32076,6342,-68,271,-44,31689,3932,31720,5177,-168,332,217,2,4
766,31711,27674,-2452,19307,-947,412,-651,31711,1139,16231,-1651,345,369,-95,31712,80,31903,8785,302,1098,-143,31712,-7517,-32074,6342,-68,271,-44,31711,3929,31720,5177,-168,337,217,2,4
767,31733,27669,-2452,19307,-946,412,-651,31733,1120,16231,-1651,345,375,-95,31734,80,31903,8785,300,1098,-143,31734,-7535,-32074,6338,-68,260,-44,31733,3921,31720,5177,-168,337,212,2,4
768,31755,27648,-2441,19398,-946,378,-648,31755,1087,16234,-1653,340,376,-92,31756,48,31909,8792,299,1078,-128,31756,-7549,-32073,6331,-67,252,-52,31755,3898,31722,5186,-161,338,203,2,4
769,31777,27648,-2441,19398,-946,378,-648,31777,1087,16234,-1653,340,380,-84,31778,48,31909,8792,299,1078,-128,31778,-7549,-32070,6331,-60,252,-52,31777,3898,31722,5212,-161,337,203,2,4
770,31799,27626,-2441,19398,-959,345,-648,31799,1053,16234,-1655,340,380,-84,31800,-6,31907,8792,299,1042,-128,31800,-7549,-32070,6330,-60,252,-53,31799,3875,31722,5212,-161,337,203,2,4
771,31821,27601,-2440,19448,-979,320,-653,31821,1021,16238,-1657,344,381,-75,31822,-72,31906,8780,317,1015,-111,31822,-7551,-32070,6329,-51,269,-54,31821,3850,31725,5263,-159,336,207,2,4
772,31843,27601,-2440,19448,-979,320,-653,31843,1021,16238,-1657,344,381,-74,31844,-72,31906,8780,317,1015,-111,31844,-7551,-32068,6329,-49,269,-54,31843,3850,31725,5263,-159,336,216,2,4
773,31865,27583,-2442,19448,-995,320,-656,31865,998,16238,-1657,344,381,-74,31866,-122,31905,8763,317,1007,-111,31866,-7553,-32068,6329,-49,269,-60,31865,3831,31719,5263,-159,336,216,2,4
774,31887,27573,-2442,19498,-1007,328,-659,31887,985,16240,-1656,347,367,-66,31888,-159,31905,8756,335,1007,-104,31888,-7554,-32065,6344,-43,282,-65,31887,3805,31719,5311,-153,329,217,2,4
775,31909,27573,-2441,19522,-1007,328,-659,31909,985,16241,-1656,347,367,-66,31910,-159,31908,8756,335,1010,-104,31910,-7554,-32065,6344,-43,282,-65,31909,3805,31719,5311,-145,329,217,2,4
776,31931,27566,-2441,19522,-1007,328,-659,31931,985,16241,-1656,347,355,-66,31932,-185,31908,8751,335,1010,-104,31932,-7554,-32065,6344,-45,282,-68,31931,3785,31715,5311,-145,323,217,2,4
777,31953,27550,-2446,19615,-997,310,-659,31953,987,16245,-1654,350,346,-65,31954,-204,31911,8747,344,1015,-102,31954,-7551,-32062,6360,-47,283,-69,31953,3764,31690,5313,-133,323,228,2,4
778,31975,27550,-2446,19615,-990,310,-650,31975,988,16245,-1654,350,346,-65,31976,-204,31911,8747,344,1027,-98,31976,-7551,-32062,6360,-47,283,-69,31975,3764,31690,5313,-130,341,231,2,4
779,31997,27524,-2446,19615,-990,293,-650,31997,988,16245,-1654,350,346,-65,31998,-219,31905,8744,328,1027,-98,31998,-7551,-32062,6360,-47,271,-69,31997,3749,31671,5313,-130,341,231,2,4
780,32019,27499,-2456,19617,-984,284,-637,32019,982,16246,-1654,355,356,-63,32020,-238,31900,8722,314,1056,-77,32020,-7567,-32054,6394,-47,256,-53,32019,3727,31671,5306,-123,359,231,2,4
781,32041,27499,-2456,19617,-984,284,-634,32041,982,16246,-1654,356,361,-59,32042,-238,31900,8722,314,1056,-77,32042,-7567,-32050,6394,-40,256,-53,32041,3727,31683,5306,-123,359,231,2,4
782,32063,27499,-2464,19617,-984,284,-634,32063,963,16246,-1657,356,361,-59,32064,-252,31900,8705,314,1056,-77,32064,-7579,-32050,6394,-40,253,-53,32063,3707,31683,5306,-123,359,231,2,4
783,32085,27500,-2474,19612,-980,287,-619,32085,948,16249,-1663,350,372,-54,32086,-269,31909,8705,314,1048,-76,32086,-7596,-32047,6399,-42,251,-65,32085,3696,31720,5313,-122,363,245,2,4
784,32107,27500,-2474,19612,-980,290,-619,32107,948,16249,-1663,350,372,-54,32108,-269,31909,8722,314,1048,-76,32108,-7596,-32043,6399,-42,251,-65,32107,3696,31720,5327,-122,363,251,2,4
785,32129,27500,-2474,19612,-983,290,-619,32129,948,16249,-1666,346,372,-54,32130,-281,31909,8722,314,1036,-81,32130,-7598,-32041,6399,-52,250,-75,32129,3696,31720,5327,-122,363,251,2,4
786,32151,27493,-2453,19623,-986,303,-612,32151,956,16248,-1669,346,367,-54,32152,-290,31907,8735,313,1027,-85,32152,-7600,-32040,6407,-60,249,-82,32151,3712,31728,5345,-119,353,260,2,4
