Timestep,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,IMU1_a_mag,IMU1_g_mag,IMU1_pitch,IMU1_roll,IMU1_jerk_a_mag,IMU1_yaw_int,IMU2_a_mag,IMU2_g_mag,IMU2_pitch,IMU2_roll,IMU2_jerk_a_mag,IMU2_yaw_int,IMU3_a_mag,IMU3_g_mag,IMU3_pitch,IMU3_roll,IMU3_jerk_a_mag,IMU3_yaw_int,IMU4_a_mag,IMU4_g_mag,IMU4_pitch,IMU4_roll,IMU4_jerk_a_mag,IMU4_yaw_int,IMU5_a_mag,IMU5_g_mag,IMU5_pitch,IMU5_roll,IMU5_jerk_a_mag,IMU5_yaw_int,IMU1_qw,IMU1_qx,IMU1_qy,IMU1_qz,IMU2_qw,IMU2_qx,IMU2_qy,IMU2_qz,IMU3_qw,IMU3_qx,IMU3_qy,IMU3_qz,IMU4_qw,IMU4_qx,IMU4_qy,IMU4_qz,IMU5_qw,IMU5_qx,IMU5_qy,IMU5_qz,REL_LH_pitch,REL_LH_roll,REL_RH_pitch,REL_RH_roll,REL_LK_pitch,REL_LK_roll,REL_RK_pitch,REL_RK_roll,REL_THIGH_yaw,REL_ANKLE_yaw,move,label
0,0.82269895,-1.7711579,0.4975704,0.22224012,0.4495828,0.95226294,1.3035313,0.20622745,0.16037133,-0.20306575,-0.004472055,0.08618499,-0.23429182,0.78850824,-0.16426505,0.123585254,0.16964771,0.3161713,-0.5094412,-0.59972894,0.03581115,0.0454379,0.051381234,0.13977416,0.23529601,0.48598075,-1.8091347,0.039073896,-0.09198295,0.15964429,0.78075075,-0.2652686,-0.6601795,0.24010444,1.3567397e-05,0.7914515,0.43297,0.41133025,-0.60305315,-0.07167529,0.086600065,-0.543909,-1.2390887,0.06932467,-0.0014001053,0.63103426,0.48555312,0.16280864,-1.2452283,1.2092727,0.61562616,-0.6433363,0.00054938835,0.58448833,-0.00082696596,0.8445451,0.51611507,0.82952154,-0.36539286,0.46301252,0.4953041,-0.65702343,0.4514275,-0.52523345,-0.0026284144,0.8070482,0.40800732,-0.5787005,0.47472653,0.48219967,0.5135969,-0.61277366,-0.08173622,0.56923246,-0.0033960624,-0.26631936,-0.41978985,0.6810394,-0.04794627,0.19931008,0.17445372,-0.17783308,0.6510187,0.30387446,1.1057091,-0.46424243,-0.033421326,-0.28622824,-0.7785526,0.6808595,4,3
1,0.8229867,-1.7711579,0.4975704,0.22224012,0.4495828,0.95226294,1.3035313,0.20622745,0.1668651,-0.20306575,-0.004472055,0.08618499,-0.23102124,0.78850824,-0.16426505,0.123585254,0.16964771,0.31827056,-0.5094412,-0.59972894,0.03581115,0.0454379,0.051381234,0.13977416,0.23529601,0.48598075,-1.8091347,0.039073896,-0.09198295,0.15964429,0.7813753,-0.2652686,-0.66026336,0.24010444,0.014948786,0.79390395,0.43963176,0.40632302,-0.5940426,-0.07684891,0.086365946,-0.543909,-1.2391692,0.067242384,-0.01380057,0.6306408,0.4903917,0.16164425,-1.2438073,1.20987,0.6143281,-0.6438656,-0.0017386077,0.58448833,-0.028016225,0.8441105,0.51455915,0.83056253,-0.36028978,0.4657364,0.4953041,-0.65702343,0.4514275,-0.52523345,-0.0026284144,0.80647826,0.40632886,-0.5793808,0.47416124,0.48084173,0.5135969,-0.61277366,-0.08173622,0.56923246,-0.0033960624,-0.26439825,-0.41522682,0.6791321,-0.052288964,0.1999996,0.17450728,-0.17893271,0.65021366,0.30387446,1.1057683,-0.4634184,-0.03172167,-0.28622824,-0.77817446,0.6794872,4,3
2,0.82332283,-1.7825506,0.4975704,0.22224012,0.4436887,0.95226294,1.3035313,0.206079,0.16899584,-0.20306575,-0.004472055,0.08618499,-0.22994801,0.78850824,-0.16426505,0.123585254,0.16964771,0.3189594,-0.5094412,-0.59999925,0.03464903,0.0454379,0.051381234,0.13977416,0.23529601,0.48598075,-1.8091347,0.039073896,-0.09253745,0.15964429,0.7824246,-0.27231362,-0.66019696,0.23892844,0.03001611,0.79635644,0.44602486,0.40131232,-0.58527386,-0.08191118,0.086136326,-0.543909,-1.2392483,0.06657503,-0.017628578,0.63024735,0.49516112,0.16049515,-1.2424062,1.2104598,0.61390215,-0.64403915,-0.0024893873,0.58448833,-0.018669914,0.84367573,0.5130169,0.8315851,-0.35525623,0.46842453,0.4961904,-0.65702343,0.45134857,-0.52541625,0.018127523,0.8059083,0.40466315,-0.58005506,0.47360256,0.47950193,0.5135969,-0.6126861,-0.08173622,0.56923246,-0.0033960624,-0.2624771,-0.41073564,0.67724764,-0.056581248,0.20067045,0.17440656,-0.17823489,0.6498569,0.3046188,1.1057923,-0.46330646,-0.031163946,-0.28622824,-0.77779627,0.67811483,4,3
3,0.8235589,-1.7962282,0.5275074,0.2371205,0.42944726,0.9514765,1.3035313,0.20593402,0.17158051,-0.20267442,-0.0032235747,0.08786149,-0.22570384,0.79023236,-0.16300105,0.12666844,0.1857391,0.32195416,-0.5092171,-0.600367,0.032859866,0.048173323,0.053994875,0.14165828,0.23621349,0.48575902,-1.8075529,0.04092968,-0.09307903,0.15844202,0.7964178,-0.29056334,-0.6535873,0.24466133,0.34462547,0.7987989,0.4521968,0.39670655,-0.5767862,-0.086542666,0.08589508,-0.5441738,-1.2393314,0.06576124,-0.018120024,0.6299031,0.49987665,0.15934603,-1.2410806,1.211114,0.6184971,-0.638497,-0.006194698,0.58451736,0.09541558,0.8432985,0.51143,0.83266026,-0.35018203,0.4715131,0.49731043,-0.6586455,0.45104748,-0.5256897,0.033746418,0.8053883,0.4030482,-0.5807022,0.47316852,0.47823966,0.5131754,-0.6138826,-0.08251444,0.5689411,-0.013932103,-0.26060015,-0.4063599,0.67540824,-0.060764883,0.2012733,0.16756365,-0.18378414,0.64190465,0.30101278,1.105723,-0.46321198,-0.028725926,-0.28641278,-0.7774689,0.6767989,4,3
4,0.82357585,-1.8035307,0.6132362,0.27973247,0.40515077,0.9492244,1.3035313,0.20593917,0.17899813,-0.20155376,0.0003516222,0.09266236,-0.213522,0.79516953,-0.15938132,0.13559948,0.23181899,0.33053002,-0.50857526,-0.600664,0.030986791,0.056035854,0.06147939,0.14705591,0.23886728,0.48512423,-1.8030231,0.04624394,-0.092821136,0.15499914,0.83416396,-0.32311857,-0.63492763,0.2643675,1.2036607,0.8012223,0.4581939,0.39287874,-0.5686119,-0.09045417,0.08563677,-0.544932,-1.2394204,0.06338111,-0.019727642,0.62965274,0.5045508,0.15818317,-1.2398813,1.211897,0.63164437,-0.6226149,-0.016824905,0.5846007,0.3664166,0.8430308,0.50974447,0.83385336,-0.3449673,0.475398,0.49804008,-0.6632993,0.45040584,-0.52596164,0.020146925,0.8049636,0.40152052,-0.5813033,0.47296637,0.47710884,0.5119727,-0.6175941,-0.08476357,0.5681068,-0.04351786,-0.25880742,-0.40213752,0.67363405,-0.064783126,0.201768,0.14830486,-0.20263793,0.6193889,0.2886046,1.1055107,-0.46249613,-0.021738073,-0.28694117,-0.7772388,0.6755905,4,3
5,0.82465494,-1.8035307,0.6132362,0.27973247,0.40515077,0.9492244,1.3035313,0.20627058,0.18002345,-0.20155376,0.0003516222,0.09266236,-0.21172313,0.79516953,-0.15938132,0.14212258,0.23181899,0.33053002,-0.50857526,-0.600664,0.030986791,0.057908233,0.06147939,0.14719293,0.24055302,0.48512423,-1.8030231,0.04624394,-0.07631542,0.15499914,0.83647597,-0.32311857,-0.63525295,0.2643675,0.34255502,0.8036458,0.4640064,0.3891438,-0.56057847,-0.09427683,0.08594159,-0.544932,-1.2393153,0.063017294,0.010574983,0.62940234,0.5091523,0.15703763,-1.2387048,1.2126611,0.6309481,-0.62189084,-0.018081764,0.5846007,0.07185674,0.8427632,0.50799435,0.83509415,-0.3398802,0.47920063,0.49804008,-0.663857,0.45040584,-0.52596164,0.0027942858,0.8045425,0.40005592,-0.58187926,0.47277462,0.47600564,0.5122459,-0.6201626,-0.086071946,0.5681068,-0.0060379584,-0.2570147,-0.39796326,0.6718739,-0.06848799,0.202528,0.14868285,-0.20282993,0.6192219,0.2886046,1.1054337,-0.46235225,-0.021333082,-0.28694117,-0.77700853,0.6743845,4,3
6,0.8249921,-1.8035307,0.6132362,0.27973247,0.3891018,0.9492244,1.3035313,0.2077412,0.18034388,-0.20155376,-0.00089685834,0.09266236,-0.21116102,0.79516953,-0.15938132,0.14416106,0.23181899,0.33053002,-0.50857526,-0.600664,0.028370459,0.058493353,0.06147939,0.14723575,0.24107987,0.48512423,-1.8030231,0.04624394,-0.07115738,0.15197118,0.8371983,-0.3422145,-0.63535464,0.2643675,0.03544041,0.8060692,0.46937147,0.38535053,-0.5530437,-0.09788566,0.08744412,-0.5451392,-1.2387983,0.06276027,0.08346172,0.62915194,0.5136935,0.1559071,-1.2375485,1.2133915,0.63073045,-0.6216645,-0.018474523,0.5846007,-0.010168335,0.8424955,0.50625974,0.8363128,-0.3348642,0.48295227,0.49747625,-0.66403127,0.45045593,-0.5262739,-0.015827306,0.8041214,0.3985953,-0.58245254,0.47258526,0.4749188,0.51233137,-0.62320554,-0.08648078,0.5681068,0.0009791548,-0.25533313,-0.3938249,0.6701459,-0.07199604,0.20312133,0.14899871,-0.20296578,0.6191697,0.2886046,1.1050754,-0.46251023,-0.021206554,-0.28694117,-0.77677834,0.6732357,4,3
7,0.8252508,-1.8012455,0.644534,0.27596873,0.36677313,0.9652573,1.3035313,0.20909448,0.1824319,-0.20257658,-0.0056496,0.093713984,-0.20734103,0.79631656,-0.1601742,0.1477751,0.23451492,0.33169937,-0.50841904,-0.60104954,0.024876032,0.06185779,0.06516819,0.14689104,0.2427964,0.48550352,-1.8017827,0.050870407,-0.06656028,0.14742722,0.85211617,-0.36809623,-0.62881374,0.2712237,0.35687587,0.80869603,0.47446394,0.3816212,-0.5458431,-0.1010513,0.088764325,-0.5456699,-1.238344,0.06194933,0.10406671,0.6289325,0.5182267,0.15477173,-1.2364895,1.2140961,0.6330543,-0.6203948,-0.02157853,0.58491254,0.047841463,0.8422503,0.5044879,0.8375695,-0.32995355,0.48677608,0.49831897,-0.66410255,0.45024088,-0.5267534,0.010801,0.80369115,0.39719552,-0.58300257,0.47245046,0.47376674,0.513541,-0.6282606,-0.08770356,0.5678713,0.026841938,-0.25376529,-0.38986552,0.6684994,-0.07524148,0.20363641,0.14244597,-0.2095164,0.61151844,0.2845082,1.1046486,-0.46258816,-0.019394862,-0.28738117,-0.7765642,0.6721392,4,3
8,0.82594985,-1.7950855,0.72890204,0.26582304,0.34689546,1.0084761,1.3035467,0.20936385,0.18808194,-0.20533372,-0.015325329,0.09654878,-0.19704361,0.7994085,-0.16231155,0.15751727,0.24178234,0.3348516,-0.50700647,-0.6019747,0.022194862,0.073340766,0.075705916,0.1467369,0.24750245,0.48654038,-1.7984394,0.06334174,-0.05401336,0.14267074,0.8923345,-0.38989824,-0.6111825,0.2897057,1.2879336,0.81168544,0.4794283,0.3780555,-0.5388384,-0.103598215,0.08884727,-0.5465801,-1.2383287,0.060111016,0.0034205958,0.6287679,0.5227904,0.15361625,-1.2355884,1.2147814,0.6393175,-0.6169721,-0.029945798,0.5857532,0.17480244,0.84204495,0.50263834,0.8389106,-0.3251761,0.4907675,0.50138575,-0.66459304,0.44869682,-0.5272233,0.09844681,0.80326515,0.39594615,-0.58349466,0.47244602,0.47251114,0.51685107,-0.6363621,-0.09105676,0.5672366,0.106957965,-0.25231436,-0.38619548,0.6669731,-0.07816902,0.20414369,0.12428918,-0.22699082,0.5908943,0.27346566,1.1039692,-0.46225157,-0.014534111,-0.28856727,-0.77637863,0.6711058,4,3
9,0.8260219,-1.7950855,0.72890204,0.26582304,0.34689546,1.0084761,1.3040377,0.21113133,0.18876548,-0.20533372,-0.015325329,0.09654878,-0.19704361,0.7994085,-0.16231155,0.15751727,0.24178234,0.3348516,-0.4752768,-0.5983203,0.027556976,0.1505764,0.09471421,0.17153893,0.25003114,0.4870094,-1.7984394,0.06334174,-0.049061645,0.13904367,0.8924869,-0.38989824,-0.6112048,0.2897057,0.29856327,0.8146748,0.48425213,0.37456632,-0.53195214,-0.106082425,0.09074796,-0.5465801,-1.238099,0.059709463,0.1027727,0.6286034,0.52728665,0.15247732,-1.2347023,1.2154478,0.6393175,-0.6169721,-0.029945798,0.5857532,0.03937728,0.84183973,0.5008129,0.84021854,-0.32049286,0.4946835,0.48156926,-0.6741387,0.42186984,-0.5259887,-0.45477661,0.80347574,0.3960842,-0.58341116,0.47352922,0.47205746,0.5184312,-0.6396268,-0.0928801,0.56723076,0.062316686,-0.2509924,-0.38255814,0.66548055,-0.08081071,0.20455085,0.124405906,-0.22720288,0.5909163,0.27346566,1.0921931,-0.4610658,-0.015270883,-0.28857037,-0.776193,0.67056763,4,3
