Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,294000,-32431,-3824,12248,2578,1704,576,294000,5674,32469,-2100,1132,2903,-302,294001,-2344,32112,7416,-38,3628,926,294001,-1583,-32672,8832,-91,-250,182,294002,-1576,31824,5376,-276,810,1224,1,0
2,294043,32481,-4088,12240,1830,1662,388,294043,5080,32423,-2360,1460,3803,-332,294044,-2856,31936,7896,-360,3464,874,294044,-967,-32648,8808,-289,-416,490,294043,-1384,32080,5296,-56,650,906,1,0
3,294086,32345,-4432,12096,1736,1954,540,294086,4752,32119,-2188,984,1863,-204,294087,-2544,32064,8000,-14,3250,744,294087,-1735,-32424,8648,-105,-774,328,294085,-928,31936,4744,68,516,758,1,0
4,294128,32753,-4032,12064,1434,2090,406,294128,5396,32371,-2138,712,893,-46,294129,-2336,31896,7664,6,2996,612,294129,-1831,-32536,8696,-9,-54,172,294125,-1560,31776,4952,-196,98,842,1,0
5,294170,-32351,-4408,12392,650,1754,256,294170,5538,32381,-2168,1170,1457,-324,294171,-2064,32320,7832,-542,3488,386,294171,-1455,-32656,8544,61,-22,144,294165,-1528,32104,5168,-142,334,772,1,0
6,294212,-32719,-4184,12112,272,1594,444,294212,5638,32163,-2156,744,1717,-318,294213,-2320,31992,8080,74,1974,16,294213,-1487,-32560,8752,94,72,334,294205,-728,32040,4648,-366,1116,522,1,0
7,294254,-32599,-4120,11840,-430,1482,50,294254,5316,32045,-2448,1046,1057,-184,294255,-1688,31920,7632,10,1734,14,294255,-1287,-32408,8848,40,738,282,294245,-1384,32016,6512,-1116,724,252,1,0
8,294296,-32199,-3944,12024,-950,1072,118,294296,5782,32213,-1820,816,167,-182,294297,-1912,32048,7216,376,855,-646,294297,-1871,-32696,8392,160,410,466,294285,-360,31792,4336,-774,1744,116,1,0
9,294338,-31967,-3824,11880,-1492,272,150,294338,5996,32147,-2778,302,663,-676,294339,-1736,32176,7600,420,737,-1098,294339,-1927,-32440,9224,264,644,166,294325,-1688,32232,5080,-667,-23,-42,1,0
10,294380,-31791,-3856,11456,-1899,-363,-142,294380,5878,32079,-2348,502,253,-994,294381,-1680,31936,7264,398,33,-1588,294381,-1751,-32344,9168,248,940,220,294365,-632,32112,5088,-512,301,-180,1,0
11,294422,-31519,-3568,10768,-1527,-1810,44,294422,6640,32071,-2198,91,-543,-1472,294423,-1712,32392,7256,681,-1183,-2262,294423,-2047,-32440,8408,546,1198,226,294405,-1160,32088,4384,-762,47,-456,1,0
12,294464,-32175,-3360,10536,-1965,-3376,84,294464,6708,32041,-1940,-230,1583,-1826,294465,-2504,31872,7304,871,-1287,-2356,294465,-1527,-32576,8392,1264,2312,282,294445,-1224,32000,5296,-951,-241,-862,1,0
13,294507,-31879,-3584,9712,-1557,-3328,126,294507,5808,32063,-1428,-660,307,-1306,294508,-3256,31696,7384,353,-309,-2178,294508,-1543,-32368,9280,1448,2656,794,294486,-1544,31928,5440,-1214,1091,-746,1,0
14,294549,-30911,-3688,8856,-1461,-4134,234,294549,5760,32253,-1576,-279,-217,-2038,294550,-3832,32008,7000,309,-1115,-3336,294550,-2311,-32656,8360,1342,3392,618,294526,-1920,32088,4608,-1198,1271,-486,1,0
15,294591,-30975,-3752,7280,-2615,-6085,-52,294591,4550,32169,-884,-1427,-691,-3742,294592,-4800,31696,6512,1913,-1333,-6240,294592,-4287,-32040,9264,1642,1945,-460,294566,-3680,31584,5320,-1418,256,586,1,0
16,294633,-32151,-3536,6208,-2855,-8066,230,294633,4196,32619,-44,-2963,-3331,-5538,294634,-5344,31768,4624,1707,-1933,-11024,294634,-5263,-31600,10336,2090,3161,-2910,294606,-5640,32144,4872,-2546,1722,3504,1,0
17,294675,-32327,-2080,6160,-2627,-9614,190,294675,3024,32212,1206,-5973,-4611,-8568,294676,-4368,31624,4296,1106,3681,-13220,294676,-3935,-31552,10864,3170,5853,-5956,294646,-1824,31776,4912,-2842,3024,5300,1,0
18,294717,29825,-2232,5544,-1463,-15870,90,294717,2818,31013,-1762,-2949,-1859,-10550,294718,-2112,29464,3144,3058,689,-16372,294718,1817,32648,8072,4076,11399,-7466,294686,-1912,31200,4944,-4630,3304,6226,1,0
19,294759,30281,-4096,4024,-2095,-13409,-102,294759,4416,30785,-832,-3799,-8037,-8012,294760,-8304,31960,4528,5184,3149,-10624,294760,-127,-32752,10320,4766,6055,-5628,294726,1864,30200,5232,-5380,5970,5792,1,0
20,294801,31025,-4944,5264,-1647,-11052,1252,294801,1548,-31590,116,-7025,-14139,-6940,294802,-9664,29928,10400,3542,14693,-11606,294802,2137,-32208,8040,3158,9767,-6050,294766,584,-32392,6320,-6036,3648,4908,1,0
21,294843,30505,-2264,3400,-801,-10516,1608,294843,1882,-32710,380,-9249,-9863,-9368,294844,-8528,30216,4336,3568,14721,-10150,294844,649,30728,10792,4834,2153,-4152,294806,1736,29304,6128,-6294,4334,4738,1,0
