Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,30340,-32207,-3160,5048,-1192,1802,22,30340,-12886,29858,2806,670,563,-114,30341,-15520,28536,1472,724,963,-212,30341,601,-32488,9120,-102,596,124,30342,-816,31992,4968,-192,161,-66,1,0
2,30383,-32103,-3096,4744,-1076,1716,166,30383,-12554,29910,2572,620,115,-170,30384,-15776,28624,1088,692,17,-230,30384,721,-32768,8648,-126,266,92,30383,-712,32128,4952,-161,-149,-68,1,0
3,30426,-32447,-2976,5144,-1134,1962,32,30426,-12914,29892,2986,1171,-963,-156,30427,-15952,28376,1456,356,913,-370,30427,241,-32432,9280,-158,833,-300,30425,-1504,31960,4808,-296,56,240,1,0
4,30470,-32079,-3424,5240,-1136,2210,64,30470,-12812,29588,2648,506,221,-456,30469,-15640,28536,1616,438,801,-382,30469,313,-32656,8736,-162,627,-456,30465,-672,31848,5256,-206,380,478,1,0
5,30512,-31871,-3160,5024,-1130,1992,50,30512,-12740,30056,2884,438,619,-488,30511,-15456,28760,1256,506,315,-448,30511,1193,-32696,9016,-70,889,-604,30505,-696,32168,5136,-91,-26,250,1,0
6,30554,-31735,-3304,5128,-1052,2298,76,30554,-12970,30138,2636,470,599,-132,30555,-15408,28704,1624,758,205,-456,30555,1585,32744,8400,80,449,-176,30545,-504,32040,5024,32,308,338,1,0
7,30596,-31735,-3296,4640,-1506,1592,182,30596,-12692,29772,3112,142,386,108,30597,-15488,28456,1840,706,245,-288,30597,433,-32704,8800,194,199,-32,30585,-656,32080,4904,107,-83,-4,1,0
8,30638,-31975,-2784,4736,-1046,1654,228,30638,-12462,29980,2916,921,-370,118,30639,-15720,28656,1200,946,755,-128,30639,689,-32664,8968,60,299,-30,30625,-1176,32120,4904,-156,132,190,1,0
9,30680,-32015,-3008,4696,-860,1834,238,30680,-12264,29936,3160,1122,423,-162,30681,-15864,28600,1272,458,1071,-72,30681,-95,-32632,8864,122,401,-266,30665,-576,32000,5000,-104,308,140,1,0
10,30724,-32079,-3000,4536,-928,1854,140,30724,-12508,30016,2796,1134,1171,-418,30723,-15584,28720,968,208,1087,-198,30723,657,32744,8536,-2,163,-274,30705,-1016,31944,5144,-143,-1,-84,1,0
11,30767,-32087,-2752,4416,-766,1722,32,30767,-12452,29606,3062,1024,999,-718,30766,-15816,28264,936,414,937,-490,30766,249,-32416,9304,176,489,-472,30745,-824,32024,5032,-306,228,118,1,0
12,30809,-31983,-3008,3344,-732,1650,6,30809,-12508,29470,2978,1872,651,-1264,30808,-15736,27936,1384,-528,2169,-750,30808,-1215,-32592,9192,591,-837,-892,30785,-1528,32144,4736,-255,-480,414,1,0
13,30851,-32031,-3064,1992,-900,1003,-102,30851,-11718,29024,3660,3464,1485,-3124,30852,-15512,26361,-1912,-1990,3735,-2700,30852,-887,-32432,9880,70,1785,-3524,30825,-2144,31896,4856,-510,194,1720,1,0
14,30895,32033,-2360,512,-2237,-1045,-638,30895,-11854,26532,5600,3516,457,-6194,30894,-13960,27201,-208,-4336,3931,-5958,30894,-4023,-31728,9120,524,1173,-5272,30865,-5352,31472,4416,-1768,84,4522,1,0
15,30937,27785,-3280,384,-3589,-5511,-78,30937,-10808,25926,3098,4898,2365,-10158,30938,-13512,22481,-3176,-3348,1095,-10354,30938,-3871,-31608,6432,722,3145,-10310,30905,-3304,31400,3680,-3758,2506,7974,1,0
16,30979,23721,-1336,1336,-3533,-9276,1024,30979,-11822,21926,6582,3354,299,-12834,30980,-17680,20048,5720,-656,5031,-13460,30980,145,-31816,8320,1806,4763,-14744,30945,-5920,30624,2296,-7216,2690,14922,1,0
17,31021,24984,88,1680,-1327,-8913,-248,31021,-8822,22914,3772,1127,-2929,-16026,31022,-11440,23529,-2168,-2,10975,-14282,31022,3241,-32200,9480,4118,5805,-16960,30985,2984,30680,4584,-8808,4116,17118,1,0
18,31064,22520,352,1400,-745,-11811,-354,31064,-12054,23873,-2292,5438,5427,-18112,31065,-9640,20656,768,2718,4645,-17904,31022,3241,-32200,9480,4118,5805,-16960,31066,936,30184,8368,-11993,-2812,15308,1,0
19,31107,27625,-4768,728,-155,-9168,268,31107,-14664,20667,-966,535,-557,-19272,31108,-19336,21456,5392,-2169,-1379,-20130,31065,6281,-32168,10152,3072,1863,-17096,31107,10312,30928,11280,-10118,1170,14400,1,0
20,31150,28441,-3320,224,-1863,-8138,28,31150,-18428,25367,-758,11610,5701,-17412,31151,-20904,23288,2040,-3932,3603,-18144,31108,9793,-30008,14368,280,4037,-16494,31149,5728,29304,10864,-7899,-928,13876,1,0
21,31192,29073,-4632,304,-2725,-8143,-406,31192,-22202,23704,2040,11035,-2107,-18746,31193,-23432,24368,1416,-7612,2501,-19470,31151,9609,-31544,10440,-1094,4389,-15416,31189,12368,30016,8984,-7708,1212,11590,1,0
22,31234,31369,-656,848,-2113,-7452,34,31234,-19670,24847,-2138,8883,-1131,-17712,31235,-22656,19497,-56,-5267,-1703,-21568,31193,10521,-29784,9432,-746,2865,-13668,31229,12848,28648,10560,-9545,-614,9186,1,0
23,31276,30729,-4215,-488,-2961,-8489,-1102,31276,-22418,19911,-3564,4294,1211,-18006,31277,-28000,18600,3024,-4583,-97,-18070,31235,12577,-31360,8128,1267,-751,-11542,31269,10776,27688,15864,-8512,1558,8622,1,0
24,31318,31505,-3031,-1216,-1671,-10441,-922,31318,-27266,19189,-1754,5042,557,-17734,31319,-28416,14904,4840,-4238,1419,-16350,31277,15121,-30928,10328,2375,-355,-10520,31309,8512,29176,12664,-5765,-2740,7796,1,0
