Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,35260,-32495,-3632,9584,-292,1541,-40,35260,-586,32398,4970,666,1517,-302,35261,-2368,32297,-2136,-22,1253,-62,35261,-535,-32440,10424,-220,349,-638,35262,472,31784,5840,-287,-120,582,1,0
2,35303,-32303,-3904,9944,-686,1734,120,35303,-538,32498,4850,696,789,-354,35304,-2200,32441,-1792,488,981,-6,35304,-151,-32344,10688,-216,479,-858,35303,1168,31944,6176,-372,324,642,1,0
3,35346,-32503,-3352,9896,-736,1608,4,35346,-708,32216,4772,402,311,-746,35347,-2392,32113,-1384,442,404,56,35347,-839,-32088,10840,-386,625,-1348,35345,800,31696,6088,-65,-500,170,1,0
4,35388,-32503,-3520,10096,-748,1811,-116,35388,-234,32586,4974,295,-235,-1414,35389,-2896,32337,-1704,324,1103,-98,35389,225,-32624,10688,-294,1917,-2354,35385,248,31848,5576,-255,-110,632,1,0
5,35430,-32023,-3784,10344,-812,2424,90,35430,910,32676,4584,439,-59,-486,35431,-2312,32369,-1504,602,1021,-20,35431,2065,-32272,10568,-284,907,-876,35425,1328,32016,6184,-160,286,642,1,0
6,35472,-32191,-3384,9712,-830,1860,178,35472,428,32270,4950,758,452,184,35473,-2344,32297,-1696,382,934,108,35473,-175,-31952,10640,8,57,-300,35465,904,31784,6024,67,-328,200,1,0
7,35514,-32383,-3368,9720,-582,1370,154,35514,62,32626,5146,982,1065,-160,35515,-2152,32401,-1592,262,951,-162,35515,497,-32552,10072,136,929,-786,35505,648,31648,5800,54,176,512,1,0
8,35556,-32039,-3648,9944,-700,1640,182,35556,312,32556,4482,902,894,176,35557,-2072,32473,-1920,466,1326,62,35557,1089,-32448,10936,42,393,-270,35545,1280,31880,5736,90,460,234,1,0
9,35598,-32479,-3208,9728,-948,1424,152,35598,-370,32426,4626,758,774,182,35599,-2160,32353,-1960,308,1163,-20,35599,153,-32160,10944,4,99,-142,35585,912,31760,5864,-136,122,164,1,0
10,35640,-32367,-3456,9784,-900,1726,8,35640,-146,32570,4346,922,935,-88,35641,-2112,32473,-1928,326,823,-106,35641,465,-32552,10640,14,895,-554,35625,704,31920,5584,-135,-152,230,1,0
11,35684,-32071,-3064,10056,-784,1734,200,35684,112,32574,4260,528,116,142,35683,-1936,32473,-1736,510,722,14,35683,833,-32312,10760,-26,425,-146,35665,1136,31912,5680,-234,212,240,1,0
12,35727,-32359,-3024,9592,-988,1299,-50,35727,-258,32372,4838,900,839,-86,35726,-1968,32441,-1792,564,750,22,35726,89,-32128,10616,-58,191,-188,35705,832,31872,5800,-105,-349,-6,1,0
13,35769,-32159,-3312,9568,-506,1343,-18,35769,-116,32568,4766,548,655,-476,35768,-2480,32481,-2344,752,959,-598,35768,281,-32328,10816,50,557,-586,35745,224,31936,5680,-251,-76,432,1,0
14,35811,-32279,-3144,8864,-350,1070,46,35811,-488,32398,4784,636,589,-1118,35810,-2144,32297,-1992,862,1537,-768,35810,113,-32264,10656,104,499,-1166,35785,1040,31720,5504,-126,208,594,1,0
15,35853,-30991,-3800,8120,-1242,647,-372,35853,-216,32246,5118,-5,-71,-2060,35854,-1904,31665,-3200,1228,573,-2636,35854,-231,-32264,10744,290,1223,-2190,35825,64,31640,5824,-225,-1072,926,1,0
16,35897,-31463,-5336,7016,-3633,-2010,76,35897,-658,32542,5618,824,321,-2724,35896,-2464,31641,-3944,2019,-945,-7082,35896,905,-32104,10424,422,3681,-2980,35865,-1872,31816,4952,-729,-348,3760,1,0
17,35939,32201,-3128,5984,-3385,-3646,1310,35939,-1080,32062,5962,573,-2885,-4256,35940,-2648,31145,-2752,3171,-1121,-10168,35940,-1399,-31496,11200,612,2187,-3510,35905,-688,32344,5064,-2254,162,7908,1,0
