Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,7400,-32495,-6480,5472,-498,1722,242,7400,6384,31065,-7738,604,877,-48,7401,288,31312,10776,480,1258,132,7401,-6295,-31792,10168,-142,313,-142,7402,-2248,32168,4656,-300,146,368,1,0
2,7443,-32519,-6720,5168,-570,1706,132,7443,6516,31131,-7888,654,658,132,7444,240,31528,10648,6,1054,32,7444,-6311,-31784,10144,-80,267,-110,7443,-2224,32096,4640,-341,-74,420,1,0
3,7486,-32615,-6560,5240,-632,1730,140,7486,6580,31197,-7788,752,732,84,7487,424,31312,11048,532,1220,134,7487,-6423,-31984,9808,-106,81,-64,7485,-2152,32176,4504,-336,430,446,1,0
4,7528,-32527,-6544,5128,-948,1706,138,7528,6576,31201,-7738,676,842,40,7529,544,31248,11000,236,1030,76,7529,-6335,-31848,9928,-142,371,-164,7525,-2136,32000,4552,-396,356,484,1,0
5,7572,-32639,-6488,5056,-752,1472,136,7572,6586,31129,-7650,636,722,120,7571,232,31536,10680,208,832,46,7571,-6127,-31768,10032,-164,245,-52,7565,-2200,32096,4568,-209,-12,368,1,0
6,7614,-32487,-6512,5272,-854,1840,114,7614,6588,31171,-7642,682,584,198,7613,448,31384,10904,358,878,112,7613,-6351,-31640,10088,-134,347,-186,7605,-2248,32128,4424,-194,244,284,1,0
7,7656,-32623,-6408,5088,-836,1716,128,7656,6656,31069,-7792,668,484,168,7655,368,31376,10816,346,1109,-14,7655,-6303,-31824,10056,-182,411,-174,7645,-2504,31712,4584,-404,10,372,1,0
8,7698,-32559,-6552,5184,-890,1636,54,7698,6752,31103,-7766,682,636,110,7697,360,31504,10632,172,761,-86,7697,-6127,-31808,10192,-228,189,-114,7685,-1912,32080,4320,-378,102,398,1,0
9,7740,-32575,-6392,5280,-760,1898,44,7740,6704,31149,-7588,612,802,2,7739,496,31304,10856,380,1005,-74,7739,-6279,-31608,10104,-220,367,-120,7725,-2192,31960,4712,-411,-98,380,1,0
10,7782,-32575,-6520,5064,-800,1796,70,7782,6658,31133,-7730,616,582,40,7781,488,31368,10872,328,949,-88,7781,-6063,-31768,9920,-228,295,-160,7765,-2128,32104,4504,-431,-14,434,1,0
11,7824,-32543,-6480,5216,-900,1701,-34,7824,6732,31077,-7760,606,648,68,7823,368,31360,10608,310,901,-56,7823,-6343,-31816,9824,-172,273,-44,7805,-2152,32016,4416,-357,-194,386,1,0
12,7867,-32527,-6456,5024,-748,1868,4,7867,6722,31067,-7528,622,744,64,7866,400,31368,11136,402,943,-16,7866,-6207,-31840,10056,-156,395,-96,7845,-2064,32064,4696,-430,138,412,1,0
13,7909,-32455,-6440,4976,-640,1824,48,7909,6860,31159,-7638,612,616,60,7908,352,31424,10888,210,1040,22,7908,-6487,-31848,9864,-160,133,-68,7885,-2120,32080,4648,-253,-212,304,1,0
14,7951,-32663,-6392,5200,-504,1681,-6,7951,6816,31117,-7604,616,783,-34,7950,200,31320,10944,430,1168,84,7950,-6127,-31856,10064,-168,325,-46,7925,-2168,32000,4552,-322,128,398,1,0
15,7993,-32439,-6480,5352,-526,1692,38,7993,6856,31113,-7678,698,1017,-88,7994,328,31456,10872,274,1002,10,7994,-6215,-31904,9768,-96,88,4,7965,-2088,31984,4576,-392,110,402,1,0
16,8035,-32391,-6544,5400,-440,1746,64,8035,6686,31053,-7574,654,1039,-54,8036,368,31344,10936,262,1374,150,8036,-6151,-31760,9888,-106,243,-44,8005,-2120,32064,4576,-384,266,434,1,0
17,8079,-32543,-6568,5168,-438,1626,46,8079,6684,31149,-7542,664,861,-34,8078,504,31352,10816,280,1134,40,8078,-6135,-31768,9880,-170,241,-16,8045,-2072,32152,4552,-308,204,410,1,0
