Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
140,17959,-31665,-3324,11067,-283,1154,239,17959,-1766,7861,-892,56,194,-11,18860,-12268,27658,12910,-548,2057,688,18860,-1061,-31734,12545,-461,-1257,257,17959,-1174,31522,6929,-251,-174,-568,2,3
141,18861,-31832,-3347,11130,-18,1316,310,18861,-1769,7857,-902,56,218,-6,18882,-12047,27925,12924,-564,2073,605,18882,-1139,-31738,12558,-367,-938,129,18861,-1096,31539,6988,-210,-72,-46,2,3
142,18883,-31832,-3347,11130,-18,1316,310,18883,-1769,7857,-902,56,218,-6,18904,-12045,27925,12924,-564,2073,605,18904,-1139,-31738,12586,-367,-915,129,18883,-1082,31539,6994,-210,-72,-46,2,3
143,18905,-31832,-3364,11130,-18,1316,305,18905,-1769,7857,-913,56,218,-6,18926,-12045,27925,12924,-564,1923,540,18926,-1139,-31741,12586,-367,-915,-19,18905,-1082,31539,6994,-210,-72,-46,2,3
144,18927,-31957,-3451,11177,-28,1423,224,18927,-1744,7860,-921,60,220,-24,18948,-11879,28125,12935,-562,1794,491,18948,-1060,-31743,12617,-285,-699,-168,18927,-1067,31578,7101,-238,4,73,2,3
145,18949,-31957,-3451,11177,-28,1436,224,18949,-1744,7864,-921,63,220,-24,18970,-11879,28125,12935,-484,1794,491,18970,-1060,-31743,12617,-285,-591,-168,18949,-1045,31578,7101,-238,4,73,2,3
146,18971,-31957,-3504,11177,-42,1436,139,18971,-1744,7864,-930,63,214,-38,18992,-11879,28125,12935,-484,1694,454,18992,-1060,-31745,12617,-285,-591,-242,18971,-1045,31578,7101,-262,4,73,2,3
147,18993,-30957,-3544,11236,-128,1513,65,18993,-1753,7873,-930,69,208,-47,19014,-11755,28219,12943,-401,1562,397,19014,-994,-31745,12630,-227,-398,-294,18993,-1017,31583,7157,-273,52,162,2,3
148,19015,-30957,-3544,11236,-128,1526,65,19015,-1753,7880,-912,71,208,-47,19036,-11755,28219,12975,-392,1562,397,19036,-994,-31745,12630,-227,-398,-294,19015,-1011,31583,7157,-273,52,164,2,3
149,19037,-30957,-3572,11236,-277,1526,10,19037,-1761,7880,-912,71,161,-47,19058,-11755,28219,12975,-392,1463,341,19058,-994,-31746,12630,-227,-398,-294,19037,-1011,31583,7157,-273,52,164,2,3
150,19059,-29957,-3587,11249,-428,1609,-24,19059,-1765,7880,-912,77,99,-25,19080,-11592,28292,12981,-245,1315,209,19080,-945,-31747,12644,-204,-253,-236,19059,-952,31575,7199,-213,57,223,2,3
151,19081,-29957,-3587,11249,-428,1653,-24,19081,-1765,7880,-902,78,99,-20,19102,-11592,28302,13005,-101,1315,209,19102,-945,-31747,12660,-204,-253,-236,19081,-952,31575,7227,-209,57,223,2,3
152,19103,-29957,-3587,11232,-549,1653,-43,19103,-1765,7880,-902,78,43,-20,19124,-11592,28302,13005,-101,1162,110,19124,-945,-31747,12660,-204,-253,-328,19103,-952,31571,7227,-209,57,223,2,3
153,19125,-30619,-3570,11220,-639,1744,-55,19125,-1753,7889,-895,82,1,-4,19146,-11568,28336,13035,135,1047,45,19146,-892,-31744,12651,-195,-149,-438,19125,-932,31568,7336,-148,10,263,2,3
154,19147,-30619,-3570,11220,-639,1744,-55,19147,-1735,7889,-894,82,1,-4,19168,-11568,28336,13037,135,1047,45,19168,-892,-31744,12651,-195,-149,-438,19147,-932,31568,7338,-145,10,263,2,3
155,19169,-31116,-3570,11211,-662,1744,-55,19169,-1735,7889,-894,82,1,-4,19190,-11568,28336,13037,135,1047,43,19190,-892,-31744,12634,-195,-149,-537,19169,-932,31568,7338,-145,10,263,2,3
156,19191,-31514,-3559,11211,-662,1766,-31,19191,-1709,7902,-873,84,11,-10,19212,-11550,28362,13011,265,1082,42,19212,-800,-31742,12595,-171,-71,-618,19191,-899,31578,7411,-97,33,316,2,3
157,19213,-31514,-3559,11226,-654,1766,-21,19213,-1709,7902,-873,85,13,-10,19234,-11530,28372,13011,265,1083,42,19234,-800,-31742,12595,-171,-59,-618,19213,-899,31578,7411,-97,36,333,2,3
158,19235,-31817,-3559,11226,-654,1766,-21,19235,-1709,7902,-873,85,13,-13,19256,-11530,28372,12990,265,1083,41,19256,-800,-31742,12592,-176,-59,-636,19235,-899,31578,7411,-97,36,333,2,3
159,19257,-32044,-3551,11175,-641,1800,30,19257,-1690,7926,-857,85,22,-13,19278,-11487,28423,12834,410,1110,-55,19278,-549,-31758,12592,-176,-20,-636,19257,-864,31585,7364,-40,66,405,2,3
160,19279,-32044,-3551,11175,-641,1827,42,19279,-1690,7926,-854,85,22,-9,19300,-11487,28423,12834,433,1113,-55,19300,-549,-31758,12596,-148,-20,-559,19279,-838,31587,7364,-40,66,405,2,3
161,19301,-32094,-3551,11135,-641,1827,42,19301,-1690,7926,-854,80,18,-9,19322,-11487,28423,12699,433,1113,-211,19322,-549,-31770,12596,-148,-317,-559,19301,-838,31587,7364,-40,66,405,2,3
