Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
195,8889,-16133,-2175,4231,-383,890,156,8889,559,3853,-1208,51,30,0,9350,-897,15368,5891,166,510,-53,9350,-2172,-15964,5459,-105,591,-274,8889,-3207,15770,1614,-116,-110,24,2,0
196,9351,-16133,-2175,4231,-383,890,156,9351,559,3853,-1208,51,30,0,9372,-875,15368,5891,166,530,-53,9372,-2166,-15960,5459,-105,591,-274,9351,-3193,15770,1614,-116,-67,24,2,0
197,9373,-16168,-2175,4231,-383,890,156,9373,559,3853,-1208,50,26,0,9394,-875,15368,5672,154,539,-53,9394,-2166,-15960,5459,-109,591,-274,9373,-3193,15770,1600,-129,-67,24,2,0
198,9395,-16198,-2178,4245,-377,944,133,9395,577,3851,-1205,47,25,-5,9416,-872,15383,5508,154,539,-53,9416,-2103,-15962,5426,-109,394,-195,9395,-3165,15779,1600,-130,-36,59,2,0
199,9417,-16198,-2178,4245,-334,944,133,9417,580,3851,-1205,47,25,-5,9438,-885,15383,5508,154,546,-41,9438,-2092,-15962,5426,-109,394,-194,9417,-3164,15782,1600,-130,-33,59,2,0
200,9439,-16198,-2180,4245,-334,944,116,9439,580,3849,-1205,46,25,-7,9460,-885,15383,5508,145,546,-41,9460,-2092,-15964,5401,-109,258,-194,9439,-3164,15782,1592,-130,-33,59,2,0
201,9461,-16194,-2186,4276,-277,976,104,9461,599,3848,-1209,44,26,-9,9482,-894,15392,5675,145,551,-32,9482,-2052,-15972,5392,-99,164,-119,9461,-3143,15792,1592,-120,-9,77,2,0
202,9483,-16194,-2186,4276,-277,976,104,9483,599,3848,-1209,44,29,-9,9504,-894,15392,5675,147,551,-32,9504,-2052,-15972,5392,-87,164,-115,9483,-3143,15792,1600,-118,-9,77,2,0
203,9505,-16194,-2190,4276,-277,949,104,9505,599,3847,-1214,44,29,-11,9526,-894,15392,5675,147,551,-32,9526,-2052,-15972,5392,-87,110,-115,9505,-3143,15792,1600,-118,-9,77,2,0
204,9527,-16200,-2190,4300,-238,929,99,9527,599,3847,-1216,44,33,-11,9548,-892,15399,5800,158,569,-23,9548,-2045,-15972,5402,-66,70,-52,9527,-3120,15806,1600,-113,12,91,2,0
205,9549,-16200,-2189,4306,-238,929,99,9549,599,3849,-1216,44,34,-11,9570,-875,15413,5800,158,645,-21,9570,-2045,-15972,5402,-66,70,-52,9549,-3120,15806,1625,-113,19,93,2,0
206,9571,-16235,-2189,4306,-238,929,95,9571,598,3849,-1216,44,34,-13,9592,-875,15413,5800,158,645,-21,9592,-2045,-15972,5402,-66,40,-52,9571,-3120,15806,1625,-113,19,93,2,0
207,9593,-16261,-2181,4336,-198,948,92,9593,598,3850,-1216,46,42,-16,9614,-861,15430,5888,154,710,-12,9614,-2034,-15972,5409,-50,-10,-14,9593,-3107,15819,1622,-114,62,106,2,0
208,9615,-16261,-2178,4336,-198,948,92,9615,598,3850,-1216,46,43,-16,9636,-861,15430,5888,154,710,-12,9636,-2034,-15972,5410,-50,-10,-14,9615,-3103,15819,1622,-114,62,106,2,0
209,9637,-16261,-2178,4336,-198,948,92,9637,598,3850,-1216,46,43,-18,9658,-889,15430,5888,154,690,-15,9658,-2034,-15980,5410,-50,-50,-14,9637,-3103,15819,1620,-114,62,106,2,0
210,9659,-16258,-2170,4379,-194,963,98,9659,600,3849,-1224,47,50,-20,9680,-910,15431,5671,167,672,-29,9680,-2057,-15986,5416,-18,-78,15,9659,-3105,15820,1614,-115,94,111,2,0
211,9681,-16258,-2166,4379,-194,963,98,9681,600,3849,-1224,47,50,-20,9702,-910,15431,5671,167,672,-29,9702,-2057,-15986,5416,-18,-78,15,9681,-3106,15820,1614,-115,95,111,2,0
212,9703,-16258,-2166,4379,-194,963,98,9703,595,3849,-1225,47,50,-20,9724,-926,15431,5671,167,662,-46,9724,-2074,-15986,5416,-18,-78,15,9703,-3106,15820,1612,-116,95,111,2,0
