Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,person_id
1,294000,27929.0,-3824.0,12248.0,2578.0,1704.0,576.0,294000,5674.0,29018.0,-2100.0,1132.0,2903.0,-302.0,294001,-2344.0,25096.0,7416.0,-38.0,3628.0,926.0,294001,-1583.0,-30944.0,8832.0,-91.0,-250.0,182.0,294002,-1576.0,29776.0,5376.0,-276.0,810.0,1224.0,1,0,IMU_label_0_hansol
2,294043,27929.0,-4088.0,12240.0,1830.0,1662.0,388.0,294043,5080.0,29018.0,-2168.0,1460.0,3803.0,-332.0,294044,-2856.0,25052.0,7896.0,-360.0,3464.0,874.0,294044,-967.0,-30980.0,8808.0,-289.0,-416.0,490.0,294043,-1384.0,29784.0,5296.0,-56.0,650.0,906.0,1,0,IMU_label_0_hansol
3,294086,27929.0,-4432.0,12096.0,1736.0,1683.0,540.0,294086,4752.0,29018.0,-2188.0,984.0,1863.0,-204.0,294087,-2544.0,25008.0,8000.0,-14.0,3250.0,744.0,294087,-1735.0,-31016.0,8648.0,-105.0,-774.0,328.0,294085,-928.0,29776.0,4744.0,68.0,516.0,758.0,1,0,IMU_label_0_hansol
4,294128,27929.0,-4032.0,12064.0,1434.0,1662.0,406.0,294128,5396.0,29080.0,-2138.0,712.0,893.0,-302.0,294129,-2336.0,25052.0,7664.0,6.0,2996.0,612.0,294129,-1831.0,-31052.0,8696.0,-9.0,-54.0,172.0,294125,-1560.0,29784.0,4952.0,-196.0,98.0,758.0,1,0,IMU_label_0_hansol
5,294170,27929.0,-4408.0,12392.0,650.0,1628.0,256.0,294170,5538.0,29142.0,-2168.0,1170.0,1457.0,-324.0,294171,-2064.0,25096.0,7832.0,8.0,2485.0,386.0,294171,-1455.0,-31088.0,8544.0,61.0,-22.0,144.0,294165,-1528.0,29776.0,5168.0,-142.0,334.0,772.0,1,0,IMU_label_0_hansol
6,294212,27929.0,-4184.0,12112.0,272.0,1594.0,444.0,294212,5638.0,29188.0,-2156.0,744.0,1717.0,-318.0,294213,-2320.0,25188.0,8080.0,74.0,1974.0,16.0,294213,-1487.0,-31088.0,8752.0,94.0,72.0,334.0,294205,-728.0,29784.0,4648.0,-366.0,1116.0,522.0,1,0,IMU_label_0_hansol
7,294254,27929.0,-4120.0,11840.0,-430.0,1482.0,50.0,294254,5316.0,29234.0,-2448.0,1046.0,1057.0,-184.0,294255,-1688.0,25280.0,7632.0,10.0,1734.0,14.0,294255,-1287.0,-31088.0,8848.0,40.0,738.0,282.0,294245,-1384.0,29792.0,5080.0,-1116.0,724.0,252.0,1,0,IMU_label_0_hansol
8,294296,27929.0,-3944.0,12024.0,-950.0,1072.0,118.0,294296,5782.0,29188.0,-1820.0,816.0,167.0,-182.0,294297,-1912.0,25432.0,7216.0,376.0,855.0,-646.0,294297,-1871.0,-31088.0,8392.0,160.0,410.0,466.0,294285,-360.0,29784.0,4336.0,-774.0,1744.0,116.0,1,0,IMU_label_0_hansol
9,294338,27929.0,-3824.0,11880.0,-1492.0,272.0,150.0,294338,5996.0,29142.0,-2778.0,302.0,663.0,-676.0,294339,-1736.0,25584.0,7600.0,420.0,737.0,-1098.0,294339,-1927.0,-31088.0,9224.0,264.0,644.0,166.0,294325,-1688.0,29792.0,5080.0,-667.0,-23.0,-42.0,1,0,IMU_label_0_hansol
10,294380,27929.0,-3856.0,11456.0,-1492.0,-363.0,-142.0,294380,5878.0,29080.0,-2348.0,502.0,253.0,-994.0,294381,-1680.0,25768.0,7264.0,398.0,33.0,-1588.0,294381,-1751.0,-31088.0,9168.0,248.0,940.0,220.0,294365,-632.0,29868.0,5088.0,-512.0,301.0,-180.0,1,0,IMU_label_0_hansol
