Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,163400,-31943,-3280,5264,402,1411,-156,163400,1530,32693,-1158,430,1372,98,163401,-8720,31392,2632,258,2778,100,163401,-3471,-31616,13024,-153,-1240,802,163402,-5896,31912,2080,-638,474,916,1,0
2,163443,-32167,-3744,5232,878,1565,-136,163443,856,32583,-776,828,2305,-24,163444,-7872,31448,2424,110,1858,266,163444,-3767,-31384,12936,-305,-1646,788,163443,-5768,31816,1824,-398,146,674,1,0
3,163486,-32111,-4424,5400,20,1789,-186,163486,-112,32763,-1448,1100,2570,96,163487,-7544,31728,2456,578,2974,146,163487,-4439,-31528,12760,-107,-788,300,163485,-5720,31896,2080,-306,134,758,1,0
4,163530,-32263,-3960,5096,-1170,1705,-48,163530,-264,32671,-1188,432,218,334,163529,-6904,31696,1984,818,1197,-30,163529,-3855,-31056,13512,-181,-257,-420,163525,-5256,31728,2112,-55,-366,446,1,0
5,163572,-32359,-4000,5016,-1946,2244,84,163572,448,32753,-846,645,-300,28,163571,-7720,31664,2392,754,127,-252,163571,-4007,-31344,13392,-264,245,-938,163565,-5424,31960,2152,-163,-586,286,1,0
6,163614,-32199,-3384,4640,-2406,2380,222,163614,1108,32599,-1182,407,-1092,110,163613,-7712,31560,2184,439,-1421,-450,163613,-3551,-31528,12928,-176,1197,-1192,163605,-5928,31720,1888,-85,-700,182,1,0
7,163656,-31647,-3120,4328,-1880,2250,258,163656,2078,32609,-870,501,-929,-34,163655,-8640,31504,2464,181,-639,-626,163655,-3279,-31520,12944,-94,2549,-1390,163645,-5808,31800,1944,-109,-162,464,1,0
8,163698,-31991,-2784,4632,-758,1984,158,163698,2284,32689,-792,516,499,-770,163697,-8424,31256,2640,236,1069,-462,163697,-3127,-31568,12720,-166,3701,-1868,163685,-5616,31520,2496,-272,950,344,1,0
9,163740,-31783,-3400,4384,-246,2008,134,163740,1274,32655,-742,166,695,-1328,163739,-8648,31128,1816,-214,1247,-782,163739,-3743,-31216,13384,-354,2095,-1902,163725,-6144,31992,1488,-370,1094,750,1,0
10,163782,-32023,-2992,4360,12,1171,-30,163782,1532,32551,-850,304,1881,-1936,163783,-8008,31360,1952,456,1407,-1452,163783,-2791,-31904,12384,-456,2163,-2086,163765,-5600,31712,1896,-794,874,1790,1,0
11,163825,-31383,-2864,3944,733,-173,-506,163825,1524,32001,-186,-53,-317,-2702,163826,-9232,31016,1648,-1046,3413,-1388,163826,-4375,-30872,13208,-336,1793,-3038,163805,-5792,31640,1768,-964,276,1742,1,0
12,163868,-31887,-2752,3208,1029,-3387,-820,163868,592,32382,766,-294,1117,-4098,163869,-8800,31032,1528,-408,4571,-1836,163869,-4103,-31640,12536,-613,-1181,-3714,163847,-6688,30968,1720,-1438,702,2626,1,0
13,163910,32105,-3632,2408,1009,-6671,-788,163910,-1158,32396,2732,-1986,861,-6450,163911,-8592,29864,216,1232,8431,-3112,163911,-3047,-31448,12512,-186,739,-6518,163887,-5640,31560,2464,-2792,676,3526,1,0
14,163952,31497,-3784,1752,-945,-7091,-238,163952,-4038,31400,606,-3286,1877,-7538,163953,-7872,28625,-136,2284,4097,-8078,163953,-4527,-31320,13632,-363,-2761,-7868,163927,-5640,30896,2576,-4248,1856,6768,1,0
15,163995,28217,-3296,2224,-1425,-9367,-554,163995,-2772,30010,3084,-2238,5351,-15226,163996,-8160,30104,3080,3613,-231,-11028,163996,-3551,-30864,12864,69,-893,-14076,163967,-6584,31809,-248,-6005,-108,9894,1,0
16,164038,28265,-2632,968,-2181,-9929,-1600,164038,-178,30268,2862,-10176,2187,-15824,164039,-11200,26985,-2024,7347,-147,-10090,164039,-175,-32056,10944,13,-3145,-13398,164007,-1512,31208,3528,-5099,-870,8020,1,0
17,164081,28209,-1784,656,-2367,-8992,542,164081,-3628,30090,1846,-3036,7261,-17074,164082,-8968,25128,1216,1994,4755,-18424,164082,6065,-30440,12384,1481,-1189,-12494,164047,-7264,-32320,4064,-8015,-4528,12488,1,0
18,164124,26353,-2647,-344,-2359,-10074,624,164124,-9156,30306,1584,-9557,-4461,-16888,164125,-12016,28640,1528,1824,2601,-16492,164125,-1015,-30592,14448,1427,-2199,-15382,164087,-448,28632,6456,-5902,6008,13158,1,0
19,164166,26473,-3607,-1200,-2523,-13123,-222,164166,-3402,25744,4602,-12363,-5729,-19530,164167,-11552,26352,864,4858,3855,-19326,164125,-1015,-30592,14448,1427,-2199,-15382,164168,1576,29896,5352,-7282,1904,12092,1,0
20,164209,25353,-2431,-2808,-3671,-14308,732,164209,-3466,31286,2596,-2190,5869,-20724,164210,-9280,24896,1992,2401,-3455,-19780,164167,8777,-31096,11440,1780,3685,-16244,164209,4904,-32056,8056,-5774,1302,10260,1,0
21,164252,26297,-4343,-4296,-4319,-16810,1800,164252,-11274,25266,3086,-6222,6289,-21834,164253,-18560,28736,1696,-57,-3891,-22692,164210,2137,-30664,13472,2739,-817,-16238,164251,2128,32032,7088,-5286,2154,10272,1,0
22,164295,27697,-4247,-3864,-4719,-15274,1438,164295,-12244,30458,3610,-4648,1245,-20822,164296,-17704,27504,1616,6774,3323,-22182,164253,6721,-30312,12240,1137,-909,-14052,164291,6352,31864,6600,-5302,1802,7250,1,0
23,164337,27057,-2895,-5648,-4591,-12484,3008,164337,-14992,26322,3188,-6405,-1623,-22360,164338,-20328,23880,328,5496,2791,-20726,164296,9049,-31072,13872,3433,-597,-14148,164331,5616,29504,9680,-4532,2868,6686,1,0
