Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,person_id
1,11100,0,0,0,0,0,0,11100,0,0,0,0,0,0,11100,0,0,0,0,0,0,11100,0,0,0,0,0,0,11101,0,0,0,0,0,0,1,0,imu_label_0_jea_1
2,11122,0,-232,0,-240,0,0,11122,0,0,-616,0,0,0,11122,0,-1000,0,0,0,0,11122,-1000,-1000,0,-18,0,-36,11123,0,0,0,0,0,0,1,0,imu_label_0_jea_1
3,11144,1000,-406,1000,-439,91,-170,11144,100,1000,-1078,93,87,7,11144,1000,-2000,810,98,232,-35,11144,-2000,-2000,1000,-39,96,-63,11145,172,1000,668,-9,60,79,1,0,imu_label_0_jea_1
4,11165,1000,-406,1000,-439,91,-170,11165,100,1000,-1078,93,87,7,11166,1000,-2000,810,98,232,-35,11166,-2000,-2000,1000,-39,96,-63,11166,172,1000,668,-9,60,79,1,0,imu_label_0_jea_1
5,11185,1000,-528,1000,-572,91,-282,11185,100,1000,-1420,93,87,7,11187,1000,-3000,810,98,232,-60,11187,-3000,-3000,1000,-47,96,-77,11187,172,1000,668,-16,60,79,1,0,imu_label_0_jea_1
6,11205,2000,-628,2000,-672,139,-366,11205,189,2000,-1677,163,152,10,11208,1940,-4000,1417,162,427,-81,11208,-4000,-4000,2000,-61,145,-77,11208,301,2000,1169,-34,126,138,1,0,imu_label_0_jea_1
7,11225,2000,-628,2000,-672,139,-366,11225,197,2000,-1677,163,152,10,11229,1940,-4000,1417,162,427,-81,11229,-4000,-4000,2000,-61,145,-69,11229,307,2000,1169,-34,126,138,1,0,imu_label_0_jea_1
8,11245,2000,-701,2000,-731,139,-429,11245,197,2000,-1870,163,152,6,11250,1940,-5000,1417,162,427,-94,11250,-5000,-5000,2000,-71,145,-69,11250,307,2000,1169,-47,126,138,1,0,imu_label_0_jea_1
9,11265,3000,-765,3000,-772,164,-483,11265,269,3000,-2019,215,223,0,11271,2651,-6000,1836,207,564,-100,11271,-6000,-6000,3000,-80,172,-55,11271,403,3000,1514,-57,184,170,1,0,imu_label_0_jea_1
10,11285,3000,-765,3000,-772,164,-483,11285,269,3000,-2019,215,225,0,11292,2651,-6000,1836,207,564,-100,11292,-6000,-6000,3000,-80,182,-55,11292,414,3000,1514,-57,184,185,1,0,imu_label_0_jea_1
11,11305,3000,-813,3000,-802,164,-518,11305,269,3000,-2129,215,225,-2,11313,2651,-7000,1836,207,564,-100,11313,-6963,-7000,3000,-80,182,-55,11313,414,3000,1514,-65,184,185,1,0,imu_label_0_jea_1
12,11325,4000,-849,4000,-823,187,-545,11325,315,4000,-2212,250,280,-3,11334,3194,-8000,2151,244,667,-94,11334,-7690,-8000,4000,-79,219,-52,11334,486,4000,1773,-76,225,210,1,0,imu_label_0_jea_1
13,11345,4000,-849,4000,-823,187,-545,11345,315,4000,-2212,250,280,-3,11355,3216,-8000,2151,244,667,-94,11355,-7690,-8000,4000,-79,219,-52,11355,498,4000,1773,-76,225,211,1,0,imu_label_0_jea_1
14,11365,4000,-872,4000,-832,187,-556,11365,315,4000,-2274,250,280,-4,11376,3216,-9000,2151,244,667,-98,11376,-8231,-9000,4000,-79,219,-52,11376,498,4000,1773,-84,225,211,1,0,imu_label_0_jea_1
15,11385,5000,-890,5000,-839,222,-567,11385,349,5000,-2322,275,322,-11,11397,3618,-10000,2383,277,727,-103,11397,-8657,-10000,5000,-82,239,-49,11397,553,5000,1963,-90,276,231,1,0,imu_label_0_jea_1
16,11405,5000,-890,5000,-839,239,-567,11405,350,5000,-2322,275,322,-11,11418,3618,-10000,2383,279,727,-103,11418,-8657,-10000,5000,-82,239,-49,11418,553,5000,1963,-90,276,233,1,0,imu_label_0_jea_1
17,11425,5000,-903,5000,-844,239,-571,11425,350,5000,-2359,275,322,-19,11439,3618,-11000,2383,279,727,-104,11439,-8970,-11000,5000,-85,239,-49,11439,553,5000,1963,-90,276,233,1,0,imu_label_0_jea_1
18,11445,6000,-931,6000,-871,288,-574,11445,379,6000,-2386,294,347,-26,11460,3891,-12000,2569,296,782,-105,11460,-9211,-12000,5756,-85,254,-43,11460,602,6000,2106,-84,307,251,1,0,imu_label_0_jea_1
19,11465,6000,-931,6000,-871,288,-574,11465,379,6000,-2386,294,347,-26,11481,3891,-12000,2569,296,785,-105,11481,-9211,-12000,5756,-84,254,-43,11481,602,6000,2118,-84,307,251,1,0,imu_label_0_jea_1
20,11485,6000,-952,6000,-891,288,-581,11485,379,6000,-2406,294,347,-29,11502,3891,-13000,2569,296,785,-105,11502,-9392,-13000,5756,-84,254,-43,11502,602,6000,2118,-96,307,251,1,0,imu_label_0_jea_1
21,11505,7000,-968,7000,-922,289,-599,11505,395,7000,-2421,308,366,-30,11523,4086,-14000,2708,309,848,-98,11523,-9527,-14000,6321,-87,272,-63,11523,625,7000,2234,-107,327,261,1,0,imu_label_0_jea_1
22,11525,7000,-968,7000,-922,289,-599,11525,395,7000,-2421,308,368,-30,11544,4096,-14000,2716,309,848,-98,11544,-9527,-14000,6321,-87,272,-63,11544,625,7000,2260,-107,314,261,1,0,imu_label_0_jea_1
23,11545,7000,-968,7000,-948,289,-608,11545,395,7000,-2431,308,368,-30,11566,4096,-15000,2716,309,848,-98,11566,-9621,-15000,6321,-89,272,-77,11565,625,7000,2260,-113,314,261,1,0,imu_label_0_jea_1
24,11567,8000,-968,8000,-967,299,-623,11567,407,8000,-2438,318,373,-26,11588,4266,-16000,2781,323,877,-105,11588,-9673,-16000,6756,-90,287,-78,11585,634,8000,2349,-122,305,266,1,0,imu_label_0_jea_1
25,11589,8000,-968,8000,-967,299,-623,11589,411,8000,-2438,319,373,-26,11610,4266,-16000,2781,326,877,-105,11610,-9673,-16000,6756,-90,287,-78,11605,634,8000,2349,-122,305,266,1,0,imu_label_0_jea_1
26,11611,8000,-968,8000,-967,299,-634,11611,411,8000,-2440,319,373,-26,11632,4266,-17000,2781,326,877,-117,11632,-9712,-17000,6756,-90,287,-78,11625,634,8000,2349,-122,289,266,1,0,imu_label_0_jea_1
27,11633,9000,-982,9000,-966,302,-644,11633,435,9000,-2440,328,376,-30,11654,4373,-18000,2825,336,899,-139,11654,-9753,-18000,7083,-81,298,-75,11645,661,9000,2387,-129,279,270,1,0,imu_label_0_jea_1
28,11655,9000,-982,9000,-966,302,-644,11655,435,9000,-2440,328,376,-30,11676,4373,-18000,2825,336,920,-139,11676,-9753,-18000,7083,-81,298,-75,11665,665,9000,2399,-129,279,270,1,0,imu_label_0_jea_1
29,11677,9000,-992,9000,-972,302,-654,11677,435,9000,-2440,328,376,-33,11698,4373,-19000,2825,336,920,-149,11698,-9784,-19000,7083,-81,298,-75,11685,665,9000,2399,-129,279,261,1,0,imu_label_0_jea_1
30,11699,10000,-1000,10000,-994,305,-662,11699,439,10000,-2440,334,383,-35,11720,4458,-20000,2858,334,952,-157,11720,-9807,-20000,7328,-72,314,-79,11705,686,10000,2435,-140,283,254,1,0,imu_label_0_jea_1
31,11721,10000,-1000,10000,-994,311,-662,11721,439,10000,-2440,334,383,-35,11742,4458,-20000,2858,334,965,-157,11742,-9807,-20000,7328,-72,314,-79,11725,686,10000,2437,-140,313,254,1,0,imu_label_0_jea_1
32,11743,10000,-1000,10000,-1011,311,-670,11743,439,10000,-2441,334,383,-35,11764,4458,-21000,2858,332,965,-163,11764,-9833,-21000,7328,-72,314,-82,11745,686,10000,2437,-144,313,243,1,0,imu_label_0_jea_1
33,11765,11000,-996,10892,-1021,357,-674,11765,440,11000,-2442,339,358,-34,11786,4543,-22000,2913,331,999,-193,11786,-9852,-22000,7506,-66,349,-83,11766,694,11000,2459,-157,370,242,1,0,imu_label_0_jea_1
34,11787,11000,-988,10892,-1021,357,-674,11787,440,11000,-2442,343,358,-34,11808,4543,-22000,2913,331,1031,-193,11808,-9852,-22000,7506,-66,349,-83,11787,694,11000,2459,-157,382,242,1,0,imu_label_0_jea_1
35,11809,11000,-988,10892,-1027,357,-675,11809,440,11000,-2445,343,339,-34,11830,4543,-23000,2913,331,1031,-211,11830,-9858,-23000,7506,-71,349,-83,11809,688,11000,2459,-169,382,242,1,0,imu_label_0_jea_1
36,11831,12000,-967,11551,-1032,362,-675,11831,458,12000,-2449,352,337,-41,11852,4615,-24000,2944,340,1048,-214,11852,-9873,-24000,7639,-76,347,-66,11831,684,12000,2476,-192,450,242,1,0,imu_label_0_jea_1
37,11853,12000,-967,11551,-1032,362,-672,11853,458,12000,-2449,352,337,-41,11874,4615,-24000,2944,359,1048,-214,11874,-9873,-24000,7639,-76,347,-63,11853,684,12000,2476,-192,461,242,1,0,imu_label_0_jea_1
38,11875,12000,-967,11551,-1032,362,-672,11875,458,12000,-2455,352,337,-46,11896,4615,-25000,2944,359,1033,-214,11896,-9888,-25000,7639,-76,347,-63,11875,681,12000,2476,-210,461,242,1,0,imu_label_0_jea_1
39,11897,13000,-977,12045,-1006,365,-668,11897,465,13000,-2460,356,345,-47,11918,4657,-26000,3002,382,1022,-200,11918,-9899,-26000,7739,-76,347,-42,11897,678,13000,2505,-210,479,241,1,0,imu_label_0_jea_1
40,11919,13000,-977,12061,-998,368,-668,11919,465,13000,-2460,356,345,-47,11940,4657,-26000,3002,382,1022,-200,11940,-9899,-26000,7759,-73,347,-42,11919,678,13000,2517,-195,479,241,1,0,imu_label_0_jea_1
41,11941,13000,-984,12061,-998,368,-668,11941,465,13000,-2460,356,345,-48,11962,4657,-27000,3002,382,1014,-200,11962,-9904,-27000,7759,-73,347,-42,11941,678,13000,2517,-195,479,241,1,0,imu_label_0_jea_1
42,11963,14000,-984,12413,-972,369,-665,11963,466,13787,-2460,357,353,-48,11984,4695,-28000,3017,392,1007,-195,11984,-9907,-28000,7811,-68,344,-34,11963,684,14000,2547,-182,463,248,1,0,imu_label_0_jea_1
43,11985,14000,-980,12413,-972,369,-665,11985,466,13787,-2459,357,366,-47,12006,4697,-28000,3017,392,1007,-195,12006,-9907,-28000,7811,-68,344,-34,11985,694,14000,2547,-182,463,248,1,0,imu_label_0_jea_1
44,12007,14000,-980,12413,-972,369,-665,12007,466,13787,-2459,357,366,-47,12028,4697,-29000,3017,392,996,-195,12028,-9910,-28784,7811,-68,342,-34,12007,694,14000,2547,-182,444,248,1,0,imu_label_0_jea_1
45,12029,15000,-981,12671,-957,367,-661,12029,463,14378,-2455,357,379,-45,12050,4725,-29904,3028,388,988,-197,12050,-9912,-29378,7862,-64,342,-32,12029,702,15000,2566,-164,430,254,1,0,imu_label_0_jea_1
46,12051,15000,-981,12699,-957,367,-661,12051,463,14378,-2455,357,379,-45,12072,4725,-29904,3028,388,988,-197,12072,-9912,-29378,7862,-64,348,-32,12051,702,15000,2566,-164,430,255,1,0,imu_label_0_jea_1
47,12073,15000,-981,12699,-957,364,-661,12073,456,14378,-2455,357,379,-45,12094,4725,-30582,3028,385,988,-198,12094,-9912,-29821,7862,-64,348,-32,12073,702,15000,2566,-164,430,255,1,0,imu_label_0_jea_1
48,12095,16000,-989,12914,-949,359,-657,12095,451,14825,-2457,355,380,-48,12116,4738,-31096,3029,385,988,-199,12116,-9899,-30153,7912,-55,346,-32,12095,708,16000,2572,-150,432,258,1,0,imu_label_0_jea_1
49,12117,16000,-989,12914,-949,359,-657,12117,451,14825,-2457,355,380,-48,12138,4746,-31096,3029,389,988,-199,12138,-9899,-30153,7912,-55,346,-32,12117,708,16000,2572,-149,432,258,1,0,imu_label_0_jea_1
50,12139,16000,-989,12914,-949,359,-657,12139,450,14825,-2459,352,380,-53,12160,4746,-31474,3029,389,988,-201,12160,-9900,-30402,7912,-55,336,-32,12139,708,16000,2572,-149,432,258,1,0,imu_label_0_jea_1
51,12161,17000,-989,13075,-947,366,-654,12161,450,15156,-2462,351,390,-56,12182,4747,-31765,3029,392,993,-203,12182,-9912,-30605,7950,-61,329,-23,12161,717,17000,2577,-141,432,261,1,0,imu_label_0_jea_1
52,12183,17000,-989,13075,-947,366,-654,12183,452,15156,-2462,351,390,-56,12204,4747,-31765,3045,398,993,-203,12204,-9912,-30605,7950,-61,326,-23,12183,717,17000,2577,-141,432,261,1,0,imu_label_0_jea_1
53,12205,17000,-989,13075,-947,366,-654,12205,452,15156,-2463,351,390,-57,12226,4747,-31969,3045,398,993,-204,12226,-9921,-30757,7950,-61,325,-23,12205,717,17000,2577,-141,432,260,1,0,imu_label_0_jea_1
54,12227,18000,-989,13202,-946,365,-655,12227,450,15404,-2463,350,394,-57,12248,4748,-32122,3063,399,1002,-210,12248,-9922,-30855,7978,-59,325,-18,12227,717,18000,2574,-144,419,259,1,0,imu_label_0_jea_1
55,12249,18000,-989,13202,-946,365,-655,12249,450,15406,-2460,350,394,-57,12270,4748,-32122,3065,399,1002,-210,12270,-9922,-30855,8004,-59,325,-18,12249,717,18000,2574,-144,419,259,1,0,imu_label_0_jea_1
56,12271,18000,-989,13202,-969,365,-656,12271,447,15406,-2460,349,394,-57,12292,4748,-32231,3065,399,1002,-210,12292,-9922,-30927,8004,-59,325,-18,12271,717,18000,2572,-146,405,252,1,0,imu_label_0_jea_1
