Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,244680,0,0,0,0,0,0,244680,0,0,0,0,0,0,244681,0,0,0,0,0,0,244681,0,0,0,0,0,0,244682,0,0,0,0,0,0,1,0
2,244704,0,-1000,0,0,0,0,244704,0,0,0,0,0,0,244705,0,-1000,0,0,0,0,244705,-1000,-1000,0,-8,0,0,244704,-566,0,0,0,0,0,1,0
3,244727,1000,-1818,1000,-350,439,-12,244727,260,1000,-483,20,19,5,244728,244,-2000,1000,62,318,-50,244728,-2000,-2000,1000,-33,101,-55,244726,-990,1000,1000,-39,0,0,1,0
4,244750,1000,-1818,1000,-350,439,-12,244750,260,1000,-483,20,19,5,244751,244,-2000,1000,62,318,-50,244751,-2000,-2000,1000,-33,101,-55,244746,-990,1000,1000,-39,63,15,1,0
5,244773,1000,-2421,1000,-597,439,-12,244773,260,1000,-834,20,19,5,244774,244,-3000,1000,62,318,-87,244774,-3000,-3000,1000,-51,101,-96,244766,-1266,1000,1000,-39,63,15,1,0
6,244796,2000,-2873,2000,-799,724,11,244796,489,2000,-1108,36,19,9,244797,427,-4000,2000,108,556,-115,244797,-4000,-4000,2000,-90,177,-227,244786,-1473,2000,2000,-25,63,69,1,0
7,244819,2000,-2873,2000,-799,724,19,244819,489,2000,-1108,41,19,9,244820,427,-4000,2000,108,556,-115,244820,-4000,-4000,2000,-90,177,-227,244806,-1473,2000,2000,-14,56,79,1,0
8,244842,2000,-3212,2000,-919,724,19,244842,489,2000,-1301,41,19,9,244843,427,-5000,2000,108,556,-115,244843,-5000,-5000,2000,-119,177,-325,244826,-1608,2000,2000,-6,56,79,1,0
9,244865,3000,-3479,3000,-919,779,50,244865,1532,7775,-1716,153,-69,-4,244866,516,-6000,3000,1,621,-107,244866,-5961,-6000,3000,-183,141,-387,244867,-1712,3000,3000,-30,51,127,1,0
10,244890,3000,-3479,3000,-903,779,50,244890,672,3000,-1446,61,19,10,244889,516,-6000,3000,1,621,-107,244889,-8455,-31624,8160,-268,159,-688,244889,-1756,3000,3000,-48,51,127,1,0
