Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,6040,0,0,0,0,0,0,6040,0,0,0,0,0,0,6040,0,0,0,0,0,0,6040,0,0,0,0,0,0,6041,0,0,0,0,0,0,1,0
2,6062,-1000,-436,0,0,0,0,6062,0,0,0,0,0,0,6062,0,0,0,0,0,0,6062,0,-1000,0,0,0,-30,6063,-714,0,0,0,0,0,1,0
3,6083,-2000,-763,877,-101,262,42,6083,228,944,-312,12,6,2,6084,-117,1000,1000,66,76,-51,6084,-595,-2000,1000,-2,95,-52,6084,-1249,1000,320,-34,72,50,1,0
4,6103,-2000,-763,877,-101,262,42,6103,228,944,-312,12,6,2,6105,-117,1000,1000,66,76,-51,6105,-595,-2000,1000,-2,95,-52,6105,-1249,1000,320,-34,72,50,1,0
5,6123,-3000,-1003,877,-170,262,42,6123,228,944,-546,12,6,2,6126,-203,1000,1000,66,76,-63,6126,-1006,-3000,1000,-4,95,-65,6126,-1650,1000,320,-52,72,50,1,0
6,6143,-4000,-1188,1541,-211,415,68,6143,406,1653,-720,21,11,1,6147,-269,2000,1872,98,133,-63,6147,-1350,-4000,2000,-28,158,-65,6147,-1976,2000,556,-65,73,70,1,0
7,6163,-4000,-1188,1543,-211,415,68,6163,406,1653,-720,21,12,1,6168,-269,2000,1872,98,133,-45,6168,-1350,-4000,2000,-28,158,-48,6168,-1976,2000,556,-65,73,70,1,0
8,6183,-5000,-1330,1543,-230,415,68,6183,406,1653,-847,21,12,0,6189,-343,2000,1872,98,133,-45,6189,-1599,-5000,2000,-61,158,-48,6189,-2232,2000,556,-75,73,70,1,0
9,6203,-6000,-1451,2024,-241,527,88,6203,537,2187,-943,26,19,0,6210,-399,3000,2564,118,216,-29,6210,-1796,-6000,2792,-102,197,-24,6210,-2427,3000,737,-107,86,86,1,0
10,6223,-6000,-1451,2024,-241,527,88,6223,537,2187,-943,26,21,0,6231,-399,3000,2779,118,224,-29,6231,-1796,-6000,2792,-102,197,-23,6231,-2427,3000,745,-107,91,93,1,0
11,6243,-7000,-1528,2024,-241,527,88,6243,537,2187,-1015,26,21,0,6252,-399,3000,2779,118,224,-29,6252,-1944,-7000,2792,-133,197,-23,6252,-2531,3000,745,-140,91,93,1,0
12,6263,-8000,-1600,2384,-220,625,115,6263,632,2588,-1069,29,33,-4,6273,-387,4000,3477,128,357,-4,6273,-2055,-8000,3361,-140,209,-5,6273,-2609,4000,892,-165,135,114,1,0
13,6283,-8000,-1600,2385,-220,625,116,6283,632,2588,-1069,29,33,-4,6294,-374,4000,3477,128,357,-4,6294,-2055,-8000,3361,-140,209,-5,6294,-2609,4000,892,-165,135,114,1,0
14,6303,-9000,-1654,2385,-222,625,116,6303,632,2588,-1111,29,33,-7,6315,-374,4000,3477,128,357,-4,6315,-2150,-9000,3361,-140,209,-5,6315,-2667,4000,892,-165,135,114,1,0
15,6323,-10000,-1736,2655,-253,691,131,6323,702,2889,-1140,31,37,-9,6336,-361,5000,4000,128,384,-2,6336,-2221,-10000,3771,-133,219,5,6336,-2736,5000,1003,-161,147,119,1,0
16,6343,-10000,-1736,2661,-253,691,131,6343,702,2890,-1140,31,37,-9,6357,-361,5000,4000,139,384,-2,6357,-2221,-10000,3771,-133,256,5,6357,-2736,5000,1004,-161,147,120,1,0
17,6363,-11000,-1798,2661,-285,691,131,6363,702,2890,-1162,31,37,-9,6378,-361,5000,4000,139,384,-2,6378,-2274,-11000,3771,-133,256,-2,6378,-2761,5000,1004,-165,147,120,1,0
18,6383,-12000,-1858,2868,-321,741,142,6383,755,3117,-1179,33,39,-9,6399,-351,6000,4393,162,383,-52,6399,-2316,-12000,4066,-123,273,-7,6399,-2770,6000,1093,-168,152,123,1,0
19,6403,-12000,-1858,2868,-321,741,142,6403,755,3117,-1179,33,39,-9,6420,-329,6000,4397,162,383,-52,6420,-2316,-12000,4066,-123,273,-7,6420,-2770,6000,1106,-168,152,123,1,0
20,6423,-13000,-1892,2868,-348,741,142,6423,755,3117,-1187,33,39,-9,6441,-329,6000,4397,160,383,-52,6441,-2346,-13000,4066,-123,269,-7,6441,-2777,6000,1106,-168,121,115,1,0
21,6443,-13812,-1918,3027,-376,786,139,6443,795,3285,-1192,34,37,-7,6462,-353,7000,4688,158,391,-50,6462,-2387,-13738,4295,-114,216,4,6462,-2806,7000,1183,-135,75,92,1,0
22,6463,-13812,-1918,3027,-376,789,139,6463,795,3285,-1192,35,37,-6,6484,-353,7000,4688,158,391,-50,6484,-2387,-13738,4318,-111,216,4,6483,-2806,7000,1183,-135,75,92,1,0
23,6485,-14407,-1937,3027,-397,789,137,6485,795,3285,-1196,35,35,-6,6506,-389,7000,4688,158,391,-50,6506,-2418,-14291,4318,-111,176,4,6503,-2850,7000,1183,-135,50,86,1,0
24,6507,-14853,-1951,3146,-413,830,134,6507,822,3413,-1202,36,34,-6,6528,-435,8000,4896,158,415,-49,6528,-2441,-14724,4500,-97,171,2,6523,-2914,8000,1228,-128,45,86,1,0
25,6529,-14853,-1951,3151,-413,830,134,6529,822,3414,-1202,36,34,-6,6550,-435,8000,4904,158,415,-49,6550,-2441,-14724,4500,-85,171,2,6543,-2914,8000,1228,-128,45,91,1,0
26,6551,-15177,-1956,3151,-413,830,129,6551,822,3414,-1207,36,34,-6,6572,-449,8000,4904,143,415,-60,6572,-2454,-15049,4500,-85,167,0,6563,-2951,8000,1228,-129,45,91,1,0
27,6573,-15437,-1960,3250,-384,865,125,6573,844,3511,-1210,37,35,-6,6594,-449,9000,5090,132,436,-68,6594,-2464,-15284,4615,-73,158,0,6583,-2951,9000,1263,-129,71,98,1,0
28,6595,-15437,-1960,3250,-384,865,125,6595,844,3511,-1210,37,35,-6,6616,-442,9000,5094,132,436,-68,6616,-2464,-15284,4615,-73,158,0,6603,-2951,9000,1263,-126,71,98,1,0
29,6617,-15632,-1963,3250,-384,865,122,6617,844,3511,-1210,37,35,-6,6638,-442,9000,5094,132,436,-74,6638,-2472,-15461,4615,-73,115,-1,6623,-2951,9000,1263,-126,71,98,1,0
30,6639,-15779,-1965,3302,-372,894,119,6639,858,3582,-1210,38,36,-8,6660,-426,10000,5236,152,443,-80,6660,-2476,-15596,4705,-61,83,-8,6643,-2951,10000,1288,-122,59,102,1,0
31,6661,-15779,-1965,3302,-372,900,119,6661,858,3582,-1210,39,36,-8,6682,-424,10000,5236,152,443,-80,6682,-2476,-15596,4705,-56,83,-8,6663,-2951,10000,1289,-115,59,102,1,0
32,6683,-15873,-1970,3302,-372,900,117,6683,858,3582,-1210,39,36,-9,6704,-424,10000,5236,152,443,-80,6704,-2479,-15698,4705,-56,72,-13,6684,-2951,10000,1289,-115,50,102,1,0
33,6705,-15943,-1970,3364,-379,928,117,6705,869,3636,-1212,41,35,-9,6726,-421,11000,5315,150,441,-82,6726,-2494,-15774,4781,-30,64,-22,6705,-2955,11000,1299,-104,25,95,1,0
34,6727,-15943,-1969,3364,-379,928,121,6727,870,3636,-1212,41,35,-9,6748,-421,11000,5315,150,441,-82,6748,-2494,-15774,4794,-24,64,-22,6727,-2955,11000,1299,-104,25,95,1,0
35,6749,-15996,-1969,3364,-385,928,121,6749,870,3636,-1213,41,32,-9,6770,-432,11000,5315,150,437,-85,6770,-2494,-15829,4794,-24,56,-29,6749,-2963,11000,1299,-104,25,95,1,0
36,6771,-16043,-1965,3407,-391,945,126,6771,877,3679,-1215,41,30,-8,6792,-459,12000,5372,160,434,-87,6792,-2468,-15870,4861,11,29,-34,6771,-2980,12000,1280,-96,26,96,1,0
37,6793,-16043,-1961,3407,-391,954,126,6793,879,3679,-1215,41,30,-8,6814,-459,12000,5372,160,434,-87,6814,-2467,-15870,4864,11,29,-34,6793,-2980,12000,1280,-96,30,96,1,0
38,6815,-16077,-1961,3407,-391,954,126,6815,879,3679,-1218,41,29,-8,6836,-482,12000,5372,160,434,-97,6836,-2467,-15885,4864,11,18,-38,6815,-2993,12000,1280,-96,30,96,1,0
39,6837,-16118,-1945,3398,-377,1005,132,6837,887,3704,-1220,42,28,-9,6858,-536,12894,5415,128,473,-105,6858,-2467,-15885,4928,38,15,-55,6837,-3009,12957,1322,-90,-161,43,1,0
40,6859,-16118,-1945,3398,-371,1023,136,6859,891,3704,-1220,42,28,-9,6880,-536,12894,5415,128,479,-105,6880,-2467,-15845,4937,64,15,-55,6859,-3009,12957,1322,-90,-161,43,1,0
41,6881,-16149,-1945,3391,-371,1023,136,6881,891,3704,-1220,42,27,-10,6902,-618,12894,5415,82,479,-173,6902,-2537,-15845,4937,64,15,-85,6881,-3015,12957,1322,-90,-304,3,1,0
42,6903,-16172,-1933,3373,-339,1116,148,6903,896,3720,-1218,43,22,-13,6924,-679,13551,5480,-7,581,-224,6924,-2631,-15811,5025,44,308,-227,6903,-3020,13674,1353,-82,-412,3,1,0
43,6925,-16172,-1933,3373,-301,1122,148,6925,896,3720,-1217,44,22,-13,6946,-679,13551,5480,-7,820,-224,6946,-2631,-15804,5091,44,308,-227,6925,-3020,13674,1353,-82,-412,104,1,0
44,6947,-16172,-1943,3355,-301,1122,148,6947,874,3720,-1217,44,11,-20,6968,-725,13551,5480,-193,820,-264,6968,-2763,-15804,5092,-4,308,-509,6947,-3024,13674,1353,-82,-493,104,1,0
45,6969,-16089,-1957,3232,-154,1313,156,6969,764,3763,-1218,59,-18,-58,6990,-769,14160,5374,-368,1436,-480,6990,-3000,-15877,5124,-302,210,-1007,6969,-3264,14139,1394,-76,-837,254,1,0
46,6991,-16022,-1957,3232,-154,1337,156,6991,764,3770,-1218,84,-18,-58,7012,-769,14160,5374,-368,1436,-480,7012,-3000,-15877,5124,-302,210,-1007,6991,-3264,14139,1394,-76,-837,258,1,0
47,7013,-16022,-2014,3115,-154,1337,156,7013,657,3770,-1218,84,-35,-127,7034,-867,14160,5263,-368,1393,-1195,7034,-3441,-15944,5033,-547,-25,-1706,7013,-3458,14139,1277,-96,-954,258,1,0
48,7035,-15701,-2183,2670,-305,1133,86,7035,520,3835,-1183,123,-35,-302,7056,-1341,14613,4860,-347,514,-3121,7056,-4076,-16073,4809,-730,-201,-3483,7035,-3647,14395,1026,-469,-1041,707,1,0
49,7057,-15653,-2183,2670,-305,1133,86,7057,520,3835,-1093,123,-12,-302,7078,-1341,14613,4860,-172,514,-3121,7078,-4076,-16073,4809,-730,-201,-3483,7057,-3647,14395,1026,-469,-1041,938,1,0
50,7079,-15653,-2338,2242,-507,295,-90,7079,327,3835,-1093,103,-12,-529,7100,-2043,14613,4558,-172,-491,-5121,7100,-4076,-16073,4623,-730,-201,-5483,7079,-3900,14395,686,-1071,-1041,938,1,0
51,7101,-14653,-2597,1921,-1173,-766,-407,7101,183,3853,-999,-3,170,-891,7122,-3043,14046,4294,81,-1244,-7121,7122,-3942,-15956,4387,-527,436,-7483,7101,-4199,14471,431,-2609,-855,2285,1,0
52,7123,-14653,-2597,1921,-1173,-766,-407,7123,183,3853,-968,-3,170,-891,7144,-3043,14046,4294,192,-1244,-7121,7144,-3084,-15736,4387,-411,870,-7483,7123,-4199,14471,431,-2609,-854,2938,1,0
