Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
219,27078,7959,-4434,14537,-207,1871,-110,27078,-710,7998,-1278,40,109,-100,27079,-7879,28601,14728,-172,1447,-36,27079,-9279,-31663,1581,-205,286,-27,54380,-1919,31661,6775,-684,-708,417,2,0
220,54382,8959,-4453,14554,-237,1872,-95,54382,-731,7994,-1280,53,84,-75,54381,-7831,28708,14766,-81,1459,179,54381,-9289,-31660,1581,-224,293,26,54403,-2021,31659,6811,-628,-859,390,2,0
221,54404,8959,-4453,14554,-237,1872,-95,54404,-731,7994,-1280,53,84,-64,54405,-7831,28726,14800,-81,1459,179,54405,-9289,-31649,1583,-224,293,33,54426,-2021,31659,6825,-614,-859,390,2,0
222,54428,8959,-4475,14554,-332,1872,-95,54428,-731,7994,-1280,53,36,-64,54427,-7831,28726,14800,-81,1459,179,54427,-9330,-31649,1583,-260,293,33,54449,-2331,31626,6825,-614,-1367,-48,2,0
223,54450,9959,-4730,14491,-1548,1872,-424,54450,-706,8026,-1271,169,-171,2,54451,-7945,28820,14828,561,-541,-1656,54451,-9651,-31556,1585,-410,209,162,54472,-2792,31513,6962,-535,-1748,-376,2,0
224,54474,9959,-4730,14491,-1548,1910,-424,54474,-644,8028,-1271,183,-171,2,54473,-7945,28820,14864,563,-541,-1656,54473,-9651,-31460,1585,-410,209,322,54495,-2792,31513,6962,-535,-1748,-376,2,0
225,54496,9959,-4749,14444,-2491,1910,-718,54496,-644,8028,-1298,183,-217,2,54497,-8074,28791,14864,563,-2418,-3033,54497,-9850,-31460,1040,-465,1,322,54518,-3138,31428,6962,-535,-1748,-376,2,0
226,54520,10959,-4763,14397,-3372,1938,-892,54520,-463,8054,-1340,266,-244,27,54519,-8221,28767,14774,1230,-3799,-3825,54519,-9973,-31324,632,-465,-154,671,54541,-3279,31428,6985,-476,-1511,-324,2,0
227,54542,10959,-4763,14397,-3372,1938,-892,54542,-463,8054,-1340,266,-244,27,54543,-8221,28767,14774,1295,-3799,-3825,54543,-9973,-31324,632,-141,-154,673,54564,-3279,31475,6985,-475,-1029,-83,2,0
228,54566,10959,-4763,14361,-4033,1780,-1009,54566,-463,8044,-1372,253,-262,27,54565,-8331,28681,14726,1295,-4616,-4256,54565,-10091,-31324,632,-141,-154,673,54587,-3385,31475,6985,-475,-1029,-83,2,0
229,54588,11959,-4478,14224,-4311,1332,-1201,54588,-456,8006,-1411,184,-278,67,54589,-8660,28616,14726,2040,-5119,-4347,54589,-10304,-31237,736,286,59,940,54610,-3424,31510,7388,-20,167,252,2,0
230,54612,11959,-4468,14224,-4311,1332,-1201,54612,-456,8002,-1411,184,-278,81,54611,-8660,28616,15022,2040,-5119,-4347,54611,-10304,-31237,738,309,60,940,54633,-3424,31510,7494,270,971,554,2,0
231,54634,11959,-4468,14122,-4369,932,-1222,54634,-456,7978,-1442,162,-293,81,54635,-9035,28282,15022,2040,-5119,-4347,54635,-10463,-31237,738,309,60,940,54656,-3454,31510,7494,270,971,554,2,0
232,54658,12959,-4055,14122,-4369,629,-1238,54658,-409,7978,-1487,146,-318,128,54657,-9624,27863,14966,2185,-4945,-3021,54657,-10633,-31267,1147,530,729,948,54679,-3778,31594,6494,883,1814,1032,2,0
233,54680,12959,-3975,14187,-4001,629,-1238,54680,-369,8009,-1487,146,-318,128,54681,-9624,27863,14966,2185,-3433,-3021,54681,-10633,-31267,1147,530,729,948,54702,-3778,31594,6494,883,1814,1032,2,0
234,54704,12959,-3975,14187,-4001,445,-1238,54704,-369,8009,-1487,134,-337,128,54703,-10166,27751,14924,576,-3433,-3021,54703,-10760,-31290,1147,530,729,933,54725,-4221,31594,5494,883,1814,1032,2,0
235,54726,13959,-3649,14380,-3090,264,-965,54726,-275,8071,-1445,112,-337,89,54727,-10670,27667,14769,-630,-2169,-2588,54727,-11101,-31290,1446,569,1209,853,54748,-4553,31707,5052,486,2041,1451,2,0
236,54750,13959,-3649,14380,-2949,264,-948,54750,-275,8071,-1445,112,-277,89,54749,-10670,27667,14769,-630,-1547,-2588,54749,-11101,-31149,1446,569,1209,853,54771,-4553,31707,5052,486,2041,1451,2,0
237,54772,13959,-3704,14380,-2949,158,-948,54772,-322,8071,-1445,93,-277,52,54773,-10950,27667,14769,-1212,-1547,-2588,54773,-11499,-31149,1446,569,1209,740,54794,-4553,31707,4721,44,2041,1451,2,0
238,54796,14959,-3746,14429,-2160,78,-649,54796,-466,8018,-1523,75,-128,25,54795,-10950,28056,14780,-1308,-32,-1975,54795,-11838,-30973,1672,559,1240,589,54817,-3553,31792,4486,-815,663,1264,2,0
239,54818,14959,-3746,14429,-2160,78,-649,54818,-466,8018,-1523,75,-128,25,54819,-10662,28056,14780,-1308,170,-1585,54819,-11838,-30973,1692,559,1263,589,54840,-3553,31800,4486,-815,663,1264,2,0
