Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,15460,-25927.0,-4520.0,6272,336.0,4386.0,596,15460,-4191,-28861.0,-3574,1303.0,-268.0,526,15461,-14392,26608.0,6584,2444.0,1900.0,2494,15461,-2655,-31912.0,9952,-1863.0,210.0,1072,15462,-2920,31096.0,7512,-1656.0,380.0,540,1,1
2,15503,-25651.0,-2968.0,6856,72.0,3802.0,814,15503,-1901,-28678.0,-3800,919.0,-4191.0,-318,15504,-10792,26244.0,6080,-1498.0,1582.0,1026,15504,-1319,-31900.0,9216,-1795.0,-866.0,28,15503,-1720,31080.0,7488,-419.0,-652.0,1164,1,1
3,15546,-25375.0,-2792.0,8080,1024.0,2458.0,876,15546,-3905,-28495.0,-3626,669.0,-375.0,-564,15547,-9912,25880.0,6032,-394.0,2572.0,1526,15547,1929,-31912.0,7960,-1433.0,-2288.0,470,15545,312,31064.0,5080,-1016.0,1448.0,1112,1,1
4,15590,-691.0,-4632.0,7848,1236.0,2852.0,566,15590,-4019,-28616.0,-3668,1675.0,-2000.0,472,15589,-10944,25260.0,5176,1404.0,3740.0,2020,15589,193,-31944.0,7768,-1081.0,-3072.0,1220,15585,-944,31080.0,6120,-1710.0,450.0,866,1,1
5,15632,23993.0,-5784.0,6984,786.0,3364.0,568,15632,-2459,-28737.0,-2900,1320.0,172.0,788,15631,-10656,24640.0,7224,-1196.0,4266.0,1016,15631,-663,-31976.0,8776,-885.0,-810.0,984,15625,-568,31064.0,7448,-1892.0,2012.0,1568,1,1
6,15675,24073.0,-5032.0,7008,-578.0,2404.0,512,15675,-3303,-28799.0,-3150,1074.0,740.0,148,15674,-9560,23528.0,5688,-1002.0,4486.0,1374,15674,-1887,-31944.0,8664,-1453.0,-794.0,904,15665,-96,31040.0,6744,-1818.0,1304.0,1140,1,1
7,15717,24153.0,-3992.0,7168,-1050.0,2656.0,210,15717,-3403,-28861.0,-3956,1785.0,-263.0,-566,15718,-8016,22712.0,4848,-712.0,2634.0,188,15718,25,-31976.0,8896,-1745.0,-304.0,958,15705,1304,31064.0,6088,-2008.0,2666.0,1120,1,1
8,15759,24153.0,-3848.0,7032,-1350.0,1597.0,-452,15759,-3671,-28861.0,-3492,1963.0,-1439.0,-348,15760,-10160,22712.0,4768,265.0,-550.0,602,15760,-1111,-31976.0,8488,-2007.0,-962.0,1266,15745,616,31064.0,6928,-3052.0,1164.0,254,1,1
9,15803,24153.0,-4672.0,7408,-2064.0,1565.0,-514,15803,-2511,-28861.0,-3726,2494.0,17.0,-356,15802,-12224,22712.0,6264,-831.0,-373.0,-414,15802,681,-31976.0,8184,-1970.0,314.0,1354,15785,-1744,31064.0,7744,-3162.0,1240.0,338,1,1
10,15845,24153.0,-4704.0,7832,-1732.0,2163.0,-280,15845,-2727,-28861.0,-2498,3544.0,2919.0,-352,15844,-10944,22712.0,7008,-1780.0,1920.0,368,15844,-1407,-31976.0,8904,-1089.0,-198.0,1246,15825,-2632,31064.0,6024,-2646.0,2208.0,1912,1,1
11,15888,24153.0,-4184.0,8384,-1100.0,1841.0,-22,15888,-2599,-28861.0,-1678,2704.0,1301.0,-368,15887,-8800,22712.0,7656,-422.0,2382.0,784,15887,-1271,-31976.0,7480,-1694.0,210.0,1178,15866,776,31064.0,7496,-2400.0,3752.0,1520,1,1
12,15930,24153.0,-4936.0,7848,-944.0,2060.0,138,15930,-3821,-28861.0,-628,1834.0,899.0,-634,15929,-12000,22712.0,7432,-668.0,1594.0,1004,15929,-943,-31976.0,6848,-722.0,60.0,916,15906,-1656,31064.0,8408,-2706.0,2502.0,712,1,1
13,15972,24153.0,-6336.0,8640,-1426.0,2014.0,398,15972,-2809,-28861.0,-1428,2400.0,43.0,-272,15973,-10880,22712.0,8296,-1746.0,3030.0,178,15973,-735,-31976.0,7312,-288.0,244.0,960,15946,-16,31064.0,8336,-2676.0,5042.0,2512,1,1
14,16014,24153.0,-5152.0,8840,-304.0,2488.0,544,16014,-2131,-28861.0,-1156,2010.0,887.0,-176,16015,-9672,22712.0,9224,-1316.0,3300.0,790,16015,-2559,-31976.0,7544,-1073.0,-128.0,972,15986,-1968,31064.0,10576,-1362.0,800.0,1558,1,1
15,16058,24153.0,-4768.0,8912,688.0,2010.0,906,16058,-3055,-28861.0,-1020,1016.0,1277.0,-432,16057,-9888,22712.0,7512,-412.0,1156.0,110,16057,-335,-31976.0,6336,-1088.0,722.0,698,16026,1936,31064.0,8608,-1196.0,2186.0,656,1,1
16,16100,24153.0,-5744.0,8408,644.0,1382.0,822,16100,-3911,-28861.0,-796,1609.0,-479.0,-248,16101,-11416,22712.0,8192,-648.0,2286.0,588,16101,-455,-31976.0,7040,-455.0,-326.0,986,16066,-1416,31064.0,9512,-1703.0,-100.0,462,1,1
17,16142,24153.0,-6240.0,7800,1242.0,1508.0,766,16142,-3119,-28861.0,-908,401.0,-1175.0,-462,16143,-10464,22712.0,8072,-1544.0,3576.0,112,16143,-1359,-31976.0,7128,-199.0,-1162.0,1216,16106,-768,31064.0,8712,-1406.0,1366.0,908,1,1
18,16186,24153.0,-5424.0,7712,1326.0,1534.0,1046,16142,-3119,-28861.0,-908,401.0,-1175.0,-462,16185,-11152,22712.0,8688,-1432.0,3363.0,-188,16185,-3615,-31976.0,7608,235.0,-872.0,752,16187,-1480,31064.0,10016,-444.0,2840.0,1768,1,1
19,16229,24153.0,-6504.0,6872,1694.0,1252.0,1210,16186,-1647,-28861.0,-718,793.0,-287.0,-530,16228,-10904,22712.0,7208,-3090.0,4027.0,-1760,16228,-2255,-31976.0,7184,414.0,1213.0,-6,16228,-744,31064.0,9840,646.0,2816.0,2040,1,1
20,16272,24153.0,-6552.0,6016,659.0,-1030.0,878,16229,-2523,-28861.0,-612,344.0,2663.0,-1224,16271,-7600,22712.0,8664,-2856.0,2467.0,-2884,16271,-2695,-31976.0,8272,576.0,262.0,120,16270,368,31064.0,9560,1647.0,-178.0,768,1,1
21,16315,24153.0,-5264.0,4792,539.0,-724.0,532,16272,-2795,-28861.0,-988,472.0,1595.0,-2024,16314,-9672,22712.0,7784,-2991.0,-361.0,-4444,16314,-4759,-31976.0,9056,175.0,-93.0,-616,16310,-1384,31064.0,9536,2269.0,-470.0,422,1,1
22,16357,24153.0,-5640.0,3656,-93.0,-3421.0,-202,16315,-901,-28861.0,-898,-398.0,885.0,-3912,16356,-14040,22712.0,8656,-3411.0,-3169.0,-5826,16356,-4415,-31976.0,8680,-1174.0,1297.0,-1084,16350,-4192,31064.0,8152,3385.0,-1666.0,1716,1,1
23,16399,24153.0,-4976.0,4784,261.0,-7166.0,830,16357,-67,-28861.0,-1032,60.0,2281.0,-7210,16398,-11992,22712.0,6448,-10282.0,1199.0,-7834,16398,-3855,-31976.0,5640,-1714.0,963.0,-2354,16390,-360,31064.0,8744,-888.0,30.0,3238,1,1
