Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1773,116565,27893,-2568,18802,-1072,372,-716,116565,1274,16097,-2616,350,251,-10,117906,-2814,32098,6906,278,1002,-115,117906,-3997,-32646,6551,-85,316,-287,116565,-18,31889,5577,-235,112,270,10,1
1774,117907,27893,-2568,18802,-1068,372,-707,117907,1274,16097,-2612,350,251,-10,117928,-2808,32103,6924,276,1002,-115,117928,-3987,-32646,6551,-85,316,-275,117907,-18,31875,5583,-235,114,270,10,1
1775,117929,27893,-2586,18801,-1068,367,-707,117929,1274,16095,-2612,350,251,-16,117950,-2808,32103,6924,273,1002,-115,117950,-3987,-32646,6567,-91,315,-275,117929,-23,31874,5583,-240,114,270,10,1
1776,117951,27886,-2603,18801,-1078,364,-740,117951,1282,16093,-2604,351,268,-16,117972,-2808,32107,6967,273,979,-74,117972,-3958,-32642,6567,-91,301,-263,117951,-29,31861,5607,-244,59,286,10,1
1777,117973,27886,-2603,18810,-1078,361,-740,117973,1282,16093,-2604,351,268,-6,117994,-2808,32107,6967,273,979,-73,117994,-3958,-32642,6571,-84,301,-263,117973,-29,31861,5657,-244,59,299,10,1
1778,117995,27886,-2620,18810,-1086,364,-765,117995,1282,16093,-2604,351,268,-6,118016,-2820,32088,6967,273,979,-72,118016,-3958,-32642,6571,-84,290,-263,117995,-33,31861,5657,-251,14,299,10,1
1779,118017,27892,-2673,18727,-1092,366,-765,118017,1284,16098,-2595,351,269,3,118038,-2829,32074,6955,299,989,-75,118038,-3962,-32637,6574,-71,282,-285,118017,-33,31871,5696,-256,-19,332,10,1
1780,118039,27892,-2673,18727,-1092,373,-765,118039,1284,16098,-2593,351,269,4,118060,-2829,32074,6955,318,996,-75,118060,-3962,-32637,6574,-68,281,-285,118039,-32,31871,5696,-256,-19,332,10,1
1781,118061,27892,-2706,18665,-1094,373,-765,118061,1284,16098,-2593,351,269,4,118082,-2829,32074,6946,318,996,-118,118082,-3962,-32637,6572,-68,282,-301,118061,-32,31871,5696,-256,-19,332,10,1
1782,118083,27909,-2719,18662,-1095,362,-746,118083,1285,16100,-2578,349,271,1,118104,-2783,32075,6939,371,993,-150,118104,-3921,-32641,6571,-23,314,-311,118083,-32,31877,5720,-236,-17,328,10,1
1783,118105,27913,-2719,18662,-1095,362,-743,118105,1285,16100,-2578,349,271,1,118126,-2783,32075,6939,371,993,-150,118126,-3921,-32641,6571,-23,336,-311,118105,-26,31877,5720,-236,-16,328,10,1
1784,118127,27913,-2729,18660,-1106,338,-743,118127,1285,16100,-2578,348,271,-2,118148,-2783,32075,6934,371,977,-184,118148,-3921,-32641,6571,-23,336,-311,118127,-26,31877,5690,-236,-15,319,10,1
1785,118149,27925,-2736,18659,-1114,299,-727,118149,1301,16095,-2573,348,274,-5,118170,-2791,32076,6904,422,954,-216,118170,-3896,-32638,6594,0,377,-293,118149,-49,31859,5669,-213,-15,301,10,1
1786,118171,27929,-2736,18659,-1114,299,-727,118171,1306,16095,-2573,348,277,-5,118192,-2791,32076,6904,427,954,-216,118192,-3896,-32638,6612,0,377,-273,118171,-49,31859,5669,-206,16,301,10,1
1787,118193,27929,-2736,18658,-1116,281,-727,118193,1306,16091,-2577,348,278,-5,118214,-2797,32076,6882,427,947,-233,118214,-3896,-32638,6612,0,377,-273,118193,-74,31859,5651,-206,16,288,10,1
1788,118215,27939,-2732,18658,-1116,270,-717,118215,1324,16089,-2584,361,279,-4,118236,-2797,32111,6865,449,947,-242,118236,-3893,-32636,6635,12,375,-230,118215,-99,31866,5640,-184,44,269,10,1
1789,118237,27939,-2666,18719,-1081,270,-717,118237,1324,16089,-2584,361,279,-3,118258,-2795,32113,6865,449,978,-242,118258,-3893,-32636,6643,12,375,-229,118237,-99,31866,5637,-184,56,269,10,1
1790,118259,27939,-2666,18719,-1081,270,-717,118259,1324,16089,-2592,361,279,-3,118280,-2795,32113,6862,440,978,-242,118280,-3893,-32645,6643,-1,353,-229,118259,-122,31866,5616,-184,56,255,10,1
1791,118281,27942,-2663,18735,-1051,278,-707,118281,1333,16090,-2603,366,279,0,118302,-2842,32140,6860,422,981,-216,118302,-3901,-32651,6664,-14,327,-194,118281,-135,31871,5614,-195,86,245,10,1
1792,118303,27942,-2659,18735,-1047,286,-707,118303,1333,16090,-2603,366,279,0,118324,-2842,32140,6860,422,981,-216,118324,-3901,-32651,6664,-14,327,-194,118303,-135,31871,5613,-195,88,245,10,1
1793,118325,27942,-2656,18735,-1047,286,-707,118325,1332,16090,-2612,366,279,0,118346,-2877,32127,6860,413,981,-216,118346,-3911,-32656,6664,-22,316,-194,118325,-135,31871,5612,-206,88,245,10,1
1794,118347,27936,-2656,18747,-1019,315,-694,118347,1323,16091,-2618,365,294,-5,118368,-2891,32111,6823,401,1015,-199,118368,-3911,-32660,6688,-30,308,-192,118347,-129,31877,5612,-212,106,258,10,1
1795,118369,27936,-2652,18747,-1006,315,-693,118369,1323,16091,-2618,365,301,-5,118390,-2891,32111,6823,401,1015,-199,118390,-3901,-32660,6688,-30,308,-192,118369,-113,31877,5629,-212,106,259,10,1
1796,118391,27930,-2652,18747,-1006,315,-693,118391,1316,16089,-2622,356,301,-21,118412,-2891,32111,6787,390,1015,-199,118412,-3901,-32663,6688,-36,308,-192,118391,-113,31877,5629,-216,106,259,10,1
1797,118413,27925,-2643,18732,-962,337,-670,118413,1316,16087,-2625,350,323,-37,118434,-2888,32119,6760,379,1012,-185,118434,-3879,-32667,6702,-43,318,-190,118413,-94,31875,5641,-216,115,269,10,1
1798,118435,27925,-2643,18732,-962,337,-670,118435,1316,16087,-2625,350,323,-37,118456,-2888,32119,6760,379,1012,-185,118456,-3869,-32667,6702,-43,318,-187,118435,-92,31875,5641,-213,115,269,10,1
