Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,74240,0,0,0,0,0,0,74240,0,0,0,0,0,0,74241,0,0,0,0,0,0,74241,0,0,0,0,0,0,74242,0,0,0,0,0,0,1,1
2,74264,0,-1000,0,-186,0,0,74264,0,0,-700,0,0,0,74265,-486,0,0,0,0,0,74265,-1000,-1000,0,0,0,0,74264,0,0,0,0,0,0,1,1
3,74288,1000,-1798,1000,-347,572,49,74288,174,1000,-1225,20,-1,18,74289,-866,1000,1000,44,320,247,74289,-2000,-2000,1000,38,234,0,74286,324,1000,1000,-214,-10,-19,1,1
4,74311,1000,-1798,1000,-347,572,49,74311,174,1000,-1225,20,-1,18,74312,-866,1000,1000,44,320,247,74312,-2000,-2000,1000,38,234,28,74306,324,1000,1000,-214,-10,-19,1,1
5,74334,1000,-2396,1000,-468,572,49,74334,174,1000,-1598,20,-1,18,74335,-1151,1000,1000,44,320,247,74335,-3000,-3000,1000,38,234,28,74326,324,1000,1000,-314,-18,-26,1,1
6,74357,2000,-2879,2000,-602,1001,56,74357,299,2000,-1878,24,-2,28,74358,-1557,2000,2000,77,457,139,74358,-3841,-4000,2000,-11,316,46,74346,423,2000,2000,-326,-24,-26,1,1
7,74380,2000,-2879,2000,-602,1001,56,74380,299,2000,-1878,24,-2,28,74381,-1557,2000,2000,92,457,139,74381,-3841,-4000,2000,-11,316,46,74366,423,2000,2000,-326,-24,58,1,1
8,74403,2000,-3207,2000,-702,1001,56,74403,299,2000,-2081,24,-2,21,74404,-1749,2000,2000,92,457,58,74404,-4472,-5000,2000,-48,316,-13,74386,423,2000,2000,-326,-24,58,1,1
9,74426,3000,-3423,3000,-771,1333,59,74426,920,7605,-2744,24,10,36,74427,-1845,3000,3000,131,560,-91,74427,-4929,-6000,3000,-87,378,-57,74428,647,3000,3000,-301,-17,162,1,1
10,74451,3000,-3423,3000,-771,1333,61,74451,373,3000,-2244,24,1,21,74450,-1845,3000,3000,131,606,-91,74450,-6583,-30856,13504,-389,-31,-170,74450,647,3000,3000,-301,-17,162,1,1
11,74474,3000,-3573,3000,-771,1333,61,74474,373,3000,-2366,24,1,15,74475,-1917,3000,3000,56,606,-190,74450,-4929,-6000,3000,-87,378,-57,74472,815,4000,4000,-270,-12,217,1,1
12,74497,2000,-3697,4000,-738,1552,92,74497,493,4000,-2458,33,31,4,74498,-2003,4000,4000,0,688,-265,74475,-5272,-7000,3000,-129,301,-82,74492,815,4000,4000,-270,-12,217,1,1
13,74520,2000,-3697,4000,-733,1552,118,74520,493,4000,-2458,33,44,4,74521,-2003,4000,4000,0,688,-265,74498,-5529,-8000,4000,-161,244,-82,74512,815,4000,4000,-270,-12,217,1,1
14,74543,1000,-3778,4000,-733,1552,118,74543,493,4000,-2523,33,44,-15,74544,-2094,4000,4000,0,688,-265,74521,-5529,-8000,4000,-161,244,-63,74532,915,5000,5000,-290,5,231,1,1
15,74566,1000,-3899,5000,-677,1624,168,74566,547,4924,-2569,46,90,-29,74567,-2250,5000,5000,30,750,-241,74544,-5722,-9000,4000,-161,244,-63,74552,915,5000,5000,-290,10,231,1,1
16,74589,2000,-3899,5000,-660,1624,179,74589,547,4924,-2569,51,90,-29,74590,-2250,5000,5000,77,847,-202,74567,-5893,-10000,5000,-125,273,-7,74572,915,5000,5000,-318,10,231,1,1
17,74613,2000,-4036,5000,-660,1570,179,74589,547,4924,-2569,51,90,-29,74614,-2285,5000,5000,77,847,-202,74590,-5893,-10000,5000,-125,273,39,74615,990,6000,6000,-378,119,219,1,1
18,74613,2000,-4036,5000,-660,1570,179,74613,547,4924,-2598,51,90,-39,74614,-2285,5000,5000,77,847,-202,74614,-6025,-11000,5000,-125,273,39,74637,990,6000,6000,-423,119,205,1,1
19,74638,3000,-4147,6000,-556,1505,193,74638,563,5615,-2613,52,120,-52,74639,-2395,6000,6000,32,966,-155,74639,-6206,-12000,6000,-99,291,115,74660,1046,7000,6798,-461,221,179,1,1
20,74662,3000,-4147,6000,-556,1505,193,74662,563,5615,-2613,52,120,-52,74661,-2395,6000,6000,32,966,-155,74661,-6206,-12000,6000,-99,291,115,74683,1076,7000,6798,-461,221,179,1,1
21,74684,3000,-4230,6000,-556,1373,193,74684,563,5615,-2617,52,120,-62,74685,-2408,6000,6000,32,966,-155,74685,-6250,-13000,6000,-99,291,115,74706,1076,7000,6798,-489,221,156,1,1
22,74708,4000,-4322,7000,-537,1250,166,74708,575,6135,-2620,53,135,-62,74707,-2494,7000,7000,108,773,-136,74707,-6283,-14000,7000,-105,258,203,74729,1101,8000,7374,-533,215,75,1,1
23,74730,4000,-4322,7000,-537,1250,166,74730,575,6143,-2620,53,135,-58,74731,-2494,7000,7000,108,773,-119,74731,-6283,-14000,7000,-105,258,222,74752,1101,8000,7374,-533,215,75,1,1
24,74754,4000,-4391,7000,-545,1135,156,74754,575,6143,-2623,53,135,-58,74753,-2562,7000,7000,108,629,-119,74753,-6308,-15000,7000,-110,233,222,74775,1101,8000,7374,-547,211,6,1,1
25,74776,5000,-4443,8000,-568,1049,138,74776,545,6541,-2625,69,136,-50,74777,-2641,8000,8000,173,616,-32,74777,-6326,-16000,8000,-110,211,321,74798,1101,9000,7916,-547,137,-50,1,1
26,74800,5000,-4443,8000,-568,1049,138,74800,545,6541,-2627,69,136,-48,74799,-2641,8000,8000,173,616,-32,74799,-6326,-16000,8000,9,211,321,74821,1101,9000,7916,-524,137,-50,1,1
27,74822,5000,-4443,8000,-593,1049,127,74822,522,6541,-2627,69,136,-48,74823,-2754,8000,8000,173,616,-32,74823,-6422,-17000,8000,9,194,321,74844,1101,9000,7916,-524,128,-50,1,1
28,74846,6000,-4424,9000,-611,1140,115,74846,490,6829,-2643,81,124,-30,74845,-2847,9000,9000,222,701,61,74845,-6494,-18000,9000,19,167,389,74867,1101,10000,8371,-470,75,-17,1,1
