Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1603,72985,31204,-2155,11055,-1401,233,-749,72985,-47,16216,-1952,370,154,-33,74526,-5389,31877,4369,590,546,29,74526,-3274,-30353,16056,46,-634,-230,72985,1446,29149,14439,-75,-365,-280,10,2
1604,74527,31204,-2155,11031,-1470,194,-749,74527,-47,16216,-1959,370,91,-33,74548,-5389,31877,4369,590,479,29,74548,-3274,-30378,16056,26,-634,-269,74527,1414,29149,14423,-75,-365,-280,10,2
1605,74549,31291,-2074,11031,-1496,164,-732,74549,-3,16223,-1964,403,43,43,74570,-5385,31921,4376,525,479,65,74570,-3215,-30457,15918,7,-480,-269,74549,1398,29175,14395,-48,-354,-279,10,2
1606,74571,31291,-2074,11065,-1496,164,-701,74571,-3,16223,-1964,403,43,43,74592,-5339,31921,4380,525,801,65,74592,-3057,-30457,15918,7,-450,-190,74571,1398,29175,14395,-48,-312,-261,10,2
1607,74593,31291,-2074,11065,-1496,126,-701,74593,-3,16223,-1965,390,43,43,74614,-5339,31921,4380,411,801,65,74614,-3057,-30518,15814,-16,-450,-190,74593,1398,29175,14328,-85,-312,-261,10,2
1608,74615,31348,-2053,11214,-1214,77,-696,74615,29,16228,-1965,375,204,43,74636,-5206,31928,4487,383,963,108,74636,-2856,-30584,15724,-24,-301,-120,74615,1704,29197,14278,-112,-161,-69,10,2
1609,74637,31358,-2053,11214,-1184,77,-696,74637,29,16228,-1958,375,222,43,74658,-5206,31928,4487,383,963,108,74658,-2856,-30584,15724,-24,-301,-120,74637,1710,29197,14278,-112,-161,-69,10,2
1610,74659,31358,-2053,11214,-1184,32,-696,74659,29,16228,-1958,353,222,43,74680,-5206,31928,4487,303,963,108,74680,-2856,-30614,15657,-30,-301,-120,74659,1710,29197,14278,-131,-161,-69,10,2
1611,74681,31390,-2033,11302,-929,-1,-721,74681,75,16237,-1945,336,356,40,74702,-5108,31954,4621,302,1085,161,74702,-2719,-30624,15606,-31,-189,-54,74681,1974,29223,14282,-145,-47,38,10,2
1612,74703,31390,-2018,11302,-899,-1,-721,74703,76,16237,-1945,336,379,40,74724,-5108,31954,4621,298,1144,161,74724,-2719,-30624,15606,-31,-189,-52,74703,1974,29223,14286,-145,-47,38,10,2
1613,74725,31390,-2018,11302,-899,-32,-736,74725,76,16230,-1945,324,379,38,74746,-5108,31954,4621,298,1144,161,74746,-2719,-30648,15586,-31,-189,-52,74725,1974,29223,14286,-162,-47,38,10,2
1614,74747,31398,-2069,11368,-685,-36,-751,74747,108,16230,-1935,296,499,37,74768,-5043,31995,4711,295,1273,190,74768,-2649,-30666,15571,-28,-94,32,74747,2172,29219,14293,-182,72,94,10,2
1615,74769,31398,-2069,11368,-685,-36,-751,74769,108,16233,-1935,296,499,37,74790,-5043,31999,4767,293,1273,190,74790,-2649,-30666,15571,-15,-94,32,74769,2172,29219,14294,-182,72,94,10,2
1616,74791,31400,-2107,11368,-685,-58,-769,74791,108,16233,-1935,284,499,37,74812,-5043,31999,4767,293,1273,190,74812,-2649,-30679,15560,-15,-94,32,74791,2172,29210,14294,-195,72,94,10,2
1617,74813,31400,-2162,11408,-664,-71,-797,74813,104,16234,-1928,259,584,52,74834,-4906,32051,4793,293,1167,155,74834,-2604,-30689,15552,1,2,80,74813,2301,29203,14282,-204,114,119,10,2
1618,74835,31410,-2162,11408,-664,-71,-797,74835,104,16235,-1928,259,584,63,74856,-4906,32051,4793,321,1167,155,74856,-2604,-30689,15552,1,4,80,74835,2301,29203,14282,-204,114,119,10,2
1619,74857,31410,-2203,11408,-693,-71,-818,74857,96,16235,-1928,256,584,63,74878,-4906,32051,4793,321,1012,98,74878,-2604,-30696,15546,1,4,80,74857,2301,29203,14282,-204,114,108,10,2
1620,74879,31418,-2260,11438,-805,-56,-824,74879,71,16242,-1908,256,551,89,74900,-4803,32072,4812,353,797,33,74900,-2596,-30714,15515,-14,95,64,74879,2397,29206,14267,-190,134,81,10,2
1621,74901,31425,-2260,11438,-805,-36,-824,74901,71,16242,-1903,257,551,89,74922,-4803,32072,4822,400,797,33,74922,-2596,-30714,15515,-14,95,64,74901,2399,29208,14267,-190,134,81,10,2
1622,74923,31425,-2281,11426,-1003,-36,-824,74923,50,16242,-1903,257,512,89,74944,-4803,32072,4822,400,580,-1,74944,-2598,-30727,15492,-30,95,7,74923,2399,29218,14256,-190,134,58,10,2
1623,74945,31447,-2281,11426,-1219,7,-821,74945,35,16247,-1872,268,445,102,74966,-4806,32074,4844,481,364,-26,74966,-2598,-30737,15475,-42,174,-79,74945,2473,29218,14248,-177,154,-18,10,2
