Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,15200,-32719,-4472,2032,-756,1934,34,15200,1604,32673,-1180,-6,545,-672,15201,-3056,32440,6528,24,1681,-386,15201,-4295,-32416,8816,-529,-153,-1254,15202,-3232,30968,9256,655,-1322,1216,1,2
2,15243,-32407,-5080,1896,-700,1979,-68,15243,1546,32621,-1588,418,975,-612,15244,-2952,32160,7016,702,1379,-494,15244,-4279,-32296,8736,-378,125,-1388,15243,-2904,30816,9368,341,-2300,704,1,2
3,15286,-32647,-4784,1888,-1020,1571,-134,15286,1374,32721,-910,216,787,-628,15287,-3304,32216,6920,176,1055,-472,15287,-4063,-32456,8592,-600,55,-1132,15285,-3048,30928,9440,345,-922,788,1,2
4,15330,-32551,-5056,1800,-1020,1726,8,15330,1552,32599,-1408,138,915,-608,15329,-3304,32256,7064,64,957,-552,15329,-4279,-32256,8768,-535,-263,-1084,15325,-3064,31040,9320,-87,-870,880,1,2
5,15372,32745,-4720,1984,-1158,1666,46,15372,1334,32583,-878,48,711,-562,15371,-3480,32200,7208,476,817,-478,15371,-4015,-32328,9120,-236,343,-1232,15365,-3512,30976,9120,-175,-184,800,1,2
6,15414,-32719,-4768,2112,-1100,1583,-50,15414,1280,32553,-1568,386,1091,-350,15413,-2920,32280,6968,706,743,-282,15413,-3919,-32392,8776,-189,-133,-598,15405,-3104,31000,9264,-202,48,446,1,2
7,15456,-32399,-4736,2272,-1304,1930,32,15456,848,32557,-982,326,389,-220,15455,-3768,32088,7120,526,486,72,15455,-3703,-32536,8720,-108,953,-782,15445,-2560,31224,9264,-412,8,42,1,2
8,15498,-32583,-4912,1992,-1280,1696,126,15498,1920,-32701,-814,575,-382,126,15497,-3008,32200,6440,744,255,-288,15497,-3599,-32416,8976,-6,603,-384,15485,-3856,30768,9728,-219,-684,102,1,2
9,15540,-32591,-4824,2496,-1338,1370,230,15540,1810,32559,-1342,744,600,268,15539,-3680,32344,6184,1278,153,-226,15539,-3263,-32280,8600,46,1442,36,15525,-3160,31072,9336,-428,772,448,1,2
10,15582,-31655,-4272,1960,-1244,274,200,15582,1704,32585,-660,704,1388,390,15581,-1808,31912,7488,1067,-859,-452,15581,-4671,32456,7784,916,13914,566,15565,-3920,30816,10584,-2992,12454,1892,1,2
11,15624,-31935,-5168,1824,-2333,-672,188,15624,608,32573,-1308,534,1643,-120,15623,-3168,-32608,7144,1771,-1603,-580,15623,-3895,-32728,8024,-1108,11761,-1518,15605,-2576,30856,8088,-594,8812,1006,1,2
