Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,6220,-32575,-4392,1776,-238,1172,32,6220,4596,32511,-2742,560,2057,-328,6221,-1968,31984,8664,534,295,-236,6221,-6359,-32208,8664,180,73,-56,6222,-5656,30136,11528,-752,62,394,1,2
2,6263,-32415,-4288,1752,-204,1178,176,6263,3560,32123,-2866,670,1922,50,6264,-2160,31872,7808,226,2244,570,6264,-6255,-31992,8712,-257,-90,126,6263,-6272,29904,11752,-427,-314,318,1,2
3,6306,-32335,-5048,1992,-122,1434,68,6306,4054,32469,-2686,438,791,-48,6307,-1536,32264,7776,328,1932,308,6307,-6815,-31832,8616,25,-85,-62,6305,-5920,29840,11872,-731,-96,600,1,2
4,6350,-32639,-4552,1488,-746,1162,28,6350,4530,32411,-2418,590,402,408,6349,-1432,32032,7520,272,1532,384,6349,-6359,-32120,8576,-314,155,-50,6345,-5760,29864,11816,-714,496,832,1,2
5,6392,-32463,-4856,792,-860,1614,24,6392,5104,32419,-2764,974,314,624,6393,-1312,32240,7528,-68,1774,356,6393,-6927,-32080,8920,530,2455,-296,6385,-5808,29840,12088,-31,-248,450,1,2
6,6436,-32375,-4872,552,-1092,1790,0,6436,3960,32409,-2192,893,-820,72,6435,-2008,32136,7408,-126,1853,-350,6435,-7703,-31504,11584,1382,16255,-546,6425,-7240,28648,10192,-480,11128,2562,1,2
7,6478,-31415,-5032,440,-610,2603,-158,6478,3982,-31701,-1498,205,-1671,-1742,6479,-1736,32216,8064,-372,1901,-2548,6479,-6887,32720,8520,-1568,6723,-3352,6465,-5336,31040,10752,308,6894,2912,1,2
8,6522,-31063,-4831,-768,864,3632,28,6522,3840,-31747,-1516,-2343,-919,-5780,6521,-1504,-31800,6208,-1508,3695,-5204,6521,-7551,-31384,9576,-3146,1271,-5970,6505,-3616,31784,11496,2554,7058,1822,1,2
9,6564,-29615,-4791,-1984,-600,2647,-1074,6564,1830,-31762,2322,-2504,7073,-11012,6563,-4440,31392,6336,2425,-3917,-12198,6563,-9919,-32376,6744,-1681,-2933,-12968,6545,-9264,29376,11576,7491,-11422,546,1,2
10,6607,30585,-5919,-3608,-4851,-4121,-944,6607,-5746,31186,10796,-7662,12579,-23376,6606,-10296,25720,2360,6769,-14983,-29008,6606,-11215,-31448,3104,5207,-4831,-25842,6585,-15256,28448,12536,6901,-13786,13576,1,2
11,6650,11161,-599,-2064,-2047,-7800,1918,6650,-13250,29777,-2476,-13938,23829,20226,6649,-15312,17577,-3248,8600,2193,11812,6649,-1431,32352,2240,13873,-9201,-32594,6625,-14584,31240,12008,1855,-3916,32488,1,2
