Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,person_id
1,4280,0,0,0,0,0,0,4280,0,0,0,0,0,0,4280,0,0,0,0,0,0,4280,0,0,0,0,0,0,4281,0,0,0,0,0,0,1,2,imu_label_2_jeahyeon
2,4302,-1000,-550,0,0,0,0,4302,0,0,0,0,0,0,4302,0,-1000,0,0,0,0,4302,0,0,0,0,0,0,4303,0,0,0,0,0,0,1,2,imu_label_2_jeahyeon
3,4323,-2000,-962,1000,-44,213,34,4323,-164,-987,-223,10,5,0,4324,108,-2000,1000,44,124,-22,4324,380,1000,334,12,116,21,4324,-513,1000,828,-45,52,39,1,2,imu_label_2_jeahyeon
4,4343,-2000,-962,1000,-44,213,34,4343,-164,-987,-223,10,5,0,4345,108,-2000,1000,44,124,-22,4345,380,1000,334,12,116,21,4345,-513,1000,828,-45,52,39,1,2,imu_label_2_jeahyeon
5,4363,-2000,-1262,1000,-77,213,34,4363,-278,-1726,-387,10,5,0,4366,108,-3000,1000,44,124,-26,4366,380,1000,334,12,116,21,4366,-897,1000,828,-79,52,39,1,2,imu_label_2_jeahyeon
6,4383,-1000,-1496,2000,-104,367,60,4383,-357,-2280,-509,19,5,0,4387,197,-4000,2000,78,217,-26,4387,681,2000,584,11,193,32,4387,-1190,2000,1432,-104,82,65,1,2,imu_label_2_jeahyeon
7,4403,-1000,-1496,2000,-104,367,60,4403,-357,-2280,-509,19,5,0,4408,197,-4000,2000,82,217,-24,4408,681,2000,584,11,193,32,4408,-1190,2000,1432,-104,82,65,1,2,imu_label_2_jeahyeon
8,4423,-1000,-1669,2000,-125,367,60,4423,-412,-2696,-596,19,5,0,4429,197,-5000,2000,82,217,-24,4429,681,2000,584,10,193,32,4429,-1413,2000,1432,-104,82,65,1,2,imu_label_2_jeahyeon
9,4443,-2000,-1809,2824,-142,483,79,4443,-453,-3011,-661,23,8,1,4450,272,-6000,2856,118,264,-23,4450,923,3000,751,10,201,15,4450,-1583,3000,1914,-88,46,87,1,2,imu_label_2_jeahyeon
10,4463,-2000,-1809,2824,-142,488,79,4463,-453,-3011,-661,23,11,1,4471,272,-6000,2856,118,264,-23,4471,923,3000,751,10,201,15,4471,-1583,3000,1914,-73,46,105,1,2,imu_label_2_jeahyeon
11,4483,-3000,-1919,2824,-173,488,70,4483,-487,-3248,-710,23,11,1,4492,272,-7000,2856,118,264,-28,4492,923,3000,751,12,201,0,4492,-1691,3000,1914,-73,19,105,1,2,imu_label_2_jeahyeon
