Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,63760,0,0,0,0,0,0,63760,0,0,0,0,0,0,63760,0,0,0,0,0,0,63760,0,0,0,0,0,0,63761,0,0,0,0,0,0,1,2
2,63782,0,0,0,0,0,0,63782,-144,0,0,0,0,0,63782,0,-1000,0,0,0,0,63782,0,0,0,-20,0,0,63783,-496,0,0,0,0,0,1,2
3,63803,1000,-542,1000,-67,221,25,63803,-252,-991,-211,13,9,0,63804,152,-2000,1000,32,100,-32,63804,334,1000,359,-40,49,-10,63804,-870,1000,651,-67,-15,40,1,2
4,63823,1000,-542,1000,-67,221,25,63823,-252,-991,-211,13,9,0,63825,152,-2000,1000,32,100,-32,63825,334,1000,359,-40,49,-10,63825,-870,1000,651,-67,-15,40,1,2
5,63843,1000,-948,1000,-117,221,25,63843,-332,-1734,-367,13,9,0,63846,152,-3000,1000,32,100,-56,63846,334,1000,359,-55,49,-15,63846,-1150,1000,651,-115,-20,40,1,2
6,63863,2000,-1288,2000,-181,386,38,63863,-392,-2291,-484,22,15,-1,63867,266,-4000,1830,56,189,-97,63867,574,2000,628,-61,81,-20,63867,-1365,2000,1139,-154,-30,58,1,2
7,63883,2000,-1288,2000,-181,386,38,63883,-392,-2291,-484,22,15,-1,63888,266,-4000,1830,72,204,-97,63888,574,2000,628,-61,81,-20,63888,-1365,2000,1147,-154,-30,58,1,2
8,63903,2000,-1543,2000,-236,386,38,63903,-435,-2709,-572,22,15,-1,63909,266,-5000,1830,72,204,-128,63909,574,2000,628,-64,81,-20,63909,-1521,2000,1147,-185,-37,45,1,2
9,63923,3000,-1725,2900,-301,506,48,63923,-467,-3022,-639,28,22,0,63930,399,-6000,2456,84,285,-128,63930,748,3000,829,-64,105,-18,63930,-1643,3000,1536,-208,-72,31,1,2
10,63943,3000,-1725,2906,-301,506,48,63943,-467,-3022,-639,28,24,0,63951,400,-6000,2456,84,305,-110,63951,748,3000,829,-64,105,-18,63951,-1643,3000,1549,-208,-72,31,1,2
11,63963,3000,-1852,2906,-350,506,48,63963,-490,-3257,-691,28,24,0,63972,400,-7000,2456,84,305,-110,63972,748,3000,829,-67,105,-18,63972,-1740,3000,1549,-225,-98,21,1,2
12,63983,4000,-1944,3587,-406,600,46,63983,-508,-3431,-730,30,32,3,63993,501,-8000,2898,93,385,1890,63993,886,4000,979,-67,104,-33,63993,-1827,4000,1842,-238,-98,15,1,2
