Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,3560,31425,-5304,16152,-1882,1233,-566,3560,674,8037,-1340,67,-76,90,3561,-88,30528,13040,1093,-899,-774,3561,-8327,-31904,4480,37,-6792,264,3562,-768,31720,5776,101,-2496,50,1,0
2,3583,31305,-4760,15688,-1894,1599,-406,3583,598,8011,-1280,79,-40,118,3584,-416,30728,13304,453,-939,-670,3584,-8919,-31976,5136,-562,798,364,3583,-1200,31680,5472,95,-2435,-72,1,0
3,3606,11305,-4544,5083,-1856,0,-122,3606,0,0,-1280,0,0,0,3607,-88,10728,1397,0,-899,-670,3607,-8327,-31848,0,0,0,0,3605,-768,11680,0,0,-1713,0,1,0
4,3629,0,-4544,0,-1856,0,-122,3629,0,0,-1340,0,0,0,3630,-416,0,0,0,-899,-670,3630,-8575,-31848,0,0,0,0,3625,-1120,0,0,0,-1713,0,1,0
5,3652,20000,-4544,10605,-1856,976,-122,3652,526,8015,-1340,96,38,122,3653,-480,20000,11907,-454,-899,-670,3653,-8759,-31848,4480,37,798,262,3645,-1120,20000,5248,27,-1713,50,1,0
6,3675,31801,-4232,15688,-1524,976,66,3675,526,8015,-1336,97,38,122,3676,-480,30728,12784,-454,323,-90,3676,-8759,-31848,4728,150,1098,262,3665,-1120,31816,5248,27,-1050,64,1,0
7,3698,31801,-4232,15752,-1282,976,66,3698,526,8035,-1366,98,38,122,3699,-480,30792,12784,-454,1058,250,3699,-8759,-31848,4728,150,1142,262,3685,-1120,31816,5248,27,-332,104,1,0
8,3721,31801,-4232,15824,-1282,636,66,3721,526,8035,-1336,106,38,110,3722,-480,30832,12784,-454,1058,458,3722,-8759,-31960,4728,150,1142,262,3705,-1120,31816,5200,-4,-332,122,1,0
9,3744,31801,-4264,15824,-1282,636,66,3744,526,8035,-1336,106,38,92,3745,-480,30832,12784,-454,1058,574,3722,-8759,-31960,4728,150,1142,262,3746,-1208,11816,5432,-1926,2244,106,1,0
10,3767,31897,-4264,15696,-272,636,166,3767,602,8039,-1336,112,131,-104,3768,-2000,31192,12888,-1073,-1963,-872,3745,-8759,-32080,4728,150,1142,238,3767,-1208,-8184,5096,-1926,2404,106,1,0
