Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,7760,-32423,-5040,9920,-1062,1853,-76,7760,2426,32143,-5632,370,334,850,7761,-5944,31664,7032,506,666,186,7761,-2031,-32304,9472,-141,-460,324,7762,-728,31832,6776,-189,-132,194,1,3
2,7803,-32447,-5040,10120,-1052,1511,-26,7803,2330,32337,-4900,256,1346,566,7804,-5184,31760,7088,452,1050,264,7804,-2359,-32472,9952,115,-116,168,7803,-880,31608,7072,-81,-186,196,1,3
3,7846,-32623,-4968,9488,-938,1581,-20,7846,2238,32273,-5308,-44,588,552,7847,-5520,31896,7016,458,688,80,7847,-2031,-32368,9960,-107,-634,190,7845,-880,31768,6928,-159,-72,396,1,3
4,7888,-32727,-5256,9720,-956,1817,-36,7888,2302,32487,-5082,1470,348,464,7889,-5672,31584,6800,324,960,238,7889,-2847,-32552,10320,-426,2259,-764,7885,-728,31520,7104,-280,422,332,1,3
5,7930,-32359,-5144,10024,-942,2116,108,7930,910,32219,-5188,818,417,-392,7931,-5008,31960,7120,172,1023,-154,7931,-2439,-32128,10128,-414,1475,-1746,7925,-840,31624,6936,-192,290,530,1,3
6,7972,32425,-5208,10304,-1374,1908,82,7972,1880,32067,-5688,925,-1333,-64,7973,-5704,31952,6640,3,-303,-646,7973,-2175,-32536,9480,-502,1401,-1978,7965,-832,31968,6968,-266,1780,786,1,3
7,8016,-32223,-5136,10376,-1608,2421,-8,8016,1824,32741,-4692,605,-839,-236,8015,-6000,31920,7480,329,-835,-840,8015,-1767,-32544,9704,-704,1575,-2048,8005,-576,31544,6880,-130,1596,1112,1,3
8,8058,-32607,-4896,8856,-1424,1987,-160,8058,1770,31891,-5870,289,-525,-830,8059,-5912,-30992,7272,-546,1301,-1418,8059,-2743,-32304,10128,-898,271,-2324,8045,-976,31528,6704,-78,1728,1836,1,3
9,8100,-30511,-5032,9720,-398,4077,-28,8100,3602,31923,-5186,2887,-689,-2724,8101,-4576,28504,7584,2000,5445,-1916,8101,-3727,-32640,9752,-1483,-561,-4036,8085,-1152,32528,7728,334,1622,3364,1,3
10,8142,-30311,-5352,7816,-812,929,-254,8142,4062,31809,-5974,996,2679,-6616,8143,-2712,31688,4832,-3242,3229,-7816,8143,-887,-32576,10088,-1705,-1541,-5100,8125,-1512,30192,7200,910,2534,6828,1,3
11,8186,-31887,-6088,7064,-2421,-1624,464,8186,2388,32233,-3620,2422,7299,-8318,8185,-528,31608,5200,958,339,-6990,8185,-1167,-32424,8976,-1573,-6267,-4458,8165,1600,31064,6872,873,-434,4776,1,3
12,8228,-29559,-5048,6288,-2001,-4728,800,8228,1430,31311,-4400,1122,19,-9870,8229,-4256,-32192,5800,-207,-4005,-6814,8229,737,-32544,7856,-499,-2057,-6102,8207,2248,31656,6400,-138,600,2738,1,3
13,8272,-29967,-6224,3264,-2725,-9736,260,8272,-1094,30655,-3688,3066,2405,-10080,8271,-6968,29976,4872,-125,-2517,-8260,8271,-527,32624,9048,915,-2447,-6926,8247,1608,31408,6160,-793,-1738,784,1,3
14,8314,31969,-6688,2744,-4647,-12722,0,8314,2064,30705,-2700,4249,-3951,-11734,8315,-8000,29264,3944,-4048,2393,-11728,8315,353,-32552,7072,2191,-2133,-7880,8287,-1632,31624,6176,-1343,-1110,2448,1,3
15,8356,31665,-5368,5280,-5915,-15608,284,8356,2472,31865,-2726,3562,1735,-12440,8357,-6264,29520,4464,-3344,6815,-15828,8357,6129,-31992,8928,3089,-1767,-4932,8327,-448,31888,6544,-2868,1766,6804,1,3
16,8399,29681,-4616,3752,-7475,-21636,1116,8399,-1596,29627,-7586,5096,2903,-11278,8400,-5824,32432,4944,-6061,-8895,-16198,8400,-823,-31880,10784,2994,851,-6898,8367,3376,31752,6136,-4121,-2452,6180,1,3
17,8442,29617,-4232,1680,-6771,-22242,1434,8442,-5418,32147,-5326,3043,-3835,-11156,8443,-11048,30640,9552,-1889,-3355,-15542,8443,4417,-32448,9136,3155,-1599,-3728,8407,6832,30896,8856,-4630,3326,5702,1,3
18,8484,27913,-4896,448,-6961,-24116,440,8484,-3758,-32377,-7300,1617,-11489,-12752,8485,-11128,30840,9992,-1995,-3239,-15560,8485,5225,32616,9864,3675,-47,-4000,8447,2088,30296,7000,-6459,-2986,1704,1,3
19,8528,24633,-4927,-952,-7399,-27596,200,8484,-3758,-32377,-7300,1617,-11489,-12752,8527,-14576,28528,10040,-1921,-13817,-11406,8527,5969,-28536,13472,4224,5835,-5602,8529,408,30968,8320,-4914,640,4224,1,3
20,8571,24921,-1968,1440,-5007,-20884,1338,8528,-8434,28873,-8786,-1196,2607,-19290,8570,-17248,22904,10608,1202,6751,-17948,8570,1633,32480,10632,3605,-2955,-4514,8570,3776,30792,9792,-4348,156,6198,1,3
21,8614,18161,-2960,376,-2325,-21060,466,8571,-8284,23139,-8344,-2326,6139,-18634,8613,-17560,18976,14432,9141,-7305,-21746,8613,673,-31336,13984,2437,-2337,-9378,8612,-1728,30944,5424,-4629,-5066,11430,1,3
22,8656,24409,-3279,-6216,-1579,-15501,-476,8614,-18750,24283,-5976,4501,-2363,-20196,8655,-13808,12472,8360,9205,-9511,-26842,8655,10521,32400,11680,3974,6135,-12554,8652,7624,-31720,9848,-5098,3134,13738,1,3
23,8698,27001,-3023,-7936,-177,-6536,2326,8656,-14242,22029,-5432,1935,-9749,-26176,8697,-18080,28312,14408,-9654,4205,-20736,8697,8625,-31624,13304,3134,1591,-10466,8692,4456,28280,10920,-4058,4,12058,1,3
24,8740,28553,-8159,-11328,-875,-14868,2190,8698,-14386,29083,-8104,7307,-2347,-18728,8739,-20024,27696,7944,540,2135,-20880,8739,9753,-29232,12400,3846,1149,-9366,8732,12808,25800,10272,-3428,2896,9870,1,3
25,8782,-31799,-2999,-13000,795,-6592,2520,8740,-10010,28957,-3670,23,-6541,-19812,8781,-22480,25784,11040,-4217,-1057,-18372,8781,10537,-32720,11696,5612,1449,-5916,8772,9464,30488,9568,-6287,-1542,5888,1,3
26,8824,31641,-7999,-11528,393,-6716,1398,8782,-18902,29099,-8186,5998,4919,-18598,8823,-25424,21416,16152,2168,7635,-14944,8823,7953,-30712,15864,4542,2293,-5830,8812,5128,27600,14624,-4166,212,4696,1,3
27,8866,-30711,-7143,-15000,-643,-7418,1302,8824,-19192,28519,-11664,-1951,-3505,-15254,8865,-26416,23328,8448,-1676,8949,-11544,8865,10609,-31120,13048,1129,-2281,-2514,8852,10136,31160,12176,-373,-2444,3588,1,3
28,8908,28193,-2391,-11864,-1291,-14392,1658,8866,-23780,27267,-9132,1413,-341,-11932,8907,-25256,19704,6912,1726,4665,-11364,8907,7329,-30624,13736,1009,-1783,-2620,8892,5688,29320,9800,-1578,952,3970,1,3
29,8950,25865,-6999,-15000,545,-10980,1564,8908,-20728,24801,-8274,697,-1665,-9672,8949,-24824,16048,5376,2008,6867,-11982,8949,11713,-30576,13968,958,1691,-2618,8932,10536,28936,10496,-1549,-2280,3326,1,3
30,8992,24897,-1839,-12192,727,-7252,488,8950,-24752,21115,-6796,485,-1351,-10258,8991,-27592,16880,8456,2254,1187,-12806,8991,8129,-29744,13800,870,1175,-2124,8972,8120,29192,11360,-3825,-920,3010,1,3
31,9034,22889,-9599,-18784,-4911,-4259,-2270,9034,-25476,14303,-9058,-3865,-1715,-11298,9035,-26536,11352,11712,-2528,5993,-9546,8991,8129,-29744,13800,870,1175,-2124,9013,8792,28040,15816,-1858,2866,4138,1,3
32,9076,25009,-2623,-14384,2315,-960,64,9076,-21950,26139,-6932,633,-4011,-10858,9077,-26536,11352,11712,-2538,6265,-9546,9035,10017,-29632,14376,1552,1687,-3650,9053,9032,28568,10760,-405,-932,4740,1,3
