Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
131,8981,28223,-3200,18285,-983,385,-653,8981,2326,15789,-3611,340,369,-116,9542,4033,27939,18412,362,999,-184,9542,9585,29955,11929,-119,227,21,8981,-648,31749,6268,-260,148,203,2,4
132,9543,28227,-3196,18303,-956,382,-639,9543,2337,15790,-3610,344,364,-109,9564,4033,27962,18377,361,1016,-156,9564,9604,29972,11929,-119,239,27,9543,-670,31747,6268,-253,151,216,2,4
133,9565,28227,-3196,18323,-956,382,-639,9565,2337,15790,-3610,344,364,-109,9586,4033,27962,18377,361,1016,-156,9586,9604,29972,11936,-108,249,27,9565,-670,31747,6285,-253,151,216,2,4
134,9587,28227,-3196,18323,-956,373,-639,9587,2337,15789,-3610,344,364,-109,9608,4040,27962,18350,351,1016,-156,9608,9604,29972,11936,-108,249,0,9587,-686,31747,6285,-253,151,216,2,4
135,9609,28234,-3191,18352,-947,348,-640,9609,2339,15788,-3606,348,370,-92,9630,4040,27965,18330,341,1012,-130,9630,9619,29961,11950,-94,262,-24,9609,-700,31768,6297,-250,130,240,2,4
136,9631,28242,-3191,18352,-947,348,-640,9631,2339,15788,-3606,348,370,-92,9652,4042,27965,18330,341,1012,-125,9652,9627,29961,11950,-88,262,-24,9631,-700,31768,6303,-250,130,240,2,4
137,9653,28242,-3191,18352,-947,316,-641,9653,2339,15787,-3606,348,370,-92,9674,4043,27965,18327,334,1012,-125,9674,9627,29952,11950,-88,262,-42,9653,-711,31768,6303,-250,121,240,2,4
138,9675,28253,-3187,18314,-942,292,-641,9675,2338,15787,-3599,346,376,-78,9696,4043,27961,18325,331,1031,-93,9696,9644,29940,11946,-86,270,-48,9675,-719,31774,6312,-248,107,258,2,4
139,9697,28253,-3187,18314,-942,292,-641,9697,2338,15787,-3599,346,378,-78,9718,4050,27961,18325,331,1031,-93,9718,9644,29940,11946,-86,270,-48,9697,-719,31774,6312,-248,107,258,2,4
140,9719,28253,-3187,18285,-942,287,-641,9719,2335,15787,-3599,345,378,-78,9740,4050,27961,18325,331,1031,-93,9740,9629,29940,11943,-86,270,-57,9719,-725,31774,6312,-248,104,258,2,4
141,9741,28252,-3182,18285,-943,287,-639,9741,2333,15790,-3592,345,382,-71,9762,4057,27972,18321,335,1030,-88,9762,9629,29947,11923,-88,275,-59,9741,-729,31774,6304,-247,94,276,2,4
142,9763,28252,-3182,18283,-943,287,-639,9763,2333,15790,-3592,345,382,-71,9784,4063,27972,18321,338,1030,-88,9784,9633,29952,11923,-88,275,-59,9763,-729,31774,6304,-245,94,276,2,4
143,9785,28252,-3182,18261,-944,287,-639,9785,2333,15790,-3592,345,382,-71,9806,4063,27972,18321,340,1029,-88,9806,9633,29955,11908,-89,275,-60,9785,-740,31774,6278,-245,94,276,2,4
144,9807,28271,-3172,18243,-944,288,-647,9807,2333,15787,-3590,346,380,-65,9828,4073,27989,18332,333,1026,-80,9828,9642,29958,11897,-90,279,-60,9807,-749,31782,6262,-240,97,272,2,4
145,9829,28271,-3172,18243,-944,288,-647,9829,2334,15787,-3590,347,380,-64,9850,4073,27989,18332,333,1026,-80,9850,9642,29958,11897,-90,279,-60,9829,-749,31782,6262,-240,98,272,2,4
146,9851,28271,-3172,18218,-944,288,-654,9851,2334,15785,-3591,347,377,-64,9872,4073,27989,18332,328,1026,-80,9872,9642,29958,11897,-90,279,-60,9851,-755,31782,6250,-240,98,272,2,4
147,9873,28285,-3165,18211,-936,289,-660,9873,2335,15784,-3594,349,372,-58,9894,4078,28001,18319,328,1031,-77,9894,9649,29958,11910,-93,285,-56,9873,-755,31798,6245,-239,101,278,2,4
148,9895,28285,-3165,18211,-934,289,-660,9895,2335,15784,-3594,349,372,-58,9916,4078,28001,18319,332,1035,-77,9916,9657,29970,11914,-93,285,-56,9895,-740,31798,6245,-239,101,285,2,4
149,9917,28285,-3177,18211,-934,288,-664,9917,2335,15784,-3596,349,368,-58,9938,4076,28001,18315,332,1035,-80,9938,9657,29970,11914,-93,285,-56,9917,-740,31798,6245,-239,101,285,2,4
150,9939,28276,-3186,18222,-924,287,-668,9939,2344,15784,-3596,350,368,-57,9960,4075,27998,18312,337,1044,-85,9960,9668,29979,11925,-90,289,-35,9939,-727,31808,6261,-238,103,292,2,4
151,9961,28276,-3186,18228,-922,287,-668,9961,2344,15784,-3596,350,370,-57,9982,4072,27998,18312,337,1044,-85,9982,9668,29983,11925,-87,291,-35,9961,-725,31808,6263,-238,103,292,2,4
