Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
736,55931,28781,-2451,17467,-970,407,-651,55931,596,15982,-3323,349,374,-25,56332,-7127,31541,6233,336,1022,-96,56332,-2326,-31104,14446,-98,302,-94,55931,2217,31501,7353,-236,150,328,9,4
737,56333,28774,-2466,17467,-970,407,-658,56333,596,15982,-3324,347,374,-25,56354,-7127,31537,6232,336,1016,-96,56354,-2326,-31104,14446,-98,295,-94,56333,2217,31501,7350,-240,150,328,9,4
738,56355,28768,-2477,17470,-953,397,-658,56355,601,15982,-3326,346,379,-27,56376,-7127,31534,6228,337,1016,-93,56376,-2316,-31100,14460,-98,292,-83,56355,2226,31495,7322,-240,150,328,9,4
739,56377,28768,-2477,17474,-953,397,-658,56377,601,15982,-3326,346,379,-27,56398,-7127,31507,6225,337,1021,-90,56398,-2316,-31100,14466,-98,292,-83,56377,2226,31495,7322,-239,154,328,9,4
740,56399,28764,-2477,17474,-953,390,-659,56399,601,15982,-3327,346,379,-28,56420,-7127,31498,6225,332,1021,-90,56420,-2316,-31100,14466,-98,292,-83,56399,2226,31493,7301,-234,154,328,9,4
741,56421,28759,-2451,17479,-955,385,-660,56421,602,15978,-3330,347,382,-28,56442,-7115,31491,6220,329,1025,-92,56442,-2308,-31093,14457,-96,294,-72,56421,2237,31493,7285,-232,159,322,9,4
742,56443,28759,-2451,17479,-955,385,-660,56443,603,15978,-3330,347,382,-28,56464,-7115,31491,6217,329,1025,-92,56464,-2308,-31093,14457,-96,294,-72,56443,2243,31497,7285,-227,162,322,9,4
743,56465,28755,-2451,17479,-955,381,-664,56465,603,15978,-3332,347,382,-28,56486,-7115,31491,6217,321,1025,-92,56486,-2308,-31093,14444,-96,294,-72,56465,2243,31497,7269,-227,162,322,9,4
744,56487,28752,-2432,17483,-941,378,-676,56487,604,15981,-3333,347,378,-26,56508,-7106,31500,6217,315,1030,-93,56508,-2310,-31091,14435,-95,300,-64,56487,2246,31500,7269,-229,166,325,9,4
745,56509,28752,-2432,17483,-941,378,-676,56509,604,15981,-3333,347,378,-26,56530,-7102,31500,6232,315,1030,-93,56530,-2310,-31091,14435,-93,300,-62,56509,2246,31500,7279,-229,166,327,9,4
746,56531,28752,-2432,17483,-941,378,-682,56531,604,15981,-3334,347,375,-26,56552,-7102,31500,6232,310,1030,-94,56552,-2312,-31091,14430,-93,300,-62,56531,2246,31495,7279,-237,166,327,9,4
747,56553,28764,-2448,17484,-944,393,-682,56553,603,15980,-3336,348,373,-27,56574,-7088,31491,6228,309,1028,-98,56574,-2317,-31104,14426,-91,303,-67,56553,2248,31489,7273,-245,166,329,9,4
748,56575,28770,-2448,17510,-944,393,-677,56575,603,15980,-3336,348,373,-27,56596,-7086,31491,6228,309,1028,-98,56596,-2317,-31104,14426,-90,303,-67,56575,2256,31489,7273,-245,166,329,9,4
749,56597,28770,-2474,17510,-952,393,-677,56597,602,15979,-3336,348,369,-28,56618,-7086,31484,6225,309,1025,-101,56618,-2321,-31114,14423,-90,303,-71,56597,2256,31488,7262,-253,166,324,9,4
750,56619,28775,-2493,17530,-974,388,-669,56619,601,15979,-3334,348,361,-28,56640,-7068,31479,6222,318,991,-107,56640,-2324,-31125,14421,-89,322,-76,56619,2264,31488,7254,-256,159,312,9,4
751,56641,28775,-2493,17530,-974,388,-669,56641,601,15979,-3330,348,361,-28,56662,-7068,31479,6222,318,991,-107,56662,-2326,-31125,14421,-89,322,-76,56641,2264,31488,7254,-256,159,312,9,4
752,56663,28775,-2493,17527,-991,383,-669,56663,600,15979,-3330,347,355,-28,56684,-7101,31479,6212,318,965,-108,56684,-2324,-31137,14421,-89,322,-79,56663,2264,31488,7254,-259,154,301,9,4
753,56685,28773,-2465,17499,-991,369,-661,56685,600,15981,-3327,344,347,-25,56706,-7125,31481,6205,315,965,-108,56706,-2306,-31148,14443,-85,319,-82,56685,2258,31498,7278,-259,154,292,9,4
754,56707,28773,-2465,17499,-983,369,-659,56707,602,15982,-3327,344,347,-25,56728,-7125,31487,6205,315,1018,-105,56728,-2304,-31148,14443,-85,319,-82,56707,2258,31498,7278,-259,163,292,9,4
755,56729,28773,-2465,17499,-983,353,-659,56729,602,15982,-3327,342,341,-25,56750,-7125,31487,6199,313,1018,-105,56750,-2304,-31157,14443,-85,316,-82,56729,2251,31498,7278,-261,163,288,9,4
756,56751,28780,-2474,17506,-964,333,-644,56751,615,15984,-3328,341,340,-31,56772,-7107,31497,6199,313,1066,-103,56772,-2297,-31163,14422,-82,293,-80,56751,2246,31503,7296,-263,178,288,9,4
757,56773,28780,-2474,17506,-952,333,-643,56773,615,15984,-3328,341,340,-31,56794,-7103,31497,6199,327,1066,-101,56794,-2297,-31163,14422,-82,293,-76,56773,2246,31503,7296,-263,179,289,9,4
758,56795,28773,-2481,17506,-952,295,-643,56795,615,15983,-3328,339,340,-36,56816,-7103,31497,6199,327,1066,-96,56816,-2297,-31166,14422,-82,293,-73,56795,2246,31503,7280,-263,179,289,9,4
759,56817,28754,-2484,17493,-938,267,-640,56817,609,15983,-3328,333,359,-40,56838,-7087,31504,6205,335,1056,-93,56838,-2292,-31168,14424,-78,297,-73,56817,2248,31521,7280,-263,190,290,9,4
760,56839,28754,-2487,17493,-938,267,-640,56839,609,15983,-3327,333,359,-40,56860,-7087,31504,6205,335,1056,-89,56860,-2292,-31168,14424,-78,316,-73,56839,2248,31525,7300,-263,190,290,9,4
761,56861,28751,-2484,17483,-939,264,-640,56861,596,15983,-3327,329,359,-40,56882,-7087,31504,6205,335,1046,-89,56882,-2292,-31168,14424,-78,316,-80,56861,2248,31525,7300,-263,190,289,9,4
762,56883,28751,-2475,17483,-965,264,-648,56883,582,15983,-3324,329,362,-39,56904,-7113,31508,6245,339,1023,-96,56904,-2290,-31158,14426,-77,332,-92,56883,2256,31533,7319,-263,178,288,9,4
763,56905,28759,-2461,17483,-965,266,-648,56905,582,15985,-3324,329,362,-36,56926,-7113,31508,6245,339,1023,-96,56926,-2290,-31148,14428,-77,332,-92,56905,2256,31533,7327,-263,178,288,9,4
764,56927,28759,-2461,17492,-985,266,-648,56927,577,15985,-3324,329,353,-36,56948,-7130,31505,6245,339,992,-102,56948,-2291,-31148,14428,-77,332,-92,56927,2254,31523,7327,-263,169,288,9,4
765,56949,28781,-2473,17492,-989,274,-641,56949,577,15988,-3321,332,345,-33,56970,-7143,31502,6251,342,974,-106,56970,-2292,-31133,14425,-77,322,-92,56949,2252,31516,7305,-258,154,291,9,4
766,56971,28781,-2473,17499,-989,274,-640,56971,582,15988,-3321,335,345,-33,56992,-7143,31502,6251,345,974,-106,56992,-2292,-31133,14425,-73,322,-90,56971,2252,31516,7305,-258,154,291,9,4
767,56993,28781,-2484,17499,-989,274,-640,56993,582,15987,-3321,335,345,-33,57014,-7143,31500,6251,345,974,-106,57014,-2292,-31133,14425,-73,314,-90,56993,2251,31509,7288,-258,154,291,9,4
768,57015,28798,-2493,17496,-987,281,-634,57015,588,15985,-3319,339,346,-35,57036,-7137,31495,6256,326,987,-101,57036,-2312,-31121,14426,-70,309,-85,57015,2250,31501,7288,-254,170,295,9,4
769,57037,28798,-2493,17488,-981,281,-634,57037,588,15985,-3318,339,351,-35,57058,-7137,31495,6256,326,995,-99,57058,-2312,-31121,14426,-70,309,-85,57037,2250,31501,7288,-254,176,296,9,4
770,57059,28798,-2493,17484,-981,281,-634,57059,588,15983,-3318,339,351,-35,57080,-7144,31495,6252,326,995,-99,57080,-2327,-31121,14426,-70,309,-85,57059,2250,31495,7288,-254,176,296,9,4
771,57081,28812,-2473,17481,-971,285,-641,57081,588,15983,-3316,338,349,-34,57102,-7150,31501,6252,320,1043,-107,57102,-2341,-31106,14427,-69,312,-76,57081,2251,31495,7288,-251,174,295,9,4
772,57103,28816,-2473,17481,-971,285,-641,57103,588,15983,-3316,338,349,-34,57124,-7150,31507,6246,320,1048,-107,57124,-2341,-31106,14427,-69,312,-76,57103,2251,31495,7288,-251,174,295,9,4
773,57125,28816,-2480,17480,-971,285,-646,57125,588,15983,-3316,337,347,-34,57146,-7150,31507,6243,320,1048,-111,57146,-2341,-31106,14412,-69,306,-76,57125,2251,31493,7280,-254,168,295,9,4
774,57147,28800,-2486,17480,-964,285,-653,57147,596,15984,-3313,337,347,-35,57168,-7150,31516,6240,332,1078,-114,57168,-2351,-31087,14412,-68,306,-58,57147,2254,31491,7274,-262,168,289,9,4
775,57169,28800,-2486,17480,-964,285,-653,57169,596,15984,-3313,338,348,-35,57190,-7150,31516,6240,332,1078,-114,57190,-2351,-31087,14415,-61,307,-58,57169,2254,31491,7274,-262,168,289,9,4
776,57191,28800,-2490,17480,-964,285,-658,57191,596,15984,-3313,338,348,-36,57212,-7150,31516,6240,332,1078,-114,57212,-2351,-31087,14415,-61,307,-58,57191,2254,31491,7269,-268,168,285,9,4
777,57213,28788,-2490,17476,-964,273,-662,57213,598,15986,-3313,340,355,-38,57234,-7134,31529,6244,347,1064,-109,57234,-2343,-31085,14417,-57,308,-47,57213,2258,31492,7265,-268,170,277,9,4
778,57235,28788,-2483,17476,-964,273,-662,57235,598,15986,-3313,340,355,-38,57256,-7134,31529,6244,347,1064,-109,57256,-2343,-31085,14418,-57,318,-47,57235,2258,31492,7265,-265,171,277,9,4
