Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,8080,0,0,0,0,0,0,8080,0,0,0,0,0,0,8080,0,0,0,0,0,0,8080,0,0,0,0,0,0,8081,0,0,0,0,0,0,1,0
2,8102,-1000,0,0,0,0,0,8102,0,0,0,0,0,0,8102,-560,0,0,0,0,-336,8102,0,-1000,0,0,0,-4,8103,-320,0,0,0,0,0,1,0
3,8124,-2000,316,210,-1220,102,179,8124,10,1000,1000,1884,-239,660,8124,-1162,1000,1000,0,-362,-589,8124,1000,-2000,98,-11,86,-18,8125,-632,1000,1000,-236,7,0,1,0
4,8145,-2000,316,210,-1220,347,179,8145,10,1000,1000,1884,-239,660,8146,-1162,1000,1000,83,-362,-589,8146,1000,-2000,98,-11,86,-18,8146,-632,1000,1000,-236,7,45,1,0
5,8165,-3000,316,210,-2010,347,179,8165,10,1000,1000,1884,-239,660,8167,-1613,1000,1000,83,-633,-779,8167,1000,-3000,98,-19,86,-28,8167,-866,1000,1000,-399,7,45,1,0
6,8185,-4000,861,223,-2571,467,424,8185,17,0,2000,3435,594,677,8188,-2115,2000,2000,145,-837,-939,8188,1844,-4000,159,-34,140,-38,8188,-1173,2000,2000,-503,-21,48,1,0
7,8205,-4000,861,223,-2571,467,424,8205,17,0,2000,3435,594,677,8209,-2115,2000,2000,145,-837,-939,8209,1844,-4000,159,-34,140,-38,8209,-1173,2000,2000,-503,-21,48,1,0
8,8225,-5000,861,223,-2931,451,424,8225,-95,-1000,2000,3435,594,468,8230,-2438,2000,2000,132,-856,-1035,8230,1844,-5000,159,-46,140,-45,8230,-1205,2000,2000,-567,-42,-15,1,0
9,8245,-6000,1219,271,-3219,420,509,8245,-759,-2000,3000,4638,2594,311,8251,-2680,3000,3000,122,-870,-1107,8251,2473,-6000,217,-55,187,-52,8251,-1229,3000,3000,-615,-58,-70,1,0
10,8265,-6000,1219,271,-3219,420,509,8265,-759,-2000,3000,4638,2594,311,8272,-2680,3000,3000,122,-870,-1107,8272,2473,-6000,221,-55,187,-52,8272,-1229,3000,3000,-615,-58,-70,1,0
11,8285,-7000,1219,271,-3461,411,509,8285,-803,-2000,3000,4638,2594,255,8293,-2862,3000,3000,122,-1106,-1161,8293,2473,-7000,221,-62,187,-57,8293,-1247,3000,3000,-691,-58,-104,1,0
12,8305,-8000,1286,307,-3638,372,440,8305,-874,-1000,3386,3859,2150,245,8314,-3100,4000,4000,130,-1283,-1202,8314,2927,-8000,267,-71,220,-60,8314,-1389,4000,4000,-773,71,-187,1,0
13,8325,-8000,1286,307,-3638,372,440,8325,-874,-1000,3386,3859,2150,245,8335,-3100,4000,4000,230,-1283,-1202,8335,2927,-8000,279,-71,220,-60,8335,-1389,4000,4000,-773,71,-187,1,0
14,8345,-9000,1286,307,-3771,290,355,8345,-927,-1000,3386,3275,1715,245,8356,-3241,4000,4000,230,-1283,-1221,8356,2927,-9000,279,-77,220,-60,8356,-1507,4000,4000,-834,71,-249,1,0
15,8365,-10000,1436,340,-3795,141,283,8365,-1023,-2000,3957,2537,410,427,8377,-3346,5000,5000,244,-1264,-1232,8377,3263,-10000,294,-85,238,-68,8377,-1596,5000,5000,-861,340,-351,1,0
