Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
330,20699,30619,-954,13821,-995,388,-659,20699,422,16155,-2474,350,366,-54,20700,4849,-32607,3096,363,1021,-204,20700,-9986,-31129,8030,-63,344,-49,20699,666,32275,2678,-173,443,260,2,0
331,20720,30619,-954,13837,-995,388,-657,20720,422,16155,-2474,350,366,-54,20721,4849,-32607,3096,363,1027,-204,20721,-9979,-31129,8028,-59,344,-49,20720,675,32275,2678,-173,443,260,2,0
332,20741,30618,-954,13837,-995,385,-657,20741,422,16155,-2474,350,366,-58,20742,4835,-32607,3088,363,1027,-204,20742,-9979,-31129,8028,-59,344,-49,20740,675,32275,2670,-179,442,260,2,0
333,20761,30618,-971,13837,-991,368,-648,20761,426,16152,-2474,351,385,-61,20763,4824,-32613,3070,375,1045,-186,20763,-9978,-31132,8027,-56,347,-27,20760,682,32288,2664,-184,433,255,2,0
334,20781,30623,-971,13851,-991,368,-648,20781,426,16152,-2474,351,385,-61,20784,4824,-32613,3070,375,1045,-186,20784,-9978,-31132,8027,-56,347,-27,20780,682,32288,2664,-184,433,255,2,0
335,20801,30623,-976,13851,-991,355,-648,20801,426,16149,-2474,351,385,-61,20805,4824,-32617,3070,375,1045,-186,20805,-9978,-31137,8026,-56,341,-27,20800,681,32288,2660,-184,426,251,2,0
336,20821,30645,-980,13830,-981,355,-634,20821,429,16149,-2474,351,392,-57,20826,4850,-32628,3082,384,980,-184,20826,-9993,-31156,8023,-57,329,-7,20820,680,32292,2657,-175,424,251,2,0
337,20841,30645,-980,13830,-979,359,-634,20841,429,16150,-2473,351,392,-57,20847,4850,-32628,3086,384,980,-184,20847,-9993,-31156,8023,-57,329,-7,20840,680,32292,2657,-169,424,251,2,0
338,20861,30645,-983,13830,-979,359,-634,20861,429,16150,-2473,351,392,-57,20868,4833,-32628,3086,384,931,-195,20868,-10004,-31171,8023,-58,323,-7,20860,680,32292,2646,-169,424,251,2,0
339,20881,30646,-993,13814,-974,365,-618,20881,432,16154,-2468,348,401,-60,20889,4791,-32617,3098,386,931,-203,20889,-10018,-31172,8009,-64,319,14,20880,680,32295,2638,-158,419,257,2,0
340,20901,30646,-993,13814,-974,366,-618,20901,432,16154,-2468,348,403,-60,20910,4791,-32617,3098,386,977,-203,20910,-10018,-31172,8009,-64,319,14,20900,678,32295,2638,-158,419,257,2,0
341,20921,30646,-993,13814,-974,366,-620,20921,432,16154,-2468,345,403,-65,20931,4781,-32617,3098,378,977,-203,20931,-10041,-31172,8009,-69,319,14,20920,688,32295,2628,-158,419,257,2,0
342,20941,30646,-988,13840,-993,374,-634,20941,404,16152,-2468,342,420,-68,20952,4781,-32608,3105,372,1002,-195,20952,-10058,-31149,8004,-73,324,-3,20940,688,32299,2621,-158,415,249,2,0
343,20961,30646,-986,13840,-993,374,-634,20961,404,16152,-2468,342,420,-68,20973,4786,-32608,3105,372,1002,-195,20973,-10058,-31149,8004,-73,327,-3,20960,696,32304,2621,-158,415,249,2,0
344,20981,30646,-986,13832,-1032,374,-653,20981,383,16151,-2468,342,420,-68,20994,4786,-32612,3105,372,1002,-195,20994,-10058,-31151,8004,-73,327,-16,20980,696,32308,2621,-161,415,243,2,0
345,21001,30674,-979,13824,-1062,396,-667,21001,373,16151,-2469,343,395,-59,21015,4791,-32625,3082,377,1020,-218,21015,-10045,-31153,8023,-64,357,-26,21000,706,32308,2651,-163,417,235,2,0
346,21021,30680,-973,13824,-1062,403,-667,21021,373,16151,-2469,349,395,-53,21036,4791,-32625,3082,377,1047,-218,21036,-10045,-31153,8023,-64,357,-26,21020,706,32311,2657,-163,417,235,2,0
347,21041,30680,-973,13792,-1077,403,-668,21041,373,16151,-2469,349,359,-53,21057,4791,-32625,3053,377,1047,-238,21057,-10045,-31154,8015,-64,357,-33,21040,706,32311,2657,-165,414,235,2,0
348,21061,30670,-947,13754,-1078,418,-669,21061,393,16155,-2469,356,332,-47,21078,4815,-32624,3019,358,1067,-271,21078,-10037,-31154,8015,-99,374,-42,21060,707,32291,2664,-171,400,235,2,0
349,21081,30670,-947,13754,-1078,418,-669,21081,404,16155,-2467,356,332,-47,21099,4815,-32620,3019,358,1067,-271,21099,-10037,-31143,8031,-99,374,-42,21080,707,32291,2664,-171,400,243,2,0
350,21101,30662,-947,13723,-1078,418,-669,21101,404,16154,-2467,356,313,-48,21120,4815,-32620,3002,344,1052,-304,21120,-10037,-31143,8031,-140,374,-77,21100,698,32291,2664,-182,308,243,2,0
351,21121,30662,-922,13624,-1077,422,-672,21121,420,16153,-2467,350,299,-60,21142,4833,-32603,2975,333,979,-397,21142,-10065,-31115,8045,-241,390,-209,21121,675,32304,2682,-190,239,265,2,0
352,21143,30730,-912,13624,-1077,422,-672,21143,420,16153,-2467,350,299,-60,21164,4843,-32603,2975,333,979,-397,21164,-10065,-31111,8067,-241,673,-209,21143,675,32304,2718,-190,239,300,2,0
353,21165,30730,-912,13530,-1120,422,-712,21165,420,16153,-2467,340,288,-79,21186,4843,-32603,2923,333,871,-600,21186,-10104,-31111,8067,-324,673,-436,21165,675,32304,2718,-190,187,300,2,0
354,21187,30875,-860,13411,-1279,258,-957,21187,400,16163,-2457,309,255,-152,21208,4682,-32456,2752,643,871,-1326,21208,-10147,-31099,8130,-638,1174,-871,21187,712,32314,2858,-70,-23,431,2,0
355,21209,30875,-860,13411,-1279,258,-957,21209,400,16172,-2437,309,255,-152,21230,4682,-32354,2752,1034,1131,-1326,21230,-10147,-31099,8130,-638,1174,-871,21209,732,32314,2858,6,-23,448,2,0
356,21231,29875,-860,13134,-1537,-6,-1285,21231,307,16172,-2437,260,231,-354,21252,4561,-32354,2430,1034,1131,-2338,21252,-10326,-31099,8130,-1063,1011,-1436,21231,732,32314,2858,6,-282,448,2,0
357,21253,28875,-837,12694,-2055,-656,-1725,21253,108,16246,-2355,142,231,-786,21274,4557,-32167,2170,1806,1951,-4338,21274,-10742,-31144,8081,-1556,265,-2984,21253,357,32321,2913,396,-990,659,2,0
358,21275,28875,-837,12694,-2055,-656,-1725,21275,108,16300,-2313,142,248,-786,21296,4557,-31354,2170,1806,2897,-4338,21296,-10742,-31144,8081,-1556,265,-2984,21275,357,32321,2913,538,-990,934,2,0
359,21297,27875,-837,12140,-2540,-1352,-2099,21297,-140,16300,-2313,-30,248,-1319,21318,4557,-31354,1911,1806,2897,-6338,21318,-11318,-31144,8026,-1894,-294,-4984,21297,-28,32268,2894,538,-1521,934,2,0
360,21319,26875,-753,11140,-2904,-2421,-2484,21319,-672,16413,-2003,-440,673,-2353,21340,5557,-30354,1603,2372,4708,-8338,21340,-11750,-31138,7457,-1894,-294,-6984,21319,-809,31268,2786,1322,-1521,2824,2,0
361,21341,26875,-753,11140,-2904,-2421,-2484,21341,-672,16413,-1786,-440,792,-2353,21362,5557,-30354,1603,2599,4708,-8338,21362,-11750,-31072,7457,-1737,-110,-6984,21341,-809,31268,2786,1739,-1401,2934,2,0
362,21363,25875,-753,10205,-3177,-3432,-2895,21363,-1338,16408,-1786,-1043,792,-3613,21384,5557,-30354,1372,2599,4684,-8338,21384,-11750,-31072,7030,-1737,-110,-8984,21363,-1394,30268,2629,1739,-1401,2934,2,0
363,21385,24875,-938,9205,-3366,-4435,-3203,21385,-1983,15957,-1050,-2391,1200,-5613,21406,6557,-29354,1199,3019,2738,-6338,21406,-10750,-30748,7002,-819,1009,-10984,21385,-1394,29339,2181,3064,294,4934,2,0
364,21407,24875,-938,9205,-3366,-4435,-3203,21407,-1983,15957,-1050,-2391,1200,-5613,21428,6557,-29354,1199,3019,2738,-6338,21428,-10750,-30310,7002,-795,1009,-10984,21407,-394,29339,2181,3064,599,4934,2,0
365,21429,23875,-938,8205,-3599,-5423,-3203,21429,-1983,15397,-1050,-3575,1200,-7613,21450,6557,-29354,1199,1278,2738,-6338,21450,-10750,-30310,7002,-795,1009,-12984,21429,-394,28642,1523,3064,599,4934,2,0
366,21451,22875,-885,7205,-3683,-6642,-1948,21451,-1926,14397,-943,-4492,1400,-9520,21472,7557,-28354,2199,-27,3067,-8338,21472,-9750,-29738,7231,-89,897,-14984,21451,606,28119,1030,3728,2581,6934,2,0
367,21473,22875,-759,7205,-3683,-6642,-1948,21473,-1926,14397,-943,-4492,1817,-9520,21494,7557,-28354,2199,-27,3973,-8338,21494,-9750,-29738,7231,-86,897,-14984,21473,606,28119,1030,3728,2581,6934,2,0
368,21495,22810,-759,7205,-3683,-7557,-1948,21495,-1926,13577,-945,-4702,1817,-10759,21516,7557,-28354,2199,-27,3973,-10338,21516,-9750,-29738,7231,-86,897,-16347,21495,606,28119,1030,3728,2581,6934,2,0
369,21517,22810,-625,7573,-2798,-8814,-1589,21517,-2590,13416,-1066,-4702,2936,-11688,21538,8557,-28061,3199,1013,4226,-12338,21538,-8750,-30037,7403,534,1061,-17280,21517,1606,28371,1082,4245,3499,8934,2,0
370,21539,23119,-625,8071,-2672,-8814,-1589,21539,-2590,13416,-1066,-4273,2936,-11688,21560,8557,-28061,3199,1013,4226,-12338,21560,-8750,-30037,7403,578,1131,-17280,21539,1606,28399,1082,4245,3499,8934,2,0
371,21561,23119,-625,8071,-2672,-9512,-1589,21561,-3207,13295,-1137,-4273,2936,-12759,21582,8557,-28061,3199,1013,2226,-14338,21582,-8750,-30193,7403,578,1131,-17459,21561,1606,28399,523,4245,3499,8934,2,0
372,21583,24119,-542,8427,-1912,-10035,-1242,21583,-3706,13211,-1137,-4174,2076,-13759,21604,9557,-27061,3805,471,226,-16338,21604,-7750,-30590,7536,1128,1236,-17459,21583,2606,28371,-39,4286,3570,10934,2,0
373,21605,24119,-542,8427,-1912,-10035,-1152,21605,-3706,13211,-917,-4174,2076,-13759,21626,9557,-27061,3805,471,226,-16338,21626,-7750,-30590,7720,1404,1236,-17119,21605,2606,28371,-39,4286,3570,10934,2,0
374,21627,24119,-778,8427,-1912,-10035,-1152,21627,-4454,13148,-917,-4174,1431,-14261,21648,9557,-27061,3805,284,226,-18338,21648,-7750,-30760,7720,1404,1236,-17119,21627,2606,28312,-461,3913,3340,10934,2,0
375,21649,25119,-1129,8478,-1419,-9793,-551,21649,-5454,13101,-555,-4366,815,-14350,21670,10557,-26061,4521,249,301,-20327,21670,-6750,-30888,8044,2181,332,-15994,21649,3606,28124,-509,2979,2936,11558,2,0
376,21671,25119,-1129,8478,-1419,-9644,-551,21671,-5454,13101,-542,-4366,815,-14350,21692,10557,-26061,4563,249,934,-20327,21692,-6750,-30888,8090,2181,332,-15823,21671,3606,28124,-509,2979,2936,11558,2,0
377,21693,25119,-1129,8478,-1419,-9644,-551,21693,-6408,13066,-542,-4510,-210,-14413,21714,10557,-26061,4563,223,934,-21779,21714,-6750,-30952,8090,2181,-459,-15823,21693,3606,27983,-545,2027,2252,11558,2,0
378,21715,24119,-988,8474,-1028,-8554,-298,21715,-7229,12695,-113,-5246,-979,-14413,21736,9557,-25061,5434,223,312,-22830,21736,-5750,-31196,8507,2153,-1053,-14367,21715,4606,27823,-545,1283,822,11233,2,0
379,21737,24119,-952,8474,-829,-8527,-298,21737,-7229,12695,-30,-5246,-979,-14413,21758,9557,-25061,5434,609,312,-22830,21758,-5750,-31196,8561,2153,-1053,-13987,21737,4606,27823,-657,1283,822,11233,2,0
380,21759,23119,-952,8413,-829,-8527,-298,21759,-8229,12257,-30,-5484,-1030,-14413,21780,8557,-25061,5434,609,-664,-22830,21780,-5750,-31367,8561,1692,-1247,-13987,21759,4606,27703,-684,882,-639,10739,2,0
381,21781,22119,-856,8263,21,-7557,179,21781,-9229,11907,441,-5484,-1068,-14196,21802,7557,-24061,5739,322,-1822,-22742,21802,-4750,-31495,8746,963,-1271,-12258,21781,5606,27343,-959,661,-1735,9816,2,0
382,21803,22119,-856,8263,21,-7551,179,21803,-9229,11907,458,-5483,-1068,-14004,21824,7557,-24061,5739,322,-1822,-22331,21824,-4750,-31495,8746,963,-1271,-12013,21803,5606,27343,-959,661,-1735,9816,2,0
383,21825,21119,-904,7727,21,-7551,179,21825,-10229,11624,458,-5483,-1096,-14004,21846,6557,-24061,5686,106,-2774,-22331,21846,-4750,-31495,8746,384,-1271,-12013,21825,5606,27131,-1243,661,-2189,8862,2,0
384,21847,20119,-1234,7059,261,-6487,203,21847,-11229,10987,1076,-5447,-1493,-13408,21868,5557,-23061,5202,-153,-3700,-21518,21868,-3750,-31259,8877,-110,-1170,-10013,21847,6606,26946,-1492,711,-2458,7746,2,0
385,21869,20119,-1234,7059,261,-6261,203,21869,-11229,10987,1244,-5447,-1493,-13288,21890,5557,-23061,5202,-153,-3700,-21241,21890,-3750,-31259,8877,-110,-1170,-10013,21869,6606,26946,-1492,711,-2458,7746,2,0
386,21891,19119,-1417,6534,261,-6261,203,21891,-12188,10315,1244,-5455,-1791,-13288,21912,4557,-23061,4839,-886,-4027,-21241,21912,-3750,-31259,8877,-554,-1170,-10013,21891,6606,26833,-1679,711,-2458,6909,2,0
387,21913,18119,-1554,6140,372,-4683,125,21913,-13186,9416,2202,-5461,-2014,-12543,21934,3557,-22061,4417,-1590,-4027,-19860,21934,-2750,-31090,8697,-900,-1297,-8272,21913,7606,26723,-1679,544,-2185,6281,2,0
