Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
277,33913,27377,-2298,19750,-925,285,-656,33913,474,16266,-1560,351,358,-79,39034,-1093,32189,6807,273,1055,-178,39034,-8279,-31826,6699,-61,348,1,33913,3119,31899,4735,-144,691,113,2,0
278,39035,27361,-2298,19736,-925,264,-658,39035,460,16266,-1565,348,358,-79,39056,-1093,32173,6807,273,1055,-178,39056,-8279,-31841,6699,-67,348,1,39035,3085,31890,4735,-169,674,113,2,0
279,39057,27349,-2345,19736,-917,256,-666,39057,450,16266,-1569,343,370,-77,39078,-1075,32169,6841,285,1102,-172,39078,-8279,-31852,6720,-77,316,-13,39057,3085,31890,4713,-187,609,149,2,0
280,39079,27349,-2345,19734,-917,256,-666,39079,450,16266,-1569,343,380,-77,39100,-1071,32169,6841,285,1102,-172,39100,-8279,-31852,6720,-77,316,-13,39079,3085,31895,4713,-187,609,151,2,0
281,39101,27349,-2345,19724,-947,250,-682,39101,450,16264,-1569,340,380,-77,39122,-1071,32169,6841,285,1102,-172,39122,-8279,-31861,6720,-79,292,-53,39101,3085,31895,4696,-187,557,151,2,0
282,39123,27364,-2380,19705,-975,250,-712,39123,489,16262,-1564,340,389,-59,39144,-895,32206,6842,268,1193,-129,39144,-8279,-31869,6710,-86,292,-83,39123,3125,31901,4684,-185,480,184,2,0
283,39145,27384,-2380,19705,-975,273,-712,39145,497,16262,-1564,341,389,-59,39166,-895,32206,6842,268,1193,-129,39166,-8277,-31869,6710,-86,296,-83,39145,3125,31901,4684,-183,480,184,2,0
284,39167,27384,-2380,19678,-999,273,-738,39167,497,16262,-1564,341,389,-59,39188,-895,32206,6825,256,1097,-129,39188,-8277,-31875,6702,-87,296,-98,39167,3125,31901,4684,-181,407,184,2,0
285,39189,27408,-2389,19624,-1016,295,-754,39189,533,16264,-1561,335,378,-45,39210,-887,32204,6808,256,1025,-111,39210,-8243,-31890,6690,-88,311,-110,39189,3147,31899,4701,-181,352,205,2,0
286,39211,27410,-2389,19624,-1016,298,-754,39211,535,16264,-1561,335,378,-45,39232,-887,32204,6808,266,1025,-111,39232,-8243,-31890,6690,-88,312,-110,39211,3147,31899,4701,-173,352,205,2,0
287,39233,27410,-2409,19588,-1023,298,-754,39233,535,16264,-1561,331,370,-45,39254,-887,32203,6796,266,1025,-111,39254,-8243,-31890,6681,-88,312,-117,39233,3147,31899,4701,-173,352,205,2,0
288,39255,27429,-2424,19557,-1023,317,-739,39255,569,16266,-1558,331,364,-32,39276,-881,32198,6787,297,1094,-98,39276,-8226,-31883,6676,-78,325,-123,39255,3162,31902,4701,-150,361,235,2,0
289,39277,27429,-2424,19557,-987,317,-739,39277,576,16268,-1558,331,364,-32,39298,-799,32198,6787,297,1094,-98,39298,-8226,-31883,6676,-78,325,-123,39277,3162,31908,4701,-130,396,246,2,0
290,39299,27429,-2436,19537,-987,317,-739,39299,576,16268,-1558,331,360,-32,39320,-799,32198,6787,297,1094,-147,39320,-8226,-31883,6673,-78,325,-137,39299,3162,31908,4701,-130,396,246,2,0
291,39321,27454,-2445,19522,-960,374,-717,39321,619,16271,-1549,331,360,-39,39342,-737,32188,6814,302,1119,-210,39342,-8209,-31878,6673,-69,333,-148,39321,3177,31925,4711,56,605,358,2,0
292,39343,27454,-2445,19522,-960,374,-704,39343,619,16271,-1548,335,375,-39,39364,-737,32188,6814,302,1119,-210,39364,-8199,-31878,6660,-62,333,-148,39343,3191,31925,4711,56,617,358,2,0
293,39365,27454,-2447,19522,-960,374,-704,39365,619,16271,-1548,335,375,-48,39386,-737,32179,6808,302,1119,-210,39386,-8199,-31878,6660,-62,318,-148,39365,3191,31925,4711,56,617,358,2,0
294,39387,27452,-2447,19569,-937,390,-656,39387,642,16270,-1541,342,384,-57,39408,-698,32174,6794,303,1138,-199,39408,-8197,-31868,6651,-52,307,-144,39387,3241,31911,4681,135,768,407,2,0
295,39409,27452,-2425,19569,-931,390,-655,39409,642,16270,-1541,342,384,-57,39430,-690,32174,6794,300,1153,-182,39430,-8197,-31868,6651,-52,307,-131,39409,3241,31911,4681,135,768,407,2,0
296,39431,27452,-2421,19569,-931,381,-655,39431,642,16267,-1541,342,384,-61,39452,-690,32174,6793,300,1153,-182,39452,-8197,-31868,6650,-52,299,-131,39431,3241,31909,4642,135,768,407,2,0
297,39453,27457,-2408,19594,-890,360,-628,39453,653,16264,-1549,348,391,-61,39474,-645,32174,6778,293,1179,-133,39474,-8195,-31861,6649,-50,293,-118,39453,3282,31907,4613,162,804,429,2,0
298,39475,27457,-2408,19594,-888,360,-628,39475,653,16264,-1549,348,404,-61,39496,-645,32178,6778,293,1179,-133,39496,-8195,-31861,6649,-50,293,-118,39475,3282,31907,4613,162,804,429,2,0
299,39497,27457,-2414,19594,-888,339,-628,39497,646,16262,-1550,348,404,-61,39518,-645,32178,6778,293,1179,-133,39518,-8195,-31861,6649,-58,293,-118,39497,3282,31907,4591,128,782,420,2,0
300,39519,27461,-2420,19591,-870,334,-618,39519,641,16262,-1551,351,419,-55,39540,-657,32205,6783,295,1174,-100,39540,-8198,-31865,6652,-73,294,-125,39519,3305,31914,4575,62,684,404,2,0
301,39541,27461,-2420,19591,-870,334,-618,39541,641,16264,-1551,351,419,-55,39562,-657,32205,6783,295,1174,-100,39562,-8198,-31865,6652,-73,303,-125,39541,3305,31914,4575,62,684,404,2,0
302,39563,27460,-2425,19585,-876,333,-618,39563,641,16264,-1551,351,419,-55,39584,-662,32205,6783,295,1160,-100,39584,-8208,-31865,6652,-84,303,-134,39563,3305,31914,4561,7,601,392,2,0
303,39585,27459,-2428,19550,-881,333,-624,39585,644,16267,-1555,353,427,-50,39606,-666,32219,6825,300,1150,-77,39606,-8208,-31850,6657,-86,310,-150,39585,3310,31913,4550,-68,483,381,2,0
304,39607,27459,-2428,19550,-881,343,-624,39607,644,16267,-1555,359,427,-50,39628,-666,32221,6825,300,1150,-77,39628,-8207,-31850,6657,-86,320,-150,39607,3310,31913,4550,-68,483,381,2,0
