Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
307,21273,30908,-561,12553,-2656,-1463,-1072,21273,-580,15973,-2776,200,786,-690,247394,6757,-32059,3688,938,2889,-1923,247394,-11825,-30317,9301,1083,879,1396,21273,-731,32090,3724,-1780,2093,-1388,2,1
308,247395,30908,-561,12420,-2919,-1969,-1072,247395,-580,15973,-2776,200,501,-690,247416,6757,-32059,3688,938,2889,-1923,247416,-11972,-30317,9301,1083,626,1396,247395,-958,32091,3724,-1926,1885,-1483,2,1
309,247417,31265,-368,12377,-3024,-2348,-1055,247417,-578,16020,-2743,265,287,-492,247438,6302,-32208,3344,840,2432,-1879,247438,-11972,-30535,9057,817,547,1053,247417,-1012,32091,3805,-2035,1505,-1533,2,1
310,247439,31265,-368,12377,-3024,-2348,-1039,247439,-578,16020,-2715,265,287,-492,247460,6302,-32208,3344,840,2432,-1532,247460,-11406,-30535,9057,817,547,1053,247439,-1012,32130,3805,-2035,1505,-1533,2,1
311,247461,31085,-772,12377,-3024,-2348,-1039,247461,-578,16020,-2715,265,287,-492,247482,5936,-32324,3086,765,2089,-1532,247482,-11406,-30711,8870,617,505,796,247461,-1012,32130,3531,-2035,1220,-1533,2,1
312,247483,30938,-1075,12776,-2555,-1696,-952,247483,-260,16055,-2578,292,294,-389,247504,5658,-32411,2892,649,1904,-1239,247504,-10958,-30841,8734,464,478,603,247483,-553,32163,3306,-1596,1007,-1092,2,1
313,247505,30938,-1075,12778,-2550,-1685,-952,247505,-260,16055,-2577,292,294,-389,247526,5658,-32411,2892,649,1904,-1239,247526,-10958,-30841,8734,464,478,603,247505,-553,32169,3306,-1595,1007,-1092,2,1
314,247527,30839,-1270,12778,-2550,-1685,-952,247527,-260,16055,-2577,292,294,-389,247548,5459,-32458,2773,584,1765,-1239,247548,-10958,-30936,8650,350,458,469,247527,-553,32169,3081,-1595,848,-1092,2,1
315,247549,30755,-1416,13085,-2183,-1186,-890,247549,-8,16084,-2474,314,295,-306,247570,5310,-32493,2675,550,1612,-1011,247570,-10650,-31008,8603,264,458,359,247549,-208,32192,2908,-1267,718,-765,2,1
316,247571,30755,-1416,13085,-2177,-1172,-890,247571,-8,16086,-2474,314,295,-306,247592,5310,-32493,2675,550,1612,-1011,247592,-10650,-31008,8603,264,469,359,247571,-208,32216,2908,-1267,718,-765,2,1
