Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,24460,0,0,0,0,0,0,24460,0,0,0,0,0,0,24460,0,0,0,0,0,0,24460,0,0,0,0,0,0,24461,0,0,0,0,0,0,1,3
2,24482,0,-722,0,0,0,-164,24482,0,0,-384,0,0,0,24482,-1000,0,0,0,0,0,24482,0,0,0,0,0,0,24483,0,0,0,0,0,0,1,3
3,24504,1000,-1263,1000,-236,100,-287,24504,428,1000,-679,86,92,-13,24504,-1980,1000,472,79,230,-26,24504,1000,1000,618,-34,38,19,24505,838,1000,756,-62,17,52,1,3
4,24525,1000,-1263,1000,-236,100,-287,24525,428,1000,-679,86,92,-13,24526,-1980,1000,472,79,230,-26,24526,1000,1000,618,-34,38,19,24526,838,1000,756,-62,17,52,1,3
5,24545,1000,-1651,1000,-411,100,-373,24545,428,1000,-899,86,92,-18,24547,-2709,1000,472,79,230,-46,24547,1000,1000,618,-60,38,19,24547,838,1000,756,-109,17,52,1,3
6,24565,2000,-1942,2000,-544,152,-438,24565,741,2000,-1065,152,161,-27,24568,-3239,2000,818,150,419,-96,24568,2000,2000,1077,-64,55,28,24568,1466,2000,1323,-144,30,103,1,3
7,24585,2000,-1942,2000,-544,152,-438,24585,741,2000,-1065,154,161,-27,24589,-3239,2000,818,150,461,-96,24589,2000,2000,1077,-64,55,28,24589,1490,2000,1323,-144,30,103,1,3
8,24605,2000,-2158,2000,-644,152,-477,24605,741,2000,-1190,154,161,-33,24610,-3625,2000,818,150,461,-118,24610,2000,2000,1077,-67,55,28,24610,1490,2000,1323,-163,30,103,1,3
9,24625,3000,-2338,3000,-722,191,-506,24625,975,3000,-1285,207,216,-43,24631,-3914,3000,1077,199,602,-134,24631,2892,3000,1451,-69,63,35,24631,1973,3000,1760,-177,34,125,1,3
10,24645,3000,-2338,3000,-722,218,-506,24645,975,3000,-1285,209,216,-43,24652,-3914,3000,1107,199,602,-134,24652,2892,3000,1451,-69,63,35,24652,1973,3000,1760,-177,34,125,1,3
11,24665,3000,-2473,3000,-781,218,-528,24665,975,3000,-1360,209,216,-45,24673,-4179,3000,1107,199,602,-146,24673,2892,3000,1451,-75,40,35,24673,1973,3000,1760,-187,34,125,1,3
12,24685,4000,-2582,4000,-821,269,-550,24685,1128,4000,-1411,247,249,-46,24694,-4378,4000,1324,235,708,-162,24694,3605,4000,1746,-82,-6,-7,24694,2329,4000,2080,-201,43,157,1,3
13,24705,4000,-2582,4000,-821,271,-550,24705,1128,4000,-1411,250,249,-46,24715,-4378,4000,1324,235,741,-162,24715,3605,4000,1746,-82,-6,-7,24715,2335,4000,2080,-201,65,168,1,3
14,24725,4000,-2670,4000,-835,271,-560,24725,1128,4000,-1452,250,249,-47,24736,-4441,4000,1324,235,741,-179,24736,3605,4000,1746,-87,-11,-43,24736,2335,4000,2080,-212,65,168,1,3
15,24745,5000,-2740,5000,-864,312,-574,24745,1243,5000,-1483,272,259,-63,24757,-4488,5000,1483,261,691,-204,24757,4087,5000,1945,-87,-11,-66,24757,2615,5000,2316,-220,88,200,1,3
16,24765,5000,-2740,5000,-864,312,-574,24765,1263,5000,-1483,275,259,-63,24778,-4488,5000,1483,261,691,-204,24778,4087,5000,1945,-80,37,-66,24778,2619,5000,2316,-220,88,200,1,3
17,24785,5000,-2789,5000,-865,300,-591,24785,1263,5000,-1513,275,259,-78,24799,-4600,5000,1483,261,654,-223,24799,4087,5000,1945,-80,37,-66,24799,2619,5000,2316,-234,88,200,1,3
18,24805,6000,-2817,6000,-865,268,-604,24805,1379,6000,-1536,289,268,-90,24820,-4684,6000,1572,252,654,-223,24820,4429,6000,2090,-80,73,-49,24820,2825,6000,2493,-254,104,195,1,3
19,24825,6000,-2817,6000,-858,268,-604,24825,1379,6000,-1536,289,278,-90,24841,-4684,6000,1572,252,703,-198,24841,4429,6000,2090,-70,119,-30,24841,2828,6000,2497,-254,104,195,1,3
20,24845,6000,-2818,6000,-858,242,-606,24845,1379,6000,-1536,289,278,-94,24862,-4733,6000,1572,235,703,-198,24862,4429,6000,2090,-70,119,-30,24862,2828,6000,2497,-269,104,190,1,3
21,24865,7000,-2839,7000,-839,190,-607,24865,1463,7000,-1536,298,291,-94,24883,-4749,7000,1701,222,836,-189,24883,4753,7000,2199,-77,143,8,24883,2975,7000,2636,-283,119,187,1,3
22,24885,7000,-2839,7000,-838,190,-607,24885,1463,7000,-1536,298,291,-80,24904,-4749,7000,1701,222,836,-189,24904,4753,7000,2209,-77,143,8,24904,2975,7000,2666,-283,119,187,1,3
23,24905,7000,-2855,7000,-838,151,-607,24905,1463,7000,-1536,298,291,-80,24926,-4781,7000,1701,222,836,-189,24926,4753,7000,2209,-77,143,8,24925,2975,7000,2666,-292,119,184,1,3
24,24927,8000,-2867,8000,-820,119,-603,24927,1526,8000,-1536,305,301,-67,24948,-4869,8000,1781,261,876,-182,24948,4958,8000,2284,-80,188,25,24945,3079,8000,2793,-299,130,184,1,3
25,24949,8000,-2867,8000,-820,119,-603,24949,1526,8000,-1531,307,307,-67,24970,-4869,8000,1781,261,876,-166,24970,4958,8000,2284,-80,188,25,24965,3079,8000,2793,-299,130,185,1,3
26,24971,8000,-2867,8000,-820,95,-603,24971,1526,8000,-1529,307,307,-67,24992,-4935,8000,1781,261,876,-166,24992,4958,8000,2284,-82,188,25,24985,3079,8000,2793,-305,130,186,1,3
