Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
184,22707,30562,-99,13897,-947,451,-774,22707,-636,16283,-994,335,330,-77,22708,-11665,30316,4950,181,932,-225,22708,-6813,-32249,5989,-55,324,-46,22707,-919,32049,4889,-122,198,237,2,3
185,22729,30557,-99,13897,-947,451,-774,22729,-636,16283,-994,335,316,-77,22730,-11668,30316,4950,145,932,-225,22730,-6849,-32252,5989,-57,324,-46,22729,-919,32049,4889,-127,198,209,2,3
186,22751,30557,-446,13838,-1008,465,-752,22751,-1107,16234,-1014,334,250,-71,22752,-11668,30351,5010,-62,995,-131,22752,-6982,-32252,6033,-85,318,-109,22751,-875,32065,4892,-243,245,145,2,3
187,22773,30570,-446,13838,-1008,465,-747,22773,-1107,16234,-1014,334,250,-69,22774,-11467,30361,5010,-62,1052,-45,22774,-6982,-32187,6419,-85,318,-109,22773,-451,32086,4892,-243,267,145,2,3
188,22795,30570,-788,13794,-1058,465,-747,22795,-1460,16196,-1029,334,198,-69,22796,-11467,30361,5010,-254,1052,-45,22796,-7144,-32187,6419,-106,314,-162,22795,-451,32086,4839,-446,267,94,2,3
189,22817,30621,-1075,13794,-1096,489,-693,22817,-1716,16167,-1029,338,152,-80,22818,-11214,30554,5021,-398,1321,134,22818,-7265,-32090,6730,-118,314,-202,22817,89,32098,4577,-615,43,47,2,3
190,22839,30655,-1075,13825,-1096,489,-693,22839,-1716,16167,-1020,339,152,-80,22840,-11214,30612,5021,-398,1321,134,22840,-7265,-32090,6730,-118,340,-202,22839,89,32144,4577,-615,43,47,2,3
191,22860,30655,-1306,13825,-1096,489,-693,22860,-1901,16151,-1020,339,118,-89,22861,-11214,30612,5021,-398,1321,134,22861,-7356,-32090,6730,-118,340,-202,22860,89,32144,4577,-667,-125,11,2,3
192,22881,30731,-1479,13730,-1092,358,-735,22881,-2028,16142,-1005,370,92,-89,22882,-10890,30707,5029,-249,1219,179,22882,-7424,-32025,6937,-116,378,-168,22882,350,32072,4600,-667,-251,-9,2,3
193,22901,30731,-1479,13730,-1092,358,-735,22901,-2028,16142,-1005,370,92,-80,22903,-10890,30707,5067,-166,1219,179,22903,-7424,-32025,6937,-103,383,-154,22903,350,32072,4770,-598,-251,-9,2,3
194,22921,30731,-1573,13659,-1092,282,-793,22921,-2097,16132,-1005,370,85,-80,22924,-10890,30707,5067,-166,994,134,22924,-7475,-32025,6937,-103,383,-154,22924,350,32018,4770,-598,-282,-9,2,3
195,22941,30720,-1641,13590,-1136,239,-837,22941,-2149,16124,-1023,377,85,-50,22945,-10837,30674,5228,19,769,48,22945,-7516,-31968,7078,-101,433,-78,22945,546,31979,4895,-521,-282,51,2,3
196,22961,30720,-1641,13590,-1136,239,-837,22961,-2149,16124,-1023,377,109,-50,22966,-10837,30674,5228,19,769,48,22966,-7516,-31968,7078,-101,433,-78,22966,546,31979,4895,-521,-175,92,2,3
197,22981,30720,-1694,13590,-1136,230,-845,22981,-2203,16114,-1036,363,109,-50,22987,-10837,30674,5228,19,603,-24,22987,-7560,-31968,7078,-101,433,-78,22987,546,31979,4895,-521,-175,92,2,3
198,23001,30720,-1738,13626,-1094,223,-845,23001,-2268,16106,-1036,329,161,-29,23008,-10815,30667,5317,158,479,-70,23008,-7635,-31952,7184,-99,469,-66,23008,659,32004,4967,-463,-68,186,2,3
199,23021,30720,-1738,13636,-1017,223,-829,23021,-2268,16106,-1029,329,163,-29,23029,-10815,30667,5317,170,479,-70,23029,-7635,-31952,7184,-96,469,-66,23029,699,32004,4967,-463,-15,191,2,3
200,23041,30720,-1809,13636,-1017,223,-829,23041,-2321,16105,-1029,309,163,-29,23050,-10815,30662,5317,170,479,-87,23050,-7692,-31952,7184,-96,469,-87,23050,699,32004,4967,-463,9,191,2,3
201,23061,30662,-1874,13633,-906,227,-814,23061,-2373,16105,-1008,294,209,-28,23071,-10729,30616,5441,174,582,-95,23071,-7734,-31940,7278,-83,507,-165,23071,804,31985,5063,-414,15,277,2,3
202,23081,30662,-1874,13633,-906,232,-788,23081,-2373,16105,-1008,294,236,-28,23092,-10729,30616,5441,174,607,-95,23092,-7734,-31940,7298,-69,546,-165,23092,804,31985,5065,-380,99,277,2,3
203,23101,30608,-1947,13606,-906,232,-788,23101,-2438,16105,-1008,283,236,-33,23113,-10729,30596,5441,138,607,-95,23113,-7734,-31940,7298,-69,546,-250,23113,804,31980,5065,-380,99,277,2,3
204,23121,30554,-2002,13606,-888,310,-718,23121,-2496,16092,-997,275,340,-46,23134,-10640,30596,5554,111,784,-81,23134,-7746,-31935,7329,-50,611,-314,23134,883,31980,5138,-307,118,349,2,3
205,23141,30554,-2002,13610,-888,336,-718,23141,-2496,16092,-997,275,340,-46,23155,-10640,30609,5554,111,866,-81,23155,-7746,-31935,7329,-50,611,-314,23155,883,31993,5138,-307,140,349,2,3
206,23161,30513,-2067,13610,-893,336,-718,23161,-2540,16084,-997,275,340,-56,23176,-10640,30609,5554,111,866,-81,23176,-7755,-31943,7329,-54,572,-327,23176,883,31993,5138,-307,140,349,2,3
207,23181,30513,-2102,13641,-936,414,-681,23181,-2545,16084,-971,300,361,-63,23197,-10574,30644,5597,176,1068,-48,23197,-7770,-31943,7352,-65,502,-327,23197,994,31988,5203,-234,217,412,2,3
208,23201,30581,-2102,13641,-936,414,-681,23201,-2545,16091,-966,313,361,-63,23218,-10574,30644,5597,176,1090,-48,23218,-7770,-31943,7362,-65,502,-316,23218,994,31988,5203,-210,217,431,2,3
209,23221,30581,-2112,13641,-984,414,-681,23221,-2548,16091,-966,313,361,-63,23239,-10574,30644,5597,176,1090,-48,23239,-7770,-31943,7362,-73,427,-316,23239,994,31985,5203,-210,217,431,2,3
210,23241,30618,-2120,13664,-1046,454,-653,23241,-2555,16093,-941,343,374,-56,23260,-10470,30671,5611,226,1198,-44,23260,-7741,-31943,7419,-80,371,-302,23260,1107,31968,5244,-120,320,492,2,3
211,23261,30618,-2120,13676,-1046,454,-641,23261,-2555,16093,-941,343,374,-54,23282,-10468,30673,5611,226,1198,-44,23282,-7739,-31943,7419,-80,371,-291,23281,1155,31968,5244,-105,320,492,2,3
212,23283,30618,-2120,13676,-1094,454,-641,23283,-2560,16093,-941,343,374,-54,23304,-10468,30673,5598,226,1186,-44,23304,-7739,-31923,7419,-93,328,-291,23301,1155,31950,5215,-105,320,492,2,3
213,23305,30605,-2132,13703,-1138,467,-626,23305,-2564,16092,-954,364,350,-42,23326,-10395,30694,5560,285,1172,-30,23326,-7716,-31923,7446,-106,293,-272,23321,1276,31950,5191,-8,279,476,2,3
214,23327,30605,-2132,13703,-1138,467,-626,23327,-2564,16092,-954,364,350,-39,23348,-10395,30704,5560,285,1172,-30,23348,-7716,-31908,7446,-106,293,-272,23341,1276,31956,5191,-8,279,476,2,3
215,23349,30596,-2141,13703,-1186,467,-660,23349,-2567,16091,-968,364,322,-39,23370,-10395,30710,5552,285,1149,-30,23370,-7716,-31908,7446,-112,267,-273,23361,1276,31956,5171,-8,221,447,2,3
216,23371,30596,-2147,13707,-1242,475,-711,23371,-2583,16085,-982,364,294,-6,23392,-10380,30710,5552,329,1013,-31,23392,-7730,-31908,7476,-123,248,-308,23381,1277,31975,5168,41,178,425,2,3
217,23393,30599,-2147,13727,-1242,475,-711,23393,-2583,16085,-982,364,294,-2,23414,-10380,30716,5554,362,1013,-31,23414,-7730,-31899,7476,-123,248,-308,23401,1277,31975,5168,41,178,425,2,3
218,23415,30599,-2147,13727,-1294,475,-768,23415,-2583,16083,-999,360,266,-2,23436,-10380,30716,5554,362,911,-32,23436,-7730,-31897,7476,-140,248,-355,23421,1277,31975,5168,41,176,425,2,3
219,23437,30619,-2096,13730,-1335,481,-822,23437,-2576,16083,-1011,360,228,28,23458,-10381,30721,5555,420,801,-63,23458,-7709,-31916,7483,-153,259,-422,23441,1277,31971,5166,94,176,442,2,3
220,23459,30619,-2096,13723,-1335,481,-822,23459,-2564,16083,-1011,361,228,28,23480,-10381,30721,5579,420,801,-63,23480,-7709,-31916,7483,-153,259,-422,23461,1281,31971,5166,94,180,447,2,3
221,23481,30619,-2096,13723,-1366,477,-851,23481,-2564,16083,-1011,361,202,28,23502,-10381,30721,5579,420,718,-101,23502,-7709,-31935,7466,-153,259,-472,23482,1281,31968,5136,94,180,447,2,3
222,23503,30634,-2068,13718,-1390,474,-872,23503,-2546,16085,-1002,361,183,38,23524,-10327,30724,5600,492,628,-130,23524,-7607,-31949,7466,-153,267,-483,23503,1330,31962,5046,113,166,488,2,3
223,23525,30634,-2068,13718,-1390,474,-872,23525,-2543,16086,-996,378,183,38,23546,-10327,30711,5600,492,628,-130,23546,-7597,-31949,7466,-121,267,-483,23525,1330,31962,5046,113,166,488,2,3
224,23547,30631,-2068,13702,-1406,432,-872,23547,-2543,16086,-996,378,168,38,23568,-10327,30711,5566,492,575,-130,23568,-7597,-31953,7453,-121,263,-483,23547,1330,31957,4978,94,166,469,2,3
225,23569,30629,-2051,13688,-1418,392,-850,23569,-2499,16091,-977,391,149,45,23590,-10283,30689,5512,415,575,-120,23590,-7489,-31953,7429,-93,258,-388,23569,1405,31953,4939,67,178,437,2,3
226,23591,30629,-2051,13688,-1418,392,-846,23591,-2499,16091,-975,391,149,51,23612,-10283,30689,5512,415,625,-94,23612,-7489,-31944,7429,-88,258,-381,23591,1405,31953,4939,67,178,437,2,3
227,23613,30629,-2070,13678,-1418,358,-846,23613,-2499,16091,-975,391,133,51,23634,-10283,30689,5492,388,625,-94,23634,-7489,-31944,7369,-88,258,-381,23613,1405,31950,4939,42,178,393,2,3
228,23635,30668,-2070,13650,-1409,288,-819,23635,-2488,16095,-954,401,115,87,23656,-10194,30694,5455,368,707,-83,23656,-7408,-31938,7324,18,335,-280,23635,1461,31948,4910,28,246,338,2,3
229,23657,30668,-2060,13650,-1409,288,-819,23657,-2488,16095,-951,401,115,96,23678,-10154,30760,5455,368,707,-83,23678,-7404,-31938,7324,40,628,-232,23657,1461,31948,4910,28,267,338,2,3
230,23679,30668,-2060,13585,-1409,234,-819,23679,-2488,16095,-951,401,102,96,23700,-10154,30760,5397,368,707,-87,23700,-7404,-31938,7324,40,628,-232,23679,1461,31947,4842,28,267,240,2,3
231,23701,30755,-2053,13470,-1409,87,-806,23701,-2484,16132,-917,353,85,143,23722,-10141,30828,5279,463,628,-314,23722,-7336,-31933,7333,63,1354,-46,23701,1675,31947,4791,65,126,166,2,3
232,23723,30755,-2045,13470,-1409,87,-806,23723,-2484,16132,-889,353,85,153,23744,-10141,30838,5279,463,628,-314,23744,-7336,-31913,7367,63,1354,-46,23723,1675,31958,4791,90,126,166,2,3
233,23745,30694,-2045,13318,-1409,-78,-806,23745,-2484,16132,-889,317,0,153,23766,-10141,30838,5135,463,559,-613,23766,-7369,-31913,7367,-42,1354,-46,23745,1572,31958,4791,90,-15,166,2,3
234,23767,29694,-2025,13012,-1289,-656,-729,23767,-2488,16160,-870,317,-206,234,23788,-10137,30962,5011,489,335,-1333,23788,-7902,-31952,7421,-229,1597,-830,23767,1141,32008,4809,106,-497,384,2,3
235,23789,29694,-1987,13012,-1271,-656,-729,23789,-2488,16160,-870,338,-206,234,23810,-10137,30962,5011,489,335,-1333,23810,-7902,-31952,7497,-229,1597,-830,23789,1141,32062,4809,106,-497,542,2,3
236,23811,28694,-1987,12773,-1271,-1521,-729,23811,-2488,16160,-870,338,-268,234,23832,-10137,30962,4916,489,-299,-2253,23832,-8336,-31952,7497,-440,1597,-2000,23811,817,32062,4809,100,-858,542,2,3
237,23833,27694,-1852,12351,-1004,-2708,-710,23833,-2444,16069,-867,492,-268,-261,23854,-10156,30971,4459,1030,-1328,-3462,23854,-8661,-31912,7734,-862,2032,-4000,23833,574,32086,4754,4,-1129,1284,2,3
238,23855,27694,-1852,12351,-907,-2708,-710,23855,-2439,16069,-867,492,-207,-261,23876,-10156,30971,4459,1071,-1328,-3462,23876,-8661,-31912,7734,-862,2748,-4000,23855,574,32086,4754,4,-1129,1550,2,3
239,23877,27682,-1852,12029,-907,-4076,-710,23877,-2439,15880,-867,492,-207,-943,23898,-10641,30888,4012,1071,-3328,-5048,23898,-8661,-31912,7734,-1179,2748,-6000,23877,534,32086,4731,-87,-1183,1550,2,3
240,23899,27673,-2107,11209,-792,-6076,-1375,23899,-2295,15147,-864,608,376,-2375,23920,-11590,29888,3651,2770,-5097,-7048,23920,-8447,-31914,7132,-1179,3611,-8000,23899,414,32068,4714,-492,-1183,3285,2,3
241,23921,27673,-2107,11209,-792,-6076,-1375,23921,-2295,15147,-798,608,818,-2375,23942,-11590,29888,3651,2770,-5097,-7048,23942,-8023,-31914,7132,-989,3611,-8000,23921,414,32068,4714,-492,-807,3550,2,3
242,23943,27667,-2324,10328,-885,-8076,-2159,23943,-2358,14597,-798,608,818,-3798,23964,-12390,28888,3406,2770,-6424,-9048,23964,-8023,-31914,6681,-989,3611,-10000,23943,414,31989,4714,-983,-807,3550,2,3
243,23965,26667,-2487,9328,-986,-10076,-2747,23965,-2905,14186,-693,905,2305,-5126,23986,-12730,27888,3314,1359,-6424,-11048,23986,-7023,-31667,6494,-127,3192,-11793,23965,444,30989,4747,-1784,-269,5550,2,3
244,23987,26667,-2487,9328,-986,-10076,-2747,23987,-2905,14186,-693,1158,2305,-5126,24008,-12730,27888,3314,1359,-4424,-11048,24008,-7023,-31651,6494,-127,3192,-11793,23987,444,30989,4971,-1784,16,5550,2,3
245,24009,25667,-2487,8456,-1018,-11894,-2747,24009,-3356,13878,-693,1158,2305,-5966,24030,-12985,26888,3314,-288,-4424,-12677,24030,-7023,-31651,6464,-127,2713,-13138,24009,444,29989,4971,-2534,16,5550,2,3
246,24031,24667,-1487,7606,-1018,-13409,-1615,24031,-4060,13532,-636,1859,2433,-6483,24052,-12985,26108,3811,-1523,-2424,-13898,24052,-6023,-30651,6464,556,777,-14449,24031,755,29087,5542,-3230,633,7550,2,3
247,24053,24667,-1487,7606,-546,-13409,-1615,24053,-4060,13532,-636,1859,2433,-6483,24074,-12562,26108,3811,-1523,-2424,-13898,24074,-6023,-30651,6638,556,777,-14449,24053,755,29087,5542,-3230,633,7550,2,3
248,24075,24416,-1487,6820,-546,-14545,-1615,24075,-4588,13272,-651,1859,2132,-6871,24096,-12258,25523,3811,-2100,-2424,-15898,24096,-6023,-30651,6638,556,-692,-15526,24075,755,28087,5542,-3720,633,7550,2,3
