Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
255,83249,24453,-1828,11796,-990,255,-757,83249,-1108,16210,-1465,362,299,-18,91730,-11281,30508,4575,287,900,-106,91730,-6731,-32214,6483,-102,230,-188,83249,-1935,32010,5017,-130,283,248,3,3
256,91731,24453,-1828,11796,-986,255,-757,91731,-1099,16212,-1465,362,302,-18,91752,-11279,30508,4583,287,900,-106,91752,-6731,-32210,6484,-102,230,-188,91731,-1935,32008,5017,-130,283,249,3,3
257,91753,24453,-1828,11796,-986,255,-757,91753,-1099,16212,-1465,360,302,-23,91774,-11279,30508,4583,269,900,-108,91774,-6754,-32210,6484,-111,230,-198,91753,-1935,31997,4996,-130,283,249,3,3
258,91775,25453,-2003,11811,-989,276,-749,91775,-1378,16189,-1460,336,335,-26,91796,-11015,30565,4589,229,1000,-108,91796,-7361,-32059,6757,-115,241,-238,91775,-1855,31987,4893,-129,346,287,3,3
259,91797,25453,-2003,11811,-989,276,-749,91797,-1378,16189,-1357,336,335,-26,91818,-10989,30565,4621,229,1000,-106,91818,-7361,-32029,6757,-115,243,-238,91797,-1459,31987,4893,-120,346,287,3,3
260,91819,25453,-2134,11823,-1004,276,-749,91819,-1588,16170,-1357,304,335,-26,91840,-10989,30565,4621,213,1000,-106,91840,-7816,-32029,6757,-118,243,-254,91819,-1459,31987,4735,-120,346,287,3,3
261,91841,26453,-2208,11828,-1047,316,-736,91841,-1727,16155,-1268,280,314,-24,91862,-10771,30643,4649,201,1035,-110,91862,-8195,-31867,6953,-125,246,-254,91841,-1096,32020,4617,-112,389,357,3,3
262,91863,26453,-2208,11841,-1047,316,-729,91863,-1727,16155,-1268,280,314,-20,91884,-10771,30643,4649,201,1035,-110,91884,-8195,-31867,6953,-125,246,-251,91863,-1084,32034,4617,-112,389,369,3,3
263,91885,26453,-2228,11841,-1047,316,-729,91885,-1806,16155,-1268,280,298,-20,91906,-10771,30643,4649,192,1035,-110,91906,-8480,-31867,6953,-130,241,-251,91885,-1084,32034,4530,-112,389,369,3,3
264,91907,27453,-2243,11841,-1043,328,-699,91907,-1865,16166,-1174,302,298,-10,91928,-10624,30688,4670,141,1080,-90,91928,-8695,-31754,7090,-134,229,-238,91907,-803,32059,4477,-90,405,433,3,3
