Timestep,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,IMU1_a_mag,IMU1_g_mag,IMU1_pitch,IMU1_roll,IMU1_jerk_a_mag,IMU1_yaw_int,IMU2_a_mag,IMU2_g_mag,IMU2_pitch,IMU2_roll,IMU2_jerk_a_mag,IMU2_yaw_int,IMU3_a_mag,IMU3_g_mag,IMU3_pitch,IMU3_roll,IMU3_jerk_a_mag,IMU3_yaw_int,IMU4_a_mag,IMU4_g_mag,IMU4_pitch,IMU4_roll,IMU4_jerk_a_mag,IMU4_yaw_int,IMU5_a_mag,IMU5_g_mag,IMU5_pitch,IMU5_roll,IMU5_jerk_a_mag,IMU5_yaw_int,IMU1_qw,IMU1_qx,IMU1_qy,IMU1_qz,IMU2_qw,IMU2_qx,IMU2_qy,IMU2_qz,IMU3_qw,IMU3_qx,IMU3_qy,IMU3_qz,IMU4_qw,IMU4_qx,IMU4_qy,IMU4_qz,IMU5_qw,IMU5_qx,IMU5_qy,IMU5_qz,REL_LH_pitch,REL_LH_roll,REL_RH_pitch,REL_RH_roll,REL_LK_pitch,REL_LK_roll,REL_RK_pitch,REL_RK_roll,REL_THIGH_yaw,REL_ANKLE_yaw,move,label
0,0.7794632,-0.111700036,0.95514435,0.010816606,0.052854273,-0.2874643,0.89225113,0.5394249,-0.80648184,0.20214513,0.30544922,0.08067922,1.1011052,0.66269,1.5940443,0.16221,0.20870401,0.3348516,1.5701857,2.1677296,0.7930052,0.09144283,0.16902474,0.16416083,-0.8696087,0.48185396,0.29480904,0.087609574,0.09983148,0.13504216,0.8728271,-0.57189715,-0.56342983,0.47853774,1.3567397e-05,0.7757246,0.5460972,0.8608339,-0.52697814,0.17063104,0.42564532,-0.44611523,-0.8370237,0.29983407,-0.0014001053,0.6308727,-0.09310391,0.3491752,-0.8797421,0.8368876,0.77763444,-0.628105,-0.96367574,0.26004988,-0.00082696596,0.8449033,0.8128829,0.5325757,-0.8527221,0.87092143,0.4832226,-0.64688134,-1.4242643,1.8471612,-0.0026284144,0.80769426,0.6101277,1.8586359,-0.28849742,0.68824565,0.5521434,-0.65508527,0.7879996,0.18189628,-0.0033960624,-0.2672225,0.37888744,0.38890278,0.24532674,-0.11283541,0.23889507,-0.26901767,0.18156002,-0.10016905,-0.0012623187,1.4178603,1.034316,-0.16524978,-0.77902365,0.6817594,5,4
1,0.77886516,-0.111700036,0.95514435,-0.00023821957,0.052736565,-0.29199234,0.89121455,0.5394249,-0.80648184,0.20124385,0.30041745,0.08067922,1.1011052,0.66269,1.5940443,0.16221,0.20870401,0.3348516,1.5705298,2.1677296,0.7930052,0.09144283,0.16902474,0.16416083,-0.8696087,0.48129708,0.29845202,0.08991091,0.09460466,0.13463195,0.87159854,-0.5691504,-0.56322825,0.47853774,-0.029373845,0.7682342,0.5462888,0.8563552,-0.5260769,0.16346867,0.42554113,-0.44742948,-0.8362869,0.29983407,-0.006915458,0.630465,-0.09891993,0.35047805,-0.8764879,0.8397,0.77763444,-0.628105,-0.96367574,0.26004988,-0.00082696596,0.8447408,0.8123347,0.5335507,-0.8480632,0.87332755,0.48335937,-0.64688134,-1.4245578,1.8471612,0.00058198185,0.80762815,0.611325,1.8582432,-0.28693858,0.6891672,0.5512238,-0.6563294,0.7880203,0.18116522,-0.026381986,-0.266255,0.3817043,0.38772398,0.2445648,-0.1110002,0.23898816,-0.26901767,0.18136136,-0.10016905,-0.0019306478,1.4178603,1.0343243,-0.16563916,-0.7789679,0.68121725,5,4
2,0.77833146,-0.109401144,0.95501107,-0.010402084,0.0526568,-0.29710424,0.89026153,0.53948134,-0.80622023,0.20048787,0.29445878,0.08105262,1.1010218,0.66269,1.5938879,0.16221,0.20786166,0.3346105,1.570763,2.1677296,0.7930052,0.09072606,0.1683456,0.16381112,-0.8692143,0.4809196,0.30162528,0.09200028,0.091062814,0.134354,0.870395,-0.5665314,-0.5630915,0.47873256,-0.048698064,0.7607179,0.54647183,0.85188764,-0.52517945,0.15632744,0.42548424,-0.44894266,-0.8356042,0.2997546,-0.008150732,0.6300682,-0.10469642,0.3517697,-0.8732902,0.8424737,0.7775303,-0.62837607,-0.96362233,0.26007298,-0.0030033574,0.8445737,0.81178546,0.53451926,-0.84344196,0.87569267,0.4834526,-0.6469953,-1.4247566,1.8471612,0.001722517,0.80755275,0.6125263,1.8578497,-0.2853912,0.69005156,0.5506767,-0.657302,0.7877247,0.18054348,-0.03265046,-0.2652875,0.38448972,0.38655767,0.24380544,-0.109174915,0.23912598,-0.2692336,0.18124731,-0.10027432,-0.002518298,1.4178919,1.0341651,-0.16599357,-0.7789031,0.6806687,5,4
3,0.7779327,-0.10226977,0.9545974,-0.018693246,0.0526568,-0.30344346,0.88948405,0.53965616,-0.8054085,0.20003724,0.28655174,0.08221093,1.1007628,0.66269,1.5934027,0.16221,0.20524852,0.3338626,1.570763,2.1677296,0.7930052,0.088502616,0.16623884,0.16272633,-0.867991,0.4809196,0.30381122,0.09364409,0.091062814,0.134354,0.86924285,-0.5641808,-0.56309104,0.47933686,-0.04686905,0.75314707,0.54663694,0.84744334,-0.5242899,0.14923067,0.4255267,-0.450874,-0.83503515,0.29950777,-0.00038910937,0.62969446,-0.110391155,0.3530379,-0.87021095,0.8451665,0.77720857,-0.62921697,-0.9634564,0.26014462,-0.00975461,0.84439677,0.8112342,0.53547424,-0.8389,0.8779716,0.4834526,-0.6473488,-1.4247566,1.8471612,-0.001487879,0.807458,0.61373556,1.8574544,-0.2838679,0.6908578,0.5509123,-0.65770376,0.7867638,0.18015164,-0.0037781761,-0.26432,0.3872084,0.38541758,0.24305147,-0.107370466,0.23935777,-0.26990375,0.18131125,-0.100600965,-0.0029363527,1.4179895,1.0336537,-0.16627452,-0.7788195,0.6801072,5,4
4,0.7777911,-0.09594971,0.95445037,-0.021638758,0.0526568,-0.3056956,0.88920784,0.53971833,-0.8051201,0.19987716,0.28374267,0.08287137,1.1002952,0.66279745,1.5914161,0.16262619,0.20401384,0.3332219,1.5713731,2.167764,0.7949476,0.08627916,0.1651023,0.1617814,-0.86755633,0.48065028,0.30458772,0.09422808,0.091062814,0.134354,0.8687739,-0.56334573,-0.5631149,0.47989434,-0.0298773,0.74557626,0.54679024,0.84307164,-0.52340865,0.14223215,0.42554176,-0.45159307,-0.834833,0.29941997,0.00092005514,0.62932795,-0.11601942,0.35428753,-0.86718166,0.84783256,0.7763287,-0.62952113,-0.9631727,0.26047373,-0.023819616,0.8442128,0.81067413,0.5364266,-0.8344081,0.8801935,0.4844122,-0.64733875,-1.4251317,1.846938,0.019851247,0.8073483,0.61496466,1.857052,-0.28235802,0.69161355,0.5503307,-0.6578465,0.7864373,0.17997481,-0.013943343,-0.26335248,0.3898899,0.38429084,0.24230734,-0.10558935,0.23946474,-0.2704478,0.18144478,-0.100697085,-0.0032471432,1.4178386,1.033311,-0.1667008,-0.77872497,0.6795355,5,4
5,0.7777911,-0.09007671,0.95445037,-0.021638758,0.0526568,-0.3056956,0.88920784,0.53971833,-0.8051201,0.19987716,0.28374267,0.083257474,1.0997127,0.66296405,1.588602,0.1632717,0.20353873,0.33264023,1.5723193,2.1678169,0.79796016,0.08405571,0.16450037,0.16091356,-0.86755633,0.4802325,0.30458772,0.09422808,0.091062814,0.134354,0.86868155,-0.56334573,-0.563152,0.48042604,-0.0045305756,0.7380055,0.5469369,0.83874005,-0.522532,0.13528773,0.42554176,-0.45164427,-0.834833,0.29941997,-0.0013262156,0.6289655,-0.121611744,0.355527,-0.8641799,0.85048395,0.7751424,-0.6295296,-0.9628241,0.26094472,-0.041914646,0.8440248,0.81010944,0.5373776,-0.8299437,0.88238394,0.48590127,-0.6471283,-1.4257134,1.8465918,0.05471765,0.8072304,0.6162048,1.8566453,-0.2808556,0.6923415,0.54929924,-0.6578465,0.7864603,0.17991616,-0.04561893,-0.262385,0.39255214,0.38317138,0.2415686,-0.103821084,0.23950304,-0.27092254,0.1816166,-0.10066608,-0.0034988418,1.4175508,1.0330614,-0.16720712,-0.7786246,0.6789584,5,4
6,0.77754325,-0.08988359,0.9541836,-0.02591522,0.0526568,-0.3065714,0.88920784,0.53971833,-0.8051201,0.19987716,0.2774861,0.08327017,1.0996935,0.66296947,1.5885094,0.16329294,0.20352308,0.3326211,1.5726832,2.168024,0.7980593,0.08398257,0.16448057,0.160885,-0.8666959,0.47976992,0.3067016,0.099633195,0.092642464,0.1347507,0.86802703,-0.5623409,-0.5631269,0.48041725,-0.017138792,0.73042357,0.5470632,0.8344406,-0.52166486,0.12844795,0.42554176,-0.45292708,-0.834833,0.29941997,-0.0014001053,0.62860304,-0.12711333,0.35674256,-0.8612914,0.85301304,0.7751037,-0.6295299,-0.96281266,0.26096022,-0.018480897,0.8438368,0.8095452,0.5383061,-0.8255651,0.8845316,0.48688456,-0.6471213,-1.425854,1.8466307,0.044023022,0.80711263,0.61741626,1.8562472,-0.27938288,0.6930564,0.54839575,-0.65870804,0.78580815,0.17947191,-0.04345285,-0.26140296,0.39500013,0.38214087,0.2408476,-0.102038346,0.23947716,-0.27091476,0.18159631,-0.10064849,-0.003559581,1.417583,1.0327892,-0.1674593,-0.7785241,0.6783738,5,4
7,0.7773611,-0.085147664,0.9539278,-0.029057126,0.052759018,-0.307477,0.889583,0.5396678,-0.80504173,0.20039892,0.2716409,0.08388489,1.0996935,0.66296947,1.5884532,0.16285694,0.20338556,0.3326211,1.5729277,2.1681747,0.7980593,0.08398257,0.16448057,0.1606966,-0.8659349,0.47944018,0.30825472,0.103604294,0.09380302,0.13527966,0.86744255,-0.5615483,-0.56315005,0.48082113,-0.024881706,0.722838,0.5471861,0.8301863,-0.5208001,0.12165678,0.42552036,-0.45403588,-0.8351077,0.2994088,-0.0025319976,0.62825865,-0.13260864,0.35795352,-0.8584639,0.8555357,0.7750723,-0.6296395,-0.9628144,0.26096854,-0.0014880536,0.8436488,0.80898553,0.53922164,-0.8212175,0.8866632,0.48757067,-0.64709157,-1.425943,1.8466675,0.028774625,0.80698985,0.6186211,1.8558521,-0.27791312,0.6937559,0.54775286,-0.65914613,0.78522784,0.17914712,-0.034693327,-0.26041168,0.39742568,0.3811194,0.24012044,-0.10025126,0.23938897,-0.27128133,0.18161857,-0.10089759,-0.0033963528,1.417618,1.032556,-0.16764072,-0.77841777,0.67778116,5,4
8,0.7773611,-0.06878739,0.9537209,-0.029057126,0.053112153,-0.3083826,0.89087874,0.53949285,-0.80477124,0.20220146,0.267328,0.086008444,1.0996935,0.66296947,1.5882592,0.16135073,0.20291045,0.3326211,1.5729277,2.1681747,0.7980593,0.08398257,0.16448057,0.16004571,-0.8654901,0.47944018,0.30825472,0.103604294,0.09380302,0.13610005,0.8670773,-0.5613604,-0.56329715,0.48228323,-0.017513772,0.71524423,0.54730237,0.8260403,-0.51994014,0.114976175,0.42544657,-0.45461476,-0.83605653,0.29936987,-0.0064421734,0.62795854,-0.13809855,0.35915557,-0.8557763,0.85805273,0.7749628,-0.6300185,-0.96282023,0.26099724,-0.0037718113,0.8434608,0.80843717,0.54010683,-0.81693864,0.8887587,0.48757067,-0.64698875,-1.425943,1.8466675,0.0061525255,0.8068547,0.61981136,1.8554642,-0.27644825,0.6944187,0.5477387,-0.6584727,0.7848805,0.17914712,-0.012575221,-0.259399,0.39981592,0.38011175,0.2393767,-0.09845473,0.23915328,-0.27260745,0.18176125,-0.1018006,-0.0026992317,1.4176334,1.0324202,-0.1676697,-0.7782969,0.6771692,5,4
9,0.77743083,-0.062437084,0.9536407,-0.028042557,0.053249225,-0.30873412,0.8913816,0.5394249,-0.80466616,0.20290111,0.26565388,0.086832725,1.0994558,0.66332626,1.5873528,0.16010784,0.20258068,0.3332312,1.5731382,2.1683211,0.7998189,0.0842093,0.16558543,0.15926208,-0.86531746,0.479213,0.30825472,0.103604294,0.09380302,0.1364185,0.8670782,-0.56150764,-0.5633778,0.48285073,-0.005883862,0.7076504,0.5474093,0.82196015,-0.51908827,0.10838389,0.42541787,-0.4548395,-0.83642477,0.2993547,-0.005567527,0.62765837,-0.14352557,0.36034107,-0.8531215,0.8605388,0.77550155,-0.630378,-0.9626232,0.26124954,0.0089067565,0.8432845,0.8078915,0.5409738,-0.81273025,0.89086276,0.48875415,-0.6464969,-1.4258997,1.8464936,0.025080007,0.8067056,0.62099946,1.8550801,-0.27496263,0.69505763,0.54717237,-0.65821135,0.7847581,0.1791152,-0.017795177,-0.25838637,0.40217474,0.37911543,0.23864214,-0.09668025,0.23908596,-0.27312216,0.18191716,-0.10196308,-0.0024099445,1.4174948,1.0322242,-0.16794123,-0.77818966,0.67654777,5,4
