Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,person_id,IMU1_a_mag,IMU1_g_mag,IMU1_pitch,IMU1_roll,IMU1_jerk_a_mag,IMU1_yaw_int,IMU1_qw,IMU1_qx,IMU1_qy,IMU1_qz,IMU2_a_mag,IMU2_g_mag,IMU2_pitch,IMU2_roll,IMU2_jerk_a_mag,IMU2_yaw_int,IMU2_qw,IMU2_qx,IMU2_qy,IMU2_qz,IMU3_a_mag,IMU3_g_mag,IMU3_pitch,IMU3_roll,IMU3_jerk_a_mag,IMU3_yaw_int,IMU3_qw,IMU3_qx,IMU3_qy,IMU3_qz,IMU4_a_mag,IMU4_g_mag,IMU4_pitch,IMU4_roll,IMU4_jerk_a_mag,IMU4_yaw_int,IMU4_qw,IMU4_qx,IMU4_qy,IMU4_qz,IMU5_a_mag,IMU5_g_mag,IMU5_pitch,IMU5_roll,IMU5_jerk_a_mag,IMU5_yaw_int,IMU5_qw,IMU5_qx,IMU5_qy,IMU5_qz,REL_LH_pitch,REL_LH_roll,REL_RH_pitch,REL_RH_roll,REL_LK_pitch,REL_LK_roll,REL_RK_pitch,REL_RK_roll,REL_THIGH_yaw_diff,REL_ANKLE_yaw_diff
619,29817,30657,-863,13468,-989,360,-720,29817,665,16177,-2208,345,309,-61,33398,6618,-32353,1852,493,975,-312,33398,-9958,-31004,9073,-145,368,-48,29817,57,32188,3309,-478,804,165,2,2,imu_label_2_jea,33496.023,1275.1945,-1.1561108,-0.06399033,0.0,0.0,0.8370981,-0.026792238,-0.5461167,-0.01747906,16340.526,467.14774,-0.040707607,1.7064482,0.0,0.0,0.6574213,0.75324833,-0.013382873,0.015333586,33074.832,1136.2297,-0.20145154,-1.5136153,0.0,0.0,0.72334665,-0.68312395,-0.07310706,-0.06904183,33804.277,398.4382,0.299014,-1.2861058,0.0,0.0,0.79134154,-0.59295213,0.119200565,0.089316964,32357.69,949.8026,-0.0017615606,1.4683539,0.0,0.0,0.74238217,0.66997606,-0.00065387576,0.0005901019,1.1154032,1.7704386,0.9546592,-1.4496249,0.33972162,-2.992554,0.19968998,2.981969,0.0,0.0
620,33399,30651,-895,13468,-1009,360,-732,33399,663,16173,-2208,343,281,-61,33420,6618,-32353,1852,463,975,-312,33420,-9958,-31013,9062,-150,368,-48,33399,6,32188,3309,-494,804,165,2,2,imu_label_2_jea,33491.37,1297.4995,-1.1559815,-0.06635625,-232.61719,-14.639999,0.8375027,-0.027957188,-0.5453302,-0.020556046,16336.485,447.58353,-0.040595155,1.7064813,-202.05078,-1.22,0.6567582,0.7538278,-0.012765994,0.01579272,33074.832,1123.5382,-0.20145154,-1.5136153,0.0,-6.24,0.7242993,-0.68201107,-0.07190511,-0.071281746,33809.582,400.2849,0.29896566,-1.2865107,265.23438,-0.96,0.7910032,-0.59336585,0.11985091,0.08869482,32357.64,957.9546,-0.00018542762,1.4683539,-2.4414062,3.3,0.74324524,0.6690148,0.00062702905,0.0023051836,1.1153864,1.7728376,0.95453,-1.447259,0.3395608,-2.992992,0.20126611,2.981969,5.0199995,-4.2599998
621,33421,30651,-979,13515,-1039,413,-750,33421,648,16173,-2204,339,261,-61,33442,6465,-32392,1913,436,1040,-309,33442,-9918,-31081,9016,-150,362,-127,33421,-31,32193,3377,-495,810,220,2,2,imu_label_2_jea,33512.645,1346.3246,-1.1545422,-0.07231173,1063.6719,-29.64,0.8379677,-0.02918577,-0.5444237,-0.023689304,16335.344,432.16086,-0.039679,1.7062385,-57.08008,-2.44,0.65611666,0.7543872,-0.012189915,0.016196214,33086.21,1169.2634,-0.19666389,-1.5118071,568.9453,-12.42,0.7252072,-0.6809443,-0.07055986,-0.0735574,33847.945,411.91382,0.2973801,-1.2884644,1918.1641,-3.5,0.7906812,-0.59381074,0.12033902,0.08792402,32369.652,974.4357,0.0009576873,1.46628,600.58594,7.7,0.7441017,0.66805136,0.0018063721,0.004095544,1.1148632,1.7785503,0.95787835,-1.4394953,0.33705908,-2.9947028,0.19762157,2.978087,9.98,-11.2
622,33443,30676,-979,13523,-1039,415,-750,33443,648,16176,-2204,339,261,-56,33464,6465,-32392,1915,436,1040,-301,33464,-9826,-31081,9016,-133,362,-127,33443,-31,32203,3377,-495,810,224,2,2,imu_label_2_jea,33538.74,1346.9395,-1.154626,-0.0722691,1304.6875,-44.64,0.8384157,-0.030388942,-0.5435252,-0.026759608,16338.313,431.4835,-0.039671782,1.7062137,148.48633,-3.56,0.6554872,0.75493425,-0.011635159,0.016600123,33086.33,1167.1748,-0.19666319,-1.5117456,5.859375,-18.44,0.7260925,-0.67989415,-0.06922664,-0.07577173,33821.105,406.032,0.2947793,-1.2884644,-1341.9922,-6.04,0.7903942,-0.59421337,0.12080058,0.08714774,32379.598,975.3466,0.00095739315,1.4663122,497.26562,12.18,0.7449362,0.6671034,0.002955196,0.0058578462,1.1149542,1.7784828,0.9579628,-1.4394765,0.33445108,-2.994678,0.19762059,2.9780579,14.880001,-18.220001
623,33465,30676,-1042,13523,-1066,415,-767,33465,637,16176,-2207,339,252,-56,33486,6327,-32422,1915,416,1040,-301,33486,-9826,-31132,8982,-133,358,-212,33465,-31,32203,3377,-495,810,224,2,2,imu_label_2_jea,33540.637,1377.269,-1.154498,-0.07690195,94.921875,-59.98,0.8388403,-0.0316415,-0.54263574,-0.029868998,16338.286,426.09976,-0.038998064,1.7063957,-1.3671875,-4.68,0.654868,0.75547117,-0.011102439,0.016973132,33089.035,1159.8522,-0.19239615,-1.5118,135.35156,-24.460001,0.7269213,-0.6789008,-0.067884535,-0.07791572,33858.94,436.80316,0.29444,-1.2899107,1891.7969,-10.28,0.79012454,-0.5946449,0.12110864,0.08621731,32379.598,975.3466,0.00095739315,1.4663122,0.0,16.66,0.74574965,0.66617054,0.004081083,0.0075848685,1.1155,1.7832977,0.9621018,-1.4348981,0.33343807,-2.9963064,0.19335355,2.9781122,19.78,-26.939999
624,33487,30659,-1089,13564,-1095,416,-791,33487,637,16173,-2223,345,245,-24,33508,6213,-32444,1960,370,1084,-274,33508,-9629,-31171,8958,-97,320,-276,33487,118,32214,3250,-451,658,260,2,2,imu_label_2_jea,33543.14,1413.4221,-1.1530781,-0.08011421,125.19531,-75.8,0.8392498,-0.03292524,-0.54174256,-0.033026714,16337.485,423.8231,-0.038999975,1.7073917,-40.039062,-5.16,0.6542394,0.7560127,-0.010655072,0.017379886,33091.633,1177.7233,-0.18887234,-1.5104579,129.88281,-29.94,0.72767115,-0.67799795,-0.06640322,-0.08002623,33831.86,433.57236,0.28860313,-1.2909551,-1354.1016,-15.799999,0.7899424,-0.5950179,0.12119367,0.0851874,32377.744,839.02625,-0.003644487,1.4702487,-92.67578,21.86,0.7464413,0.66537154,0.0047925864,0.009113387,1.114078,1.787506,0.96420574,-1.4303436,0.3276031,-2.9983468,0.18522786,2.9807067,24.78,-37.66
625,33509,30659,-1089,13570,-1095,416,-791,33509,658,16173,-2223,346,245,-24,33530,6213,-32444,1962,370,1084,-274,33530,-9629,-31171,8958,-97,320,-276,33509,194,32214,3250,-365,658,260,2,2,imu_label_2_jea,33545.566,1413.4221,-1.1529151,-0.08007894,121.28906,-91.62,0.8396416,-0.034182657,-0.5408595,-0.036120724,16338.317,424.63748,-0.040284317,1.7073917,41.601562,-5.64,0.6536207,0.7565442,-0.010225049,0.017788196,33091.75,1177.7233,-0.18887164,-1.5103965,5.859375,-35.420002,0.7284004,-0.67710763,-0.064950906,-0.08209397,33831.86,433.57236,0.28860313,-1.2909551,0.0,-21.32,0.789763,-0.59538263,0.12127684,0.08417795,32378.11,796.10864,-0.0059917388,1.4702487,18.261719,27.060001,0.746967,0.66475374,0.0054744296,0.010625944,1.1126308,1.7874707,0.9640435,-1.4303175,0.32888743,-2.9983468,0.1828799,2.9806452,29.780003,-48.38
626,33531,30659,-1114,13570,-1136,400,-792,33531,658,16170,-2250,346,221,-24,33552,6196,-32455,1962,326,1084,-274,33552,-9629,-31208,8940,-97,291,-329,33531,194,32214,3203,-365,481,260,2,2,imu_label_2_jea,33546.387,1441.4437,-1.15286,-0.08190918,41.015625,-107.46,0.8399884,-0.035519853,-0.5400182,-0.039221134,16339.044,411.2578,-0.04028253,1.7090552,36.328125,-6.12,0.6530005,0.7570762,-0.00984432,0.018141123,33099.35,1164.6493,-0.18830489,-1.5104169,380.07812,-40.9,0.7290321,-0.67631465,-0.06351345,-0.08412346,33861.195,449.8122,0.2883459,-1.2918028,1466.7969,-27.9,0.7896024,-0.5957566,0.12121323,0.083123766,32373.426,657.40857,-0.0059926054,1.4716933,-234.17969,32.260002,0.7474731,0.6641619,0.0057972935,0.011800991,1.1125776,1.7909644,0.96455514,-1.4285077,0.32862842,-3.0008578,0.18231228,2.98211,34.780003,-60.160004
627,33553,30668,-1114,13589,-1169,361,-792,33553,733,16168,-2270,366,203,19,33574,6183,-32457,1963,248,1117,-242,33574,-9489,-31236,8929,-83,270,-368,33553,295,32212,3152,-254,307,272,2,2,imu_label_2_jea,33562.3,1457.4451,-1.1524532,-0.08179516,795.7031,-123.299995,0.8402622,-0.036905393,-0.5392663,-0.042301346,16343.023,418.95822,-0.044865992,1.7102853,198.97461,-5.74,0.65234005,0.7576381,-0.009615847,0.018559992,33098.938,1169.5115,-0.18790744,-1.5103899,-20.703125,-45.74,0.729521,-0.6756796,-0.06196485,-0.08611946,33844.586,463.91055,0.28417936,-1.2923656,-830.46875,-35.26,0.7894825,-0.59610915,0.121016376,0.08201414,32367.191,482.44067,-0.009114293,1.4732552,-311.71875,37.7,0.74776745,0.6638147,0.00573351,0.012693433,1.1075872,1.7920805,0.9645457,-1.4285947,0.32904536,-3.0026507,0.17879315,2.983645,40.0,-72.96
628,33575,30698,-1107,13589,-1169,361,-790,33575,736,16168,-2270,366,203,45,33596,6183,-32457,1963,248,1117,-242,33596,-9489,-31236,8929,-83,270,-368,33575,335,32212,3152,-210,307,272,2,2,imu_label_2_jea,33589.49,1456.3591,-1.1528316,-0.08128346,1359.375,-139.09999,0.8405189,-0.038261212,-0.5385266,-0.04531255,16343.158,420.93942,-0.045049373,1.7102853,6.7382812,-4.8399997,0.6516909,0.75818735,-0.0094445655,0.019016208,33098.938,1169.5115,-0.18790744,-1.5103899,0.0,-50.58,0.72999483,-0.675053,-0.06044677,-0.08807511,33844.586,463.91055,0.28417936,-1.2923656,0.0,-42.62,0.78936404,-0.5964537,0.12082329,0.08092654,32367.58,460.79605,-0.010350047,1.4732552,19.433594,43.14,0.7479788,0.66355956,0.0056631994,0.013575562,1.1077821,1.7915688,0.9649241,-1.4291065,0.32922873,-3.0026507,0.1775574,2.983645,45.74,-85.759995
