Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
176,22831,-16163,-1862,2537,-274,954,73,22831,372,3826,-1367,43,31,-20,23292,-1533,15755,4802,87,620,-129,23292,-2169,-15997,5198,-2,101,-23,22831,-1707,15989,1880,-137,191,5,2,0
177,23293,-16166,-1858,2547,-256,953,75,23293,374,3826,-1370,44,33,-20,23314,-1537,15702,4807,105,601,-153,23314,-2157,-15985,5218,26,76,-5,23293,-1695,15982,1876,-133,146,17,2,0
178,23315,-16166,-1858,2590,-256,953,75,23315,374,3828,-1370,44,33,-20,23336,-1537,15702,4807,105,601,-153,23336,-2157,-15985,5223,26,76,-5,23315,-1695,15982,1876,-129,146,17,2,0
179,23337,-16168,-1858,2590,-283,953,75,23337,374,3828,-1373,44,33,-20,23358,-1568,15648,4807,105,581,-184,23358,-2157,-15985,5223,26,67,-5,23337,-1695,15978,1876,-129,110,17,2,0
180,23359,-16170,-1844,2665,-305,985,86,23359,374,3827,-1377,44,27,-17,23380,-1605,15608,4808,121,566,-208,23380,-2179,-15974,5262,38,67,0,23359,-1705,15975,1875,-113,55,20,2,0
181,23381,-16170,-1844,2665,-305,985,89,23381,374,3827,-1377,44,27,-17,23402,-1605,15608,4808,121,561,-208,23402,-2179,-15974,5262,38,82,0,23381,-1705,15975,1875,-112,55,20,2,0
182,23403,-16170,-1844,2665,-318,985,89,23403,374,3826,-1380,44,26,-17,23424,-1638,15581,4802,121,566,-208,23424,-2200,-15974,5262,38,88,0,23403,-1731,15975,1875,-112,14,15,2,0
183,23425,-16151,-1827,2721,-318,1015,113,23425,369,3826,-1383,45,26,-16,23446,-1691,15581,4797,130,597,-189,23446,-2216,-15966,5289,53,90,-2,23425,-1768,15974,1874,-100,3,11,2,0
184,23447,-16151,-1827,2721,-305,1015,113,23447,369,3826,-1383,46,27,-16,23468,-1691,15584,4797,130,607,-188,23468,-2216,-15966,5289,55,98,-2,23447,-1768,15974,1874,-100,3,11,2,0
185,23469,-16151,-1827,2721,-305,1015,113,23469,365,3824,-1385,46,27,-16,23490,-1722,15584,4797,130,607,-188,23490,-2216,-15966,5289,55,98,-3,23469,-1796,15974,1874,-100,3,11,2,0
