Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
192,115578,29519,-5340,5867,-721,1313,-242,115578,676,7818,-1752,68,-244,57,115577,3414,-29276,16406,-145,873,183,115577,-6084,-31695,10204,-71,317,-71,116559,5436,31681,110,-769,-511,-1214,2,0
193,116560,30211,-5355,6867,-564,1409,-171,116560,739,7842,-1751,69,-158,28,116561,3360,-29276,16494,46,805,142,116561,-6054,-31697,10255,-117,235,-71,116582,5429,31712,172,-729,-499,-855,2,0
194,116584,30211,-5355,6867,-564,1409,-171,116584,739,7842,-1731,69,-158,28,116583,3360,-29251,16494,46,805,142,116583,-6054,-31697,10283,-117,235,-53,116605,5429,31712,172,-729,-499,-851,2,0
195,116606,30211,-5366,6867,-564,1409,-171,116606,739,7842,-1731,69,-158,11,116607,3320,-29251,16494,46,713,142,116607,-6054,-31698,10283,-117,235,-53,116628,5429,31712,172,-729,-499,-851,2,0
196,116630,30730,-5390,7867,-585,1481,-96,116630,777,7860,-1715,69,-92,-1,116629,3290,-29236,16570,75,516,195,116629,-6034,-31699,10294,-71,292,-63,116651,5463,31736,231,-652,-274,-593,2,0
197,116652,30730,-5390,7867,-585,1548,-83,116652,777,7860,-1715,81,-92,-1,116653,3290,-29236,16576,75,516,195,116653,-6034,-31699,10314,-71,307,-63,116674,5463,31736,251,-630,-274,-593,2,0
198,116676,30730,-5408,7867,-601,1548,-83,116676,777,7860,-1724,81,-92,-10,116675,3267,-29236,16576,75,421,195,116675,-6034,-31699,10314,-71,307,-76,116697,5463,31736,251,-630,-274,-593,2,0
199,116698,31101,-5422,8867,-613,1905,-10,116698,810,7873,-1724,87,-38,-13,116699,3244,-29225,16642,96,421,129,116699,-6021,-31698,10351,-41,412,-81,116720,5433,31708,328,-556,-79,-409,2,0
200,116722,31101,-5422,8867,-613,1905,-10,116722,810,7873,-1721,87,-38,-13,116721,3244,-29211,16656,100,484,129,116721,-6021,-31698,10361,-41,412,-81,116743,5433,31708,356,-531,-79,-409,2,0
201,116744,31101,-5422,8867,-613,1905,-10,116744,810,7873,-1721,87,-38,-15,116745,3244,-29211,16656,100,484,69,116745,-6021,-31698,10361,-41,412,-81,116766,5410,31708,356,-531,-79,-409,2,0
202,116768,31356,-5410,9867,-617,1804,44,116768,835,7881,-1716,90,-9,-15,116767,3337,-29174,16716,119,596,24,116767,-6057,-31721,10389,-25,435,-67,116789,5410,31735,423,-440,112,-231,2,0
203,116790,31356,-5410,9867,-617,1804,44,116790,835,7881,-1716,90,-9,-10,116791,3361,-29174,16716,188,596,24,116791,-6057,-31721,10400,-25,435,-56,116812,5421,31735,423,-434,112,-231,2,0
204,116814,31356,-5410,9867,-617,1729,44,116814,835,7881,-1716,88,-9,-10,116813,3361,-29174,16716,188,596,-9,116813,-6084,-31732,10400,-25,435,-48,116835,5421,31735,423,-434,112,-231,2,0
205,116836,31547,-5401,10798,-598,1709,105,116836,842,7890,-1710,78,8,-11,116837,3313,-29168,16731,393,680,-73,116837,-6104,-31741,10426,-34,396,-54,116858,5429,31755,473,-355,255,-94,2,0
206,116860,31547,-5401,10798,-596,1709,107,116860,842,7890,-1710,78,16,-11,116859,3313,-29168,16731,393,742,-73,116859,-6104,-31741,10446,-34,396,-54,116881,5429,31755,473,-350,367,-94,2,0
207,116882,31547,-5401,10798,-596,1709,107,116882,842,7890,-1710,71,16,-12,116883,3277,-29168,16731,393,742,-124,116883,-6104,-31747,10446,-51,365,-104,116904,5429,31755,473,-350,367,-94,2,0
208,116906,31694,-5390,11538,-608,1847,152,116906,855,7907,-1706,65,36,-13,116905,3277,-29164,16764,547,844,-162,116905,-6079,-31764,10465,-70,342,-141,116927,5431,31856,432,-213,761,-71,2,0
