Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
2279,97837,12311,-2671,6902,-298,988,126,97837,882,3972,-197,40,45,-27,99118,-536,16196,2683,126,592,-144,99118,-2734,15907,2816,-101,41,-38,97837,1668,15972,-925,-175,38,145,11,1
2280,99119,13230,-2670,6924,-324,1006,112,99119,873,3973,-197,40,45,-26,99140,-605,16214,2694,150,587,-145,99140,-2712,15934,2794,-80,13,-31,99119,1686,15972,-886,-187,30,142,11,1
2281,99141,13230,-2670,6925,-324,1006,112,99141,873,3975,-197,40,46,-24,99162,-605,16214,2694,150,587,-145,99162,-2712,15934,2794,-78,13,-26,99141,1686,15999,-886,-187,30,142,11,1
2282,99163,13230,-2670,6925,-325,1006,105,99163,859,3975,-197,40,46,-24,99184,-656,16214,2694,150,571,-145,99184,-2712,15934,2794,-78,13,-26,99163,1686,15999,-886,-187,24,137,11,1
2283,99185,13914,-2649,7038,-325,1002,103,99185,847,3980,-198,41,48,-19,99206,-707,16220,2692,158,571,-116,99206,-2678,15954,2800,-71,36,-25,99185,1655,15997,-857,-186,24,136,11,1
2284,99207,13914,-2649,7051,-316,1002,103,99207,847,3980,-198,41,48,-19,99228,-707,16220,2692,158,577,-116,99228,-2678,15957,2818,-71,46,-27,99207,1655,15997,-846,-172,42,136,11,1
2285,99229,13914,-2649,7051,-316,974,103,99229,838,3980,-199,41,48,-19,99250,-745,16220,2692,158,577,-116,99250,-2678,15957,2818,-71,46,-28,99229,1632,15995,-846,-172,42,136,11,1
2286,99251,14422,-2634,7146,-308,951,105,99251,826,3988,-199,42,50,-18,99272,-773,16225,2691,164,558,-105,99272,-2647,15973,2832,-65,71,-32,99251,1625,15992,-816,-160,72,136,11,1
2287,99273,14422,-2634,7146,-308,951,105,99273,826,3988,-199,42,50,-18,99294,-773,16225,2691,166,558,-105,99294,-2647,15973,2832,-65,71,-32,99273,1625,15992,-802,-160,72,140,11,1
2288,99295,14422,-2634,7146,-308,951,105,99295,826,3988,-199,42,50,-18,99316,-782,16219,2669,166,543,-105,99316,-2647,15973,2832,-65,71,-34,99295,1609,15992,-802,-160,72,140,11,1
2289,99317,14781,-2635,7188,-312,957,107,99317,829,3989,-199,42,47,-18,99338,-789,16215,2652,162,532,-90,99338,-2638,15976,2830,-68,87,-39,99317,1591,16012,-809,-160,69,144,11,1
2290,99339,14781,-2635,7188,-312,957,107,99339,829,3989,-199,42,47,-18,99360,-789,16215,2652,159,532,-90,99360,-2638,15976,2828,-68,87,-39,99339,1591,16012,-809,-160,69,150,11,1
2291,99361,14781,-2636,7188,-315,957,106,99361,829,3989,-199,42,44,-18,99382,-794,16213,2652,159,532,-90,99382,-2639,15976,2828,-68,87,-39,99361,1578,16012,-809,-167,67,150,11,1
2292,99383,15053,-2637,7235,-315,952,103,99383,831,3990,-200,42,44,-18,99404,-833,16211,2667,157,536,-79,99404,-2639,15979,2818,-60,108,-34,99383,1555,16019,-803,-179,67,157,11,1
2293,99405,15064,-2637,7235,-312,952,103,99405,832,3990,-200,42,44,-17,99426,-833,16211,2668,157,536,-79,99426,-2632,15983,2818,-60,114,-31,99405,1555,16019,-803,-179,76,157,11,1
