Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1442,83243,20183,-2298,11159,-869,342,-543,83243,821,16099,-2694,403,341,-209,87344,-4209,31835,5403,-16,1200,-329,87344,-1195,-30705,15790,31,198,30,83243,2559,29497,13308,-251,210,-341,9,2
1443,87345,21183,-2298,11253,-929,435,-568,87345,790,16115,-2682,371,358,-209,87366,-4218,31864,5548,103,1023,-396,87366,-1250,-30682,15816,14,192,28,87345,2521,29518,13321,-239,191,-199,9,2
1444,87367,21183,-2269,11253,-929,466,-568,87367,790,16115,-2682,371,358,-204,87388,-4218,31864,5548,183,1023,-396,87388,-1250,-30676,15828,14,192,28,87367,2521,29518,13343,-211,191,-199,9,2
1445,87389,21183,-2269,11253,-997,466,-587,87389,790,16115,-2682,353,322,-204,87410,-4225,31864,5548,183,900,-447,87410,-1297,-30676,15828,7,192,28,87389,2478,29518,13343,-211,173,-199,9,2
1446,87411,22183,-2179,11143,-1096,548,-672,87411,797,16117,-2653,353,217,-131,87432,-4252,31904,5583,252,822,-447,87432,-1332,-30661,15841,1,214,37,87411,2446,29534,13352,-169,173,-78,9,2
1447,87433,22183,-2173,11143,-1096,553,-672,87433,808,16117,-2650,355,217,-131,87454,-4252,31920,5563,252,822,-439,87454,-1332,-30661,15841,1,214,37,87433,2446,29534,13347,-169,186,-68,9,2
1448,87455,22183,-2173,11061,-1096,553,-688,87455,808,16117,-2650,355,138,-131,87476,-4252,31920,5563,252,822,-439,87476,-1336,-30661,15841,-21,214,37,87455,2430,29526,13344,-169,186,-68,9,2
1449,87477,23183,-2039,10999,-1044,648,-688,87477,910,16121,-2628,370,80,-106,87498,-4189,31986,5560,250,979,-427,87498,-1336,-30663,15834,-39,226,32,87477,2418,29520,13338,-175,209,17,9,2
1450,87499,23183,-2039,10999,-961,648,-668,87499,912,16121,-2626,370,80,-106,87520,-4189,31986,5558,250,979,-427,87520,-1325,-30663,15834,-39,226,32,87499,2418,29520,13338,-175,218,18,9,2
1451,87521,23183,-2039,10999,-961,648,-668,87521,912,16121,-2626,370,80,-120,87542,-4189,31986,5558,250,979,-427,87542,-1325,-30665,15834,-39,226,32,87521,2409,29520,13338,-175,218,18,9,2
1452,87543,24183,-2055,11023,-833,701,-629,87543,990,16128,-2610,382,144,-181,87564,-4191,32027,5556,268,1097,-418,87564,-1303,-30672,15821,-27,237,57,87543,2396,29546,13339,-168,257,73,9,2
1453,87565,24183,-2055,11025,-812,701,-606,87565,990,16128,-2610,382,184,-181,87586,-4191,32039,5556,279,1097,-418,87586,-1303,-30672,15821,4,237,104,87565,2396,29546,13351,-167,257,73,9,2
1454,87587,24183,-2067,11025,-812,701,-606,87587,990,16127,-2610,382,184,-227,87608,-4195,32039,5555,279,1097,-418,87608,-1303,-30672,15821,4,237,104,87587,2355,29546,13351,-167,257,73,9,2
1455,87609,25183,-2078,11080,-697,712,-554,87609,1016,16125,-2609,378,299,-245,87630,-4198,32067,5536,289,1264,-381,87630,-1373,-30666,15857,64,212,230,87609,2350,29565,13347,-162,298,91,9,2
1456,87631,25183,-2078,11090,-674,712,-545,87631,1016,16125,-2609,378,300,-245,87652,-4198,32067,5536,289,1265,-360,87652,-1373,-30660,15857,64,212,230,87631,2350,29565,13347,-162,298,91,9,2
