Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1716,46931,-15704,-2229,4282,-343,1028,77,46931,-684,-3995,-651,35,65,-4,47392,919,-16015,4421,322,340,-152,47392,1755,16160,1307,-94,-210,-47,46931,-2286,15701,3380,-404,427,-3,10,2
1717,47393,-15704,-2229,4293,-332,1028,77,47393,-684,-3995,-651,35,65,-4,47414,919,-16015,4433,322,340,-152,47414,1755,16166,1307,-87,-112,-47,47393,-2286,15701,3380,-404,427,-3,10,2
1718,47415,-15821,-2229,4293,-332,996,77,47415,-688,-3998,-651,33,65,-4,47436,915,-16015,4433,300,340,-152,47436,1755,16166,1307,-87,-112,-51,47415,-2289,15701,3380,-404,427,-3,10,2
1719,47437,-15929,-2214,4326,-337,972,76,47437,-688,-3998,-650,32,63,0,47458,912,-15992,4450,269,351,-140,47458,1746,16177,1320,-57,-46,-78,47437,-2289,15690,3396,-390,287,2,10,2
1720,47459,-15929,-2214,4326,-337,972,76,47459,-681,-3997,-650,32,63,0,47480,912,-15992,4485,269,351,-140,47480,1746,16177,1320,-57,-46,-78,47459,-2279,15690,3396,-326,287,43,10,2
1721,47481,-16013,-2214,4326,-344,954,71,47481,-681,-3997,-650,32,62,0,47502,890,-15992,4485,262,351,-140,47502,1739,16177,1317,-57,-46,-94,47481,-2279,15682,3396,-326,182,43,10,2
1722,47503,-16086,-2217,4356,-356,953,63,47503,-675,-3994,-649,33,60,3,47524,869,-16002,4502,257,395,-113,47524,1739,16185,1314,-47,3,-106,47503,-2268,15682,3413,-268,104,75,10,2
1723,47525,-16086,-2217,4356,-356,953,63,47525,-675,-3993,-646,34,60,3,47546,869,-16002,4502,257,395,-107,47546,1739,16185,1314,-47,13,-106,47525,-2268,15689,3413,-268,104,75,10,2
1724,47547,-16139,-2217,4356,-360,953,62,47547,-675,-3993,-646,34,58,3,47568,869,-16012,4502,253,395,-107,47568,1739,16183,1312,-47,13,-119,47547,-2268,15689,3413,-268,45,75,10,2
1725,47569,-16165,-2227,4369,-363,975,61,47569,-676,-3992,-645,34,55,7,47590,899,-16020,4515,250,439,-99,47590,1709,16180,1309,-43,45,-153,47569,-2262,15703,3425,-222,36,99,10,2
1726,47591,-16165,-2227,4369,-363,985,61,47591,-676,-3992,-643,35,55,7,47612,899,-16020,4515,250,439,-99,47612,1709,16180,1309,-43,45,-153,47591,-2262,15703,3425,-131,36,119,10,2
1727,47613,-16176,-2227,4369,-363,985,61,47613,-676,-3992,-643,35,51,7,47634,899,-16020,4515,244,439,-103,47634,1678,16178,1306,-43,45,-179,47613,-2262,15691,3425,-131,36,119,10,2
1728,47635,-16185,-2224,4380,-362,1007,73,47635,-679,-3991,-644,36,47,4,47656,865,-16017,4534,236,460,-106,47656,1655,16166,1306,-46,57,-191,47635,-2238,15682,3416,-95,38,173,10,2
1729,47657,-16185,-2224,4380,-351,1007,74,47657,-679,-3988,-644,38,47,4,47678,865,-16013,4534,236,460,-106,47678,1655,16166,1327,-46,57,-191,47657,-2214,15682,3415,-95,75,173,10,2
1730,47679,-16209,-2224,4380,-351,1007,74,47679,-681,-3988,-645,38,45,2,47700,839,-16013,4534,230,460,-106,47700,1638,16166,1327,-48,57,-191,47679,-2214,15682,3410,-108,75,173,10,2
1731,47701,-16226,-2222,4400,-342,983,76,47701,-683,-3980,-648,41,43,2,47722,833,-16007,4541,224,462,-66,47722,1627,16175,1334,-51,66,-169,47701,-2190,15684,3410,-167,104,147,10,2
1732,47723,-16226,-2222,4400,-342,983,76,47723,-683,-3980,-648,41,43,3,47744,833,-16007,4541,224,462,-66,47744,1627,16175,1334,-51,66,-149,47723,-2190,15686,3423,-167,104,147,10,2
1733,47745,-16239,-2234,4400,-342,956,76,47745,-683,-3980,-653,41,43,3,47766,833,-16021,4541,219,462,-66,47766,1625,16175,1319,-54,66,-149,47745,-2190,15686,3423,-212,104,128,10,2
1734,47767,-16242,-2234,4416,-353,928,62,47767,-676,-3976,-656,37,43,5,47788,841,-16040,4547,215,463,-66,47788,1625,16182,1305,-64,66,-108,47767,-2213,15688,3437,-232,124,120,10,2
1735,47789,-16242,-2217,4436,-353,928,62,47789,-676,-3976,-656,37,43,7,47810,841,-16040,4547,215,482,-66,47810,1628,16182,1305,-64,66,-108,47789,-2213,15688,3437,-232,138,120,10,2
1736,47811,-16242,-2217,4436,-365,892,56,47811,-676,-3976,-659,33,43,7,47832,841,-16040,4547,199,482,-66,47832,1628,16182,1294,-76,63,-108,47811,-2218,15688,3437,-245,138,115,10,2
1737,47833,-16255,-2197,4467,-375,865,51,47833,-670,-3977,-659,30,44,13,47854,853,-16037,4571,187,497,-38,47854,1635,16198,1294,-99,-84,-69,47833,-2218,15691,3454,-245,167,111,10,2
1738,47855,-16255,-2197,4467,-375,865,51,47855,-670,-3977,-657,30,44,14,47876,868,-16037,4571,187,497,-34,47876,1640,16200,1305,-99,-84,-69,47855,-2218,15691,3454,-241,207,111,10,2
1739,47877,-16255,-2197,4467,-381,855,48,47877,-670,-3977,-657,28,44,14,47898,868,-16037,4564,187,497,-34,47898,1642,16200,1305,-117,-992,-69,47877,-2218,15691,3454,-241,207,108,10,2
1740,47899,-16255,-2195,4486,-381,855,34,47899,-664,-3977,-655,27,45,19,47920,944,-16058,4534,229,424,-13,47920,1644,16212,1109,-201,-2251,78,47899,-2252,15693,3467,-157,661,108,10,2
1741,47921,-16255,-2195,4490,-381,862,34,47921,-661,-3977,-655,27,46,19,47942,944,-16058,4534,257,424,-14,47942,1644,16222,1109,-201,-2251,78,47921,-2252,15693,3467,-136,886,146,10,2
1742,47943,-16255,-2195,4490,-386,862,18,47943,-661,-3983,-655,27,46,19,47964,944,-16144,4518,257,261,-39,47964,1604,16222,962,-201,-2464,-83,47943,-2278,15693,3431,-136,886,146,10,2
1743,47965,-16190,-2194,4559,-416,937,6,47965,-647,-4047,-627,28,54,19,47986,1027,-16209,4518,205,127,-63,47986,1574,16219,885,-128,-2464,-294,47965,-2286,15694,3404,30,1395,344,10,2
1744,47987,-16088,-2194,4568,-416,943,6,47987,-640,-4047,-627,28,70,19,48008,1027,-16209,4538,205,127,-63,48008,1566,16219,885,-128,-2279,-294,47987,-2286,15763,3404,41,1395,344,10,2
1745,48009,-16088,-2194,4568,-438,943,6,48009,-640,-4095,-627,28,70,18,48030,1027,-16209,4538,166,57,-94,48030,1561,16217,885,-156,-2279,-475,48009,-2286,15763,3380,41,1395,344,10,2
1746,48031,-15088,-2187,4643,-457,1015,21,48031,-623,-4100,-625,53,88,0,48052,1043,-16182,4553,166,13,-250,48052,1561,16165,1018,-177,-2016,-985,48031,-2292,15816,3362,175,1470,445,10,2
1747,48053,-15088,-2178,4644,-457,1015,21,48053,-609,-4100,-625,53,88,0,48074,1043,-16151,4564,213,13,-250,48074,1628,16165,1018,-177,-2005,-985,48053,-2292,15816,3362,220,1470,445,10,2
1748,48075,-15088,-2178,4644,-471,1015,21,48075,-609,-4100,-625,53,86,-15,48096,1043,-16151,4564,213,13,-376,48096,1628,16165,1018,-257,-2005,-1501,48075,-2322,15816,3335,220,1340,445,10,2
1749,48097,-15254,-2191,4724,-530,1099,-17,48097,-567,-4061,-594,116,77,-45,48118,1139,-16108,4571,-152,35,-816,48118,1564,16177,1062,-365,-1644,-2009,48097,-2344,15789,3266,430,1239,606,10,2
1750,48119,-15254,-2191,4725,-530,1268,-17,48119,-567,-4061,-587,116,77,-45,48140,1139,-16103,4571,-152,373,-816,48140,1564,16177,1062,-365,-1601,-2009,48119,-2344,15789,3266,443,1239,777,10,2
1751,48141,-15395,-2278,4725,-609,1268,-60,48141,-567,-4061,-587,116,56,-94,48162,1139,-16103,4571,-533,373,-1346,48162,1516,16177,1012,-466,-1601,-2432,48141,-2348,15789,3214,443,1155,777,10,2
1752,48163,-15579,-2343,4654,-849,1471,-120,48163,-521,-4026,-549,158,28,-144,48184,1353,-16012,4340,-1033,814,-2072,48184,1480,16183,1004,-686,-1223,-3061,48163,-2351,15823,3162,665,777,1243,10,2
1753,48185,-15579,-2343,4654,-849,1471,-120,48185,-521,-4026,-549,165,28,-144,48206,1381,-15994,4340,-1033,875,-2072,48206,1480,16183,1004,-686,-1212,-3061,48185,-2351,15823,3162,729,777,1393,10,2
1754,48207,-15579,-2343,4542,-1123,1471,-173,48207,-521,-4026,-549,165,16,-196,48228,1381,-15994,4038,-1623,875,-3161,48228,1409,16183,998,-1020,-1212,-3889,48207,-2384,15823,3123,729,273,1393,10,2
1755,48229,-14579,-2341,4261,-1359,1451,-212,48229,-425,-3999,-434,208,6,-268,48250,1937,-15628,3595,-2468,1296,-4884,48250,1308,16175,993,-1698,-780,-5095,48229,-2419,15866,3056,1044,-289,2454,10,2
1756,48251,-14579,-2296,4261,-1359,1451,-212,48251,-415,-3999,-432,221,6,-268,48272,1994,-15387,3595,-2468,1296,-4884,48272,1308,16175,993,-1698,-780,-5095,48251,-2419,15874,3056,1097,-289,2960,10,2
1757,48273,-14579,-2296,4048,-1508,1207,-212,48273,-415,-3999,-432,221,6,-371,48294,1994,-15387,3263,-3103,1296,-6181,48294,906,16169,993,-2430,-780,-6353,48273,-2419,15874,2985,1097,-710,2960,10,2
1758,48295,-13579,-2108,3825,-1508,467,-42,48295,-360,-3936,-293,355,-1,-522,48316,2081,-15018,2935,-4113,1421,-7154,48316,74,16148,1319,-3021,-431,-7540,48295,-2358,16030,2931,1368,-927,4960,10,2
1759,48317,-13579,-2059,3825,-1423,467,177,48317,-360,-3926,-293,393,-1,-522,48338,2081,-15018,2935,-4113,1421,-7154,48338,74,16148,1344,-3021,-384,-7540,48317,-1680,16030,2931,1368,-927,4960,10,2
1760,48339,-13579,-2059,3725,-1423,-190,177,48339,-360,-3926,-293,393,-6,-711,48360,2081,-15018,2689,-6113,949,-7817,48360,-826,16148,1344,-3499,-384,-8536,48339,-1680,16030,2659,1368,-927,4960,10,2
1761,48361,-12579,-1686,3508,-1359,-967,230,48361,-406,-3771,-217,652,-83,-879,48382,2146,-15002,2504,-7687,-110,-8314,48382,-1501,16347,1583,-3869,563,-9314,48361,-781,16159,2455,1571,-1392,6337,10,2
1762,48383,-12579,-1686,3508,-1204,-967,230,48383,-406,-3724,-217,653,-83,-879,48404,2654,-15002,2504,-7687,-110,-8314,48404,-1501,16399,1583,-3869,563,-9314,48383,-781,16274,2455,1574,-1392,6337,10,2
1763,48405,-12579,-1686,3488,-1204,-1550,5,48405,-406,-3724,-217,653,-172,-1020,48426,2654,-15002,2366,-8694,-694,-8687,48426,-2051,16399,1583,-3869,563,-9897,48405,-781,16274,2283,1574,-1796,6337,10,2
1764,48427,-11579,-1536,3488,-999,-1987,-163,48427,-296,-3598,-119,892,-239,-1144,48448,3191,-14990,1454,-9160,-1132,-9940,48448,-2757,16503,1676,-4062,614,-10524,48427,219,16533,1528,1815,-2099,7370,10,2
1765,48449,-11579,-1536,3553,-936,-1987,-163,48449,-282,-3598,-119,892,-239,-1144,48470,3346,-14947,1454,-9160,-1132,-9940,48470,-2757,16503,1676,-4062,614,-10524,48449,219,16533,1528,1830,-2099,7580,10,2
1766,48471,-11579,-1663,3553,-936,-2145,-289,48471,-282,-3598,-119,892,-239,-1260,48492,3346,-14947,737,-9160,-1132,-10880,48492,-3362,16503,1676,-4207,614,-10878,48471,219,16533,962,1830,-2099,7580,10,2
1767,48493,-10579,-1758,3652,-777,-2145,-433,48493,-5,-3566,18,1025,-224,-1396,48514,4138,-14871,199,-9017,-1087,-11291,48514,-3850,16581,2480,-4463,790,-11143,48493,1070,16069,962,1855,-1582,8527,10,2
