Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1237,47033,-31897,-4118,9484,-892,2388,494,47033,-1035,7934,-1399,177,-28,-149,47994,-10416,28426,14192,1180,127,-1008,47994,-1781,-31364,13664,-288,-369,-142,47033,-396,31401,7850,-1140,-831,-676,9,2
1238,47995,-31938,-4142,9484,-892,2338,444,47995,-1054,7934,-1420,177,-28,-154,48016,-10524,28411,14192,1171,127,-1008,48016,-1781,-31401,13642,-288,-438,-241,47995,-396,31392,7403,-1140,-831,-676,9,2
1239,48017,-31969,-4268,9695,-785,2270,350,48017,-1086,7929,-1432,168,25,-155,48038,-10535,28380,14286,982,220,-942,48038,-1765,-31428,13493,-264,-444,-341,48017,-399,31354,7068,-512,-225,-187,9,2
1240,48039,-31969,-4268,9695,-785,2270,350,48039,-1086,7929,-1432,168,25,-155,48060,-10535,28380,14286,982,239,-923,48060,-1765,-31428,13493,-264,-444,-341,48039,-399,31354,7068,-512,-225,-187,9,2
1241,48061,-32096,-4347,9695,-868,2243,273,48061,-1125,7929,-1432,155,25,-155,48082,-10535,28357,14286,812,239,-923,48082,-1765,-31475,13371,-264,-444,-416,48061,-441,31313,7068,-512,-392,-187,9,2
1242,48083,-32191,-4406,9733,-958,2242,221,48083,-1170,7935,-1435,140,15,-118,48104,-10495,28341,14352,650,374,-797,48104,-1707,-31510,13278,-291,-394,-462,48083,-472,31282,7475,-382,-518,56,9,2
1243,48105,-32191,-4406,9733,-958,2242,221,48105,-1170,7935,-1435,140,15,-113,48126,-10459,28341,14352,650,377,-792,48126,-1687,-31510,13278,-291,-332,-462,48105,-472,31282,7479,-382,-518,56,9,2
1244,48127,-32259,-4450,9733,-1008,2222,176,48127,-1197,7931,-1437,128,12,-113,48148,-10459,28341,14352,529,377,-792,48148,-1687,-31522,13210,-301,-332,-462,48127,-472,31282,7479,-382,-518,56,9,2
1245,48149,-32310,-4505,9731,-1063,2186,141,48149,-1217,7930,-1443,113,10,-79,48170,-10344,28385,14340,449,437,-674,48170,-1649,-31523,13179,-301,-238,-462,48149,-422,31303,7737,-294,-419,233,9,2
1246,48171,-32310,-4505,9731,-1063,2186,141,48171,-1217,7930,-1443,113,10,-78,48192,-10344,28385,14340,449,437,-674,48192,-1649,-31523,13179,-275,-238,-462,48171,-388,31303,7737,-294,-398,233,9,2
1247,48193,-32366,-4526,9731,-1134,2144,99,48193,-1232,7927,-1443,104,10,-78,48214,-10344,28385,14331,389,437,-674,48214,-1649,-31524,13166,-275,-238,-466,48193,-388,31303,7737,-294,-398,233,9,2
1248,48215,-32408,-4526,9746,-1188,2127,67,48215,-1245,7922,-1437,97,15,-52,48236,-10328,28384,14328,344,416,-636,48236,-1598,-31533,13156,-208,-110,-482,48215,-325,31303,7930,-201,-278,354,9,2
1249,48237,-32408,-4512,9746,-1188,2127,67,48237,-1245,7922,-1437,97,15,-52,48258,-10328,28384,14328,344,416,-636,48258,-1554,-31533,13156,-204,-90,-482,48237,-325,31303,7930,-201,-257,354,9,2
1250,48259,-32439,-4512,9746,-1226,2115,44,48259,-1254,7921,-1437,97,15,-52,48280,-10328,28376,14328,324,387,-636,48280,-1554,-31551,13156,-204,-90,-487,48259,-325,31303,7930,-201,-257,354,9,2
1251,48281,-32475,-4458,9775,-1252,2095,27,48281,-1254,7917,-1456,100,8,-32,48302,-10348,28370,14354,324,378,-618,48302,-1465,-31567,13157,-142,23,-490,48281,-273,31303,8075,-173,-172,452,9,2
1252,48303,-32475,-4454,9805,-1252,2095,27,48303,-1250,7917,-1456,100,8,-32,48324,-10348,28370,14354,339,378,-618,48324,-1459,-31567,13179,-142,23,-490,48303,-273,31311,8075,-173,-172,454,9,2
1253,48325,-32502,-4454,9805,-1252,2080,14,48325,-1250,7914,-1467,100,6,-32,48346,-10387,28365,14354,339,378,-618,48346,-1459,-31579,13179,-142,23,-490,48325,-273,31311,8075,-173,-172,454,9,2
1254,48347,-32516,-4378,9829,-1194,2025,-2,48347,-1247,7911,-1472,96,4,-23,48368,-10462,28363,14335,350,408,-587,48368,-1414,-31588,13156,-135,63,-442,48347,-210,31317,8170,-160,-97,505,9,2
1255,48369,-32516,-4356,9829,-1168,2025,-2,48369,-1247,7911,-1472,96,4,-23,48390,-10462,28363,14335,350,515,-537,48390,-1414,-31588,13156,-135,63,-442,48369,-204,31317,8170,-160,-97,505,9,2
1256,48391,-32516,-4356,9829,-1168,2020,-34,48391,-1247,7909,-1476,91,4,-23,48412,-10462,28363,14335,331,515,-537,48412,-1414,-31593,13139,-135,63,-442,48391,-204,31317,8170,-160,-97,505,9,2
1257,48413,-32508,-4309,9847,-1026,2016,-67,48413,-1239,7909,-1478,82,6,-18,48434,-10462,28364,14353,316,714,-476,48434,-1370,-31596,13126,-140,112,-383,48413,-153,31309,8241,-179,-41,526,9,2
1258,48435,-32502,-4309,9847,-1024,2016,-67,48435,-1239,7909,-1478,82,6,-18,48456,-10416,28364,14369,316,715,-466,48456,-1370,-31596,13126,-140,125,-378,48435,-153,31309,8241,-179,-41,526,9,2
1259,48457,-32502,-4309,9847,-1024,2016,-82,48457,-1239,7909,-1478,75,6,-18,48478,-10416,28364,14369,316,715,-466,48478,-1370,-31596,13122,-144,125,-378,48457,-153,31303,8241,-195,-41,526,9,2
1260,48479,-32498,-4295,9893,-869,2042,-93,48479,-1237,7915,-1467,70,24,-18,48500,-10392,28355,14394,351,864,-413,48500,-1337,-31589,13107,-157,172,-326,48479,-102,31299,8294,-218,17,528,9,2
1261,48501,-32498,-4295,9893,-866,2045,-93,48501,-1237,7915,-1466,70,26,-18,48522,-10392,28355,14394,351,865,-413,48522,-1335,-31583,13107,-157,172,-305,48501,-102,31299,8292,-218,17,528,9,2
1262,48523,-32498,-4295,9893,-866,2045,-93,48523,-1237,7915,-1466,70,26,-19,48544,-10392,28348,14394,351,865,-413,48544,-1335,-31583,13096,-162,172,-305,48523,-102,31299,8292,-237,17,528,9,2
1263,48545,-32495,-4287,9905,-731,2059,-74,48545,-1239,7919,-1455,70,47,-19,48566,-10404,28339,14429,319,983,-354,48566,-1297,-31571,13088,-166,240,-227,48545,-58,31312,8292,-254,69,516,9,2
1264,48567,-32495,-4287,9905,-731,2059,-72,48567,-1239,7919,-1455,70,50,-19,48588,-10404,28339,14433,319,991,-328,48588,-1268,-31571,13088,-166,245,-227,48567,-58,31312,8329,-254,93,516,9,2
1265,48589,-32507,-4287,9905,-731,2059,-72,48589,-1239,7919,-1455,70,50,-19,48610,-10417,28330,14433,295,991,-328,48610,-1263,-31571,13084,-166,245,-227,48589,-58,31312,8329,-262,93,499,9,2
1266,48611,-32516,-4281,9928,-633,2011,-56,48611,-1239,7922,-1447,76,72,-19,48632,-10426,28321,14462,222,1120,-238,48632,-1247,-31558,13077,-137,348,-118,48611,-25,31304,8356,-268,151,472,9,2
1267,48633,-32516,-4281,10000,-633,2011,-43,48633,-1239,7922,-1447,76,72,-18,48654,-10426,28321,14462,222,1122,-231,48654,-1247,-31558,13077,-137,350,-116,48633,-25,31304,8356,-268,165,472,9,2
