Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1271,52281,-30793,-4520,10307,-2413,438,193,52281,-1362,7952,-1102,152,-9,-57,53042,-10909,28597,12968,-1473,-666,-304,53042,-2483,-31516,13124,256,-55,126,52281,-579,31151,8885,-668,-257,-772,9,2
1272,53043,-31186,-4426,10296,-2546,400,88,53043,-1367,7956,-1102,171,-65,-9,53064,-10919,28537,13148,-1497,-808,-242,53064,-2552,-31499,13151,226,-55,118,53043,-614,31137,8927,-661,-312,-744,9,2
1273,53065,-31186,-4426,10296,-2546,400,88,53065,-1367,7958,-1101,171,-65,-9,53086,-10919,28537,13148,-1497,-808,-242,53086,-2552,-31499,13151,226,-15,118,53065,-614,31137,8927,-661,-325,-738,9,2
1274,53087,-31481,-4426,10244,-2546,400,10,53087,-1367,7958,-1101,171,-65,-9,53108,-10919,28537,13148,-1497,-808,-242,53108,-2607,-31499,13151,182,-15,118,53087,-674,31126,8923,-661,-312,-738,9,2
1275,53109,-31682,-4331,9811,-2053,696,-48,53109,-1345,7963,-1100,151,-12,-13,53130,-10547,28626,13219,-1157,-387,-274,53130,-2653,-31478,13153,149,29,156,53109,-685,31112,8920,-609,-193,-541,9,2
1276,53131,-31682,-4321,9811,-2053,705,-48,53131,-1345,7963,-1100,151,-12,-13,53152,-10547,28626,13219,-1139,-387,-274,53152,-2653,-31478,13153,149,29,156,53131,-685,31112,8920,-609,-184,-541,9,2
1277,53153,-31813,-4321,9514,-2053,705,-48,53153,-1345,7963,-1100,144,-12,-15,53174,-10547,28626,13219,-1139,-387,-311,53174,-2683,-31478,13153,114,29,125,53153,-685,31100,8920,-609,-184,-541,9,2
1278,53175,-31911,-4236,9305,-1913,967,-29,53175,-1331,7967,-1100,139,-6,-15,53196,-10394,28661,13328,-833,-347,-389,53196,-2683,-31466,13160,84,151,49,53175,-677,31091,8936,-583,-147,-451,9,2
1279,53197,-31911,-4204,9305,-1913,967,-25,53197,-1331,7968,-1100,139,-6,-15,53218,-10394,28661,13340,-833,-347,-389,53218,-2664,-31466,13212,84,159,49,53197,-677,31091,8942,-583,-147,-451,9,2
1280,53219,-32035,-4204,9148,-1913,967,-25,53219,-1331,7968,-1100,136,-14,-15,53240,-10397,28621,13340,-833,-347,-442,53240,-2664,-31466,13212,55,159,-36,53219,-743,31082,8942,-589,-147,-451,9,2
