Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label
1,19860,0,0,0,0,0,0,19860,0,0,0,0,0,0,19861,0,0,0,0,0,0,19861,0,0,0,0,0,0,19862,0,0,0,0,0,0,1,0
2,19884,0,-1000,0,0,0,0,19884,0,0,0,0,0,0,19885,-1000,0,0,0,0,0,19885,-1000,-1000,0,0,0,0,19884,0,0,-84,0,0,0,1,0
3,19908,1000,-1886,1000,-102,444,27,19908,-93,1000,-362,14,37,10,19909,-2000,1000,1000,53,279,75,19909,-2000,-2000,1000,-39,-429,47,19906,962,1000,-217,-70,31,99,1,0
4,19931,1000,-1886,1000,-102,444,27,19931,-93,1000,-362,14,37,10,19932,-2000,1000,1000,53,279,75,19932,-2000,-2000,1000,-39,-429,47,19926,962,1000,-217,-70,31,99,1,0
5,19954,1000,-2530,1000,-176,444,27,19954,-158,1000,-633,14,37,10,19955,-2714,1000,1000,53,279,75,19955,-2881,-3000,1000,-50,-504,47,19946,962,1000,-270,-121,31,99,1,0
6,19977,2000,-2979,2000,-221,777,29,19977,-207,2000,-836,27,64,12,19978,-3229,2000,2000,97,539,87,19978,-3542,-4000,2000,-58,-504,-32,19966,1695,2000,-310,-145,46,183,1,0
7,20000,2000,-2979,2000,-221,777,29,20000,-207,2000,-836,27,64,12,20001,-3229,2000,2000,97,539,87,20001,-3542,-4000,2000,-58,-224,-32,19986,1695,2000,-310,-145,46,202,1,0
8,20023,2000,-3316,2000,-246,777,29,20023,-239,2000,-984,27,64,9,20024,-3603,2000,2000,97,539,87,20024,-3960,-5000,2000,-58,-224,-101,20006,1695,2000,-344,-152,46,202,1,0
9,20046,3000,-3593,3000,-265,1043,18,20046,-312,7991,-1482,60,109,-8,20047,-3884,3000,3000,143,734,96,20047,-4273,-6000,3000,-58,47,-163,20048,2281,3000,-370,-160,61,289,1,0
10,20071,3000,-3593,3000,-265,1044,18,20071,-263,3000,-1108,44,73,4,20070,-3884,3000,3000,143,741,101,20070,-5103,-32384,7392,-154,723,-322,20070,2281,3000,-413,-166,61,289,1,0
11,20094,3000,-3800,3000,-290,1044,10,20094,-275,3000,-1187,44,73,2,20095,-4057,3000,3000,143,741,101,20070,-4273,-6000,3000,-58,47,-163,20092,2720,4000,-485,-170,102,338,1,0
12,20117,4000,-3948,4000,-316,1218,10,20117,-284,4000,-1260,52,76,1,20118,-4186,4000,4000,191,847,99,20095,-4498,-7000,3000,-58,47,-200,20112,2720,4000,-485,-170,102,338,1,0
13,20140,4000,-3948,4000,-316,1218,17,20140,-284,4000,-1260,52,76,1,20141,-4186,4000,4000,192,847,99,20118,-4681,-8000,4000,-74,201,-230,20132,2720,4000,-543,-170,102,338,1,0
14,20163,4000,-4031,4000,-329,1218,17,20163,-284,4000,-1315,52,76,1,20164,-4311,4000,4000,192,847,97,20141,-4681,-8000,4000,-74,201,-230,20152,3048,5000,-587,-174,133,372,1,0
15,20186,5000,-4093,5000,-362,1349,23,20186,-285,5000,-1359,67,72,1,20187,-4405,5000,5000,254,917,96,20164,-4818,-9000,4000,-86,201,-260,20172,3050,5000,-587,-174,133,372,1,0
16,20209,5000,-4093,5000,-362,1354,31,20209,-285,5000,-1359,67,72,1,20210,-4405,5000,5000,254,917,96,20187,-4921,-10000,4830,-96,301,-300,20192,3050,5000,-620,-177,133,372,1,0
17,20233,5000,-4149,5000,-387,1354,31,20209,-285,5000,-1359,67,72,1,20234,-4467,5000,5000,254,917,78,20210,-4921,-10000,4830,-96,301,-300,20235,3311,6000,-635,-179,170,398,1,0
18,20233,5000,-4149,5000,-387,1354,31,20233,-285,5000,-1379,67,72,0,20234,-4467,5000,5000,254,917,78,20234,-4944,-11000,4830,-116,301,-330,20257,3311,6000,-635,-181,170,398,1,0
19,20258,6000,-4191,6000,-437,1500,30,20258,-282,5753,-1401,76,74,-5,20259,-4484,6000,6000,290,945,32,20259,-4961,-12000,5446,-132,297,-352,20280,3509,7000,-646,-186,158,415,1,0
20,20282,6000,-4191,6000,-437,1500,30,20282,-282,5758,-1401,76,75,-5,20281,-4484,6000,6000,290,945,32,20281,-4961,-12000,5446,-132,297,-352,20303,3537,7000,-646,-186,158,415,1,0
21,20304,6000,-4221,6000,-508,1500,29,20304,-282,5758,-1413,76,75,-8,20305,-4487,6000,6000,290,945,-2,20305,-4974,-13000,5446,-143,294,-352,20326,3537,7000,-654,-190,119,408,1,0
22,20328,7000,-4243,7000,-604,1595,28,20328,-273,6322,-1423,75,78,-10,20327,-4489,7000,7000,325,929,-27,20327,-5004,-14000,5908,-145,146,-348,20349,3674,8000,-660,-208,90,372,1,0
23,20350,7000,-4243,7000,-604,1595,28,20350,-272,6322,-1423,75,78,-10,20351,-4489,7000,7000,325,929,-27,20351,-5004,-14000,5908,-145,146,-284,20372,3674,8000,-660,-208,90,372,1,0
24,20374,7000,-4243,7000,-676,1595,28,20374,-272,6322,-1430,75,78,-10,20373,-4496,7000,7000,325,917,-36,20373,-5004,-15000,5908,-145,-5,-284,20395,3674,8000,-660,-222,90,341,1,0
