Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,person_id,qw,qx,qy,qz,roll,pitch,yaw,bgx,bgy,bgz,acc_lin_x,acc_lin_y,acc_lin_z
1,294000,-32431,-3824,12248,2578,1704,576,294000,5674,32469,-2100,1132,2903,-302,294001,-2344,32112,7416,-38,3628,926,294001,-1583,-32672,8832,-91,-250,182,294002,-1576,31824,5376,-276,810,1224,1,0,IMU_label_0_hansol,0.9878723954922237,0.12733675177894765,0.08416672809593746,0.028450724990176045,0.2626903677162727,0.15972461075252636,0.07872880641028165,0.0,0.0,0.0,-32429.440288319696,-3826.514171390373,12238.65031412738
2,294043,32481,-4088,12240,1830,1662,388,294043,5080,32423,-2360,1460,3803,-332,294044,-2856,31936,7896,-360,3464,874,294044,-967,-32648,8808,-289,-416,490,294043,-1384,32080,5296,-56,650,906,1,0,IMU_label_0_hansol,-0.11386780573652228,0.7211146186201149,0.6600233293216918,0.17719208328880068,3.065278605563861,-0.4179222673941503,1.4985792057958542,0.0,0.0,0.0,32477.019849302673,-4088.683311081878,12248.936546906632
3,294086,32345,-4432,12096,1736,1954,540,294086,4752,32119,-2188,984,1863,-204,294087,-2544,32064,8000,-14,3250,744,294087,-1735,-32424,8648,-105,-774,328,294085,-928,31936,4744,68,516,758,1,0,IMU_label_0_hansol,-0.9916753900809226,-0.04320123032605071,-0.08921963419040171,0.0821792630844097,0.07231657654419121,0.185109660418444,-0.15864506890874153,0.0,0.0,0.0,32346.80495631314,-4432.696460303234,12086.386079885075
4,294128,32753,-4032,12064,1434,2090,406,294128,5396,32371,-2138,712,893,-46,294129,-2336,31896,7664,6,2996,612,294129,-1831,-32536,8696,-9,-54,172,294125,-1560,31776,4952,-196,98,842,1,0,IMU_label_0_hansol,0.04511148221249102,-0.6362080725017644,-0.757574121838298,-0.13887293680596569,2.983105296171364,-0.2475761639389428,1.7642721018254401,0.0,0.0,0.0,32750.596833836502,-4033.500540111613,12073.38847996145
5,294170,-32351,-4408,12392,650,1754,256,294170,5538,32381,-2168,1170,1457,-324,294171,-2064,32320,7832,-542,3488,386,294171,-1455,-32656,8544,61,-22,144,294165,-1528,32104,5168,-142,334,772,1,0,IMU_label_0_hansol,0.9427362170614426,0.008116692034269492,0.04018197068502991,-0.3310105037351066,-0.011335122470065281,0.08122470193751126,-0.6757993558478208,0.0,0.0,0.0,-32350.204333346075,-4407.889209277205,12382.226309590842
6,294212,-32719,-4184,12112,272,1594,444,294212,5638,32163,-2156,744,1717,-318,294213,-2320,31992,8080,74,1974,16,294213,-1487,-32560,8752,94,72,334,294205,-728,32040,4648,-366,1116,522,1,0,IMU_label_0_hansol,0.10416562449041332,0.47783964509613874,0.841197750852083,0.23066239444329673,2.6316662792106884,-0.045206891689816286,2.120190994412857,0.0,0.0,0.0,-32719.44317717759,-4188.781862823139,12120.550307956586
7,294254,-32599,-4120,11840,-430,1482,50,294254,5316,32045,-2448,1046,1057,-184,294255,-1688,31920,7632,10,1734,14,294255,-1287,-32408,8848,40,738,282,294245,-1384,32016,6512,-1116,724,252,1,0,IMU_label_0_hansol,-0.6736835470229835,-0.19182747695427899,0.07459857941807524,0.7097800712225528,0.37885643840704225,0.1726554995022168,-1.5897851716731994,0.0,0.0,0.0,-32597.315227637326,-4123.57314315071,11831.024222912025
8,294296,-32199,-3944,12024,-950,1072,118,294296,5782,32213,-1820,816,167,-182,294297,-1912,32048,7216,376,855,-646,294297,-1871,-32696,8392,160,410,466,294285,-360,31792,4336,-774,1744,116,1,0,IMU_label_0_hansol,-0.2868945850493302,-0.09111213331268585,-0.9484189104962752,-0.09945675666158736,2.854356471693838,0.553971695151319,2.867866396839512,0.0,0.0,0.0,-32193.84102480356,-3946.362740631972,12031.998300810239
9,294338,-31967,-3824,11880,-1492,272,150,294338,5996,32147,-2778,302,663,-676,294339,-1736,32176,7600,420,737,-1098,294339,-1927,-32440,9224,264,644,166,294325,-1688,32232,5080,-667,-23,-42,1,0,IMU_label_0_hansol,0.07088453706919765,0.19886809590728521,-0.0070851456253464866,-0.9774337131213369,0.04562833144566567,0.39819620912162795,-2.9875959731493555,0.0,0.0,0.0,-31963.197409599477,-3824.4123094807214,11870.970011552585
10,294380,-31791,-3856,11456,-1899,-363,-142,294380,5878,32079,-2348,502,253,-994,294381,-1680,31936,7264,398,33,-1588,294381,-1751,-32344,9168,248,940,220,294365,-632,32112,5088,-512,301,-180,1,0,IMU_label_0_hansol,0.12537371675781572,-0.2413625322563546,0.9571279215048619,-0.09965792013138773,-2.8826587781665003,0.19308756711346575,-2.6223295381332625,0.0,0.0,0.0,-31789.11820199094,-3853.5356693536337,11465.303563561398
11,294422,-31519,-3568,10768,-1527,-1810,44,294422,6640,32071,-2198,91,-543,-1472,294423,-1712,32392,7256,681,-1183,-2262,294423,-2047,-32440,8408,546,1198,226,294405,-1160,32088,4384,-762,47,-456,1,0,IMU_label_0_hansol,0.5824520103465091,-0.14926536564830772,0.013323168091908073,0.7989317864831653,-0.15842827846533689,0.25684043575455395,1.861192072065508,0.0,0.0,0.0,-31516.508856882723,-3566.5035913160805,10758.633818748154
12,294464,-32175,-3360,10536,-1965,-3376,84,294464,6708,32041,-1940,-230,1583,-1826,294465,-2504,31872,7304,871,-1287,-2356,294465,-1527,-32576,8392,1264,2312,282,294445,-1224,32000,5296,-951,-241,-862,1,0,IMU_label_0_hansol,-0.06580491703330336,0.3937326716324151,-0.9012334151296465,0.16859011725838208,-2.7778946260415878,-0.014148166340561335,-2.3204110203994617,0.0,0.0,0.0,-32175.138741486673,-3356.5118021924045,10545.164257257273
13,294507,-31879,-3584,9712,-1557,-3328,126,294507,5808,32063,-1428,-660,307,-1306,294508,-3256,31696,7384,353,-309,-2178,294508,-1543,-32368,9280,1448,2656,794,294486,-1544,31928,5440,-1214,1091,-746,1,0,IMU_label_0_hansol,-0.6564062333143524,0.16024661468915277,-0.04982139308672035,-0.735506429705158,-0.14425855171791252,0.3058784612638996,1.6620568933366768,0.0,0.0,0.0,-31876.046913906033,-3582.6556471119125,9702.745683058356
14,294549,-30911,-3688,8856,-1461,-4134,234,294549,5760,32253,-1576,-279,-217,-2038,294550,-3832,32008,7000,309,-1115,-3336,294550,-2311,-32656,8360,1342,3392,618,294526,-1920,32088,4608,-1198,1271,-486,1,0,IMU_label_0_hansol,0.030653016918056365,-0.4729578380123628,0.8528506971298072,-0.21912773540037012,-2.721671743589317,-0.15561881522533957,-2.1621426555823318,0.0,0.0,0.0,-30912.519947062712,-3684.050257435474,8864.846450068984
15,294591,-30975,-3752,7280,-2615,-6085,-52,294591,4550,32169,-884,-1427,-691,-3742,294592,-4800,31696,6512,1913,-1333,-6240,294592,-4287,-32040,9264,1642,1945,-460,294566,-3680,31584,5320,-1418,256,586,1,0,IMU_label_0_hansol,0.5954781756158306,-0.2272313684946995,0.06750946825617604,0.7676028395160067,-0.18595037191489602,0.4436596915909426,1.7799644092343097,0.0,0.0,0.0,-30970.7905178726,-3750.362468691511,7271.295453161979
16,294633,-32151,-3536,6208,-2855,-8066,230,294633,4196,32619,-44,-2963,-3331,-5538,294634,-5344,31768,4624,1707,-1933,-11024,294634,-5263,-31600,10336,2090,3161,-2910,294606,-5640,32144,4872,-2546,1722,3504,1,0,IMU_label_0_hansol,-0.02584275626792207,0.5238525134609716,-0.8102320888304505,0.2616001879176394,-2.6594683313753285,-0.2343415377918093,-2.051565902951535,0.0,0.0,0.0,-32153.27712934428,-3531.5773055944237,6216.451321811812
17,294675,-32327,-2080,6160,-2627,-9614,190,294675,3024,32212,1206,-5973,-4611,-8568,294676,-4368,31624,4296,1106,3681,-13220,294676,-3935,-31552,10864,3170,5853,-5956,294646,-1824,31776,4912,-2842,3024,5300,1,0,IMU_label_0_hansol,-0.6485959602212789,0.24891297105131252,-0.06212673075272707,-0.7165932476328702,-0.2630570853462931,0.4526264403773795,1.6094261551958295,0.0,0.0,0.0,-32322.711267544662,-2077.7067276124953,6151.484246368891
18,294717,29825,-2232,5544,-1463,-15870,90,294717,2818,31013,-1762,-2949,-1859,-10550,294718,-2112,29464,3144,3058,689,-16372,294718,1817,32648,8072,4076,11399,-7466,294686,-1912,31200,4944,-4630,3304,6226,1,0,IMU_label_0_hansol,-0.03903646783780906,-0.6527939957007205,0.7098179583207086,-0.26171476725866305,-2.7847726576377854,-0.40836491913628353,-1.7290909356808595,0.0,0.0,0.0,29821.10568877838,-2228.856241611145,5552.433356836052
19,294759,30281,-4096,4024,-2095,-13409,-102,294759,4416,30785,-832,-3799,-8037,-8012,294760,-8304,31960,4528,5184,3149,-10624,294760,-127,-32752,10320,4766,6055,-5628,294726,1864,30200,5232,-5380,5970,5792,1,0,IMU_label_0_hansol,0.5982532419863674,-0.26268208119210973,0.07928791452048149,0.7528642701605486,-0.2255622946159971,0.5125445550386463,1.7393296209143565,0.0,0.0,0.0,30285.80914595909,-4094.088539388772,4015.670004940075
20,294801,31025,-4944,5264,-1647,-11052,1252,294801,1548,-31590,116,-7025,-14139,-6940,294802,-9664,29928,10400,3542,14693,-11606,294802,2137,-32208,8040,3158,9767,-6050,294766,584,-32392,6320,-6036,3648,4908,1,0,IMU_label_0_hansol,-0.03905122571939303,0.6588457113623614,-0.6683368643459566,0.3431080968812179,-2.551400490332474,-0.41142066728018756,-1.711783537097146,0.0,0.0,0.0,31021.078204467616,-4938.997813726131,5271.467799977651
21,294843,30505,-2264,3400,-801,-10516,1608,294843,1882,-32710,380,-9249,-9863,-9368,294844,-8528,30216,4336,3568,14721,-10150,294844,649,30728,10792,4834,2153,-4152,294806,1736,29304,6128,-6294,4334,4738,1,0,IMU_label_0_hansol,-0.6613781249619629,0.2465695338063229,-0.092833636041139,-0.7022566175122253,-0.2235259502675858,0.4882787155038701,1.5748329288437553,0.0,0.0,0.0,30509.600362727306,-2262.080198010815,3391.5547997464814
22,294885,25321,-1936,4592,-1365,-18706,1040,294885,444,29234,3804,-9149,-1477,-12888,294886,-10560,27840,6688,6324,19891,-10810,294844,649,30728,10792,4834,2153,-4152,294887,-3744,29768,8392,-8172,896,7028,1,0,IMU_label_0_hansol,-0.03916831369303696,-0.6550781262190973,0.6954875020675272,-0.29263565438885203,-2.7347810609292376,-0.4532398698731398,-1.7256659117304856,0.0,0.0,0.0,25316.705858433827,-1932.511458139394,4600.09696289475
23,294928,22753,-4056,2384,-2175,-17818,104,294928,-5582,25358,1272,-10158,1395,-18176,294929,-11696,19664,576,11652,8131,-15366,294886,-127,-29352,13832,2468,2839,-6556,294928,-384,32264,10696,-8706,1936,8448,1,0,IMU_label_0_hansol,0.6124460041092122,-0.28534424288196863,0.08200511209959677,0.732641601804257,-0.2715637966471157,0.5451630741715154,1.6726951067269733,0.0,0.0,0.0,22758.085312228886,-4053.7507941287126,2375.9221873811166
24,294971,24665,-4648,1104,-1059,-9632,2248,294971,-5024,25274,7392,-7394,9241,-19728,294972,-12408,25008,1104,1991,-3135,-16876,294929,-591,-30240,13808,3089,-2059,-8918,294970,-2320,31992,10696,-6885,-438,10612,1,0,IMU_label_0_hansol,-0.11037924871470872,0.659842457889832,-0.6056858529192418,0.43077720435576955,-2.3067045099839745,-0.44979383017347424,-1.6874901137939193,0.0,0.0,0.0,24660.736265891315,-4641.454089109054,1109.928069355256
25,295013,28353,-4127,-912,-1777,-6216,2232,295013,-12422,31570,3016,-5636,5101,-20452,295014,-16352,18872,8888,8165,-7775,-22840,294972,2657,-28520,13632,1293,-1345,-9444,295010,4288,25912,12312,-5548,4764,10818,1,0,IMU_label_0_hansol,-0.5211749216174836,0.2321497332129472,-0.23576983463310416,-0.786699299302628,0.1636604692816867,0.6573468328907911,2.027317035471691,0.0,0.0,0.0,28358.99204668217,-4128.2648488642435,-919.659367998196
26,295055,31457,-5951,-88,715,-4202,1816,295055,-7252,28168,3068,-8094,5275,-21444,295056,-20008,28552,7576,973,-3701,-17748,295014,649,32488,15632,2665,-2553,-11828,295050,6288,-29528,10000,-5936,612,10198,1,0,IMU_label_0_hansol,0.047437776808726725,-0.8811200221715249,0.2551301299541334,-0.3953299642697023,-2.7458478301264786,-0.737528435656246,-0.7183396084905231,0.0,0.0,0.0,31450.40541345835,-5948.201987017628,-81.30276654747368
27,295097,30153,-3087,-88,-1459,-2518,3520,295097,-12160,27200,6200,-5608,8907,-22926,295098,-15384,21336,5512,9096,483,-23904,295056,4169,-27864,14600,-706,2803,-11600,295090,-2216,24664,8864,-3650,346,7984,1,0,IMU_label_0_hansol,0.16486834993518087,-0.05575515320943261,0.7846223195468727,0.5950442048697966,1.824633685349268,0.3310882172386412,3.0263800372404055,0.0,0.0,0.0,30156.18787062295,-3095.976864314263,-85.67110064684061
