Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,qw,qx,qy,qz,roll,pitch,yaw,bgx,bgy,bgz,acc_lin_x,acc_lin_y,acc_lin_z
1,15460,-30455,-4520,6272,336,4386,596,15460,-4191,-32067,-3574,1303,-268,526,15461,-14392,28968,6584,2444,1900,2494,15461,-2655,-32448,9952,-1863,-6422,1072,15462,-2920,32192,7512,-1656,380,540,1,1,0.9762428548040417,0.016400879960707902,0.21409005805852635,0.02909203707316044,0.04895783190671565,0.43020101407231426,0.07028073429538789,0.0,0.0,0.0,-30450.91010220682,-4520.43619111861,6263.097592596837
2,15503,-32463,-2968,6856,72,3802,814,15503,-1901,-32439,-3800,919,-4191,-318,15504,-10792,29728,6080,-1498,1582,1026,15504,-1319,-32168,9216,-1795,-866,28,15503,-1720,31472,7488,-419,-652,1164,1,1,-0.19053631040667612,0.03485526876312916,0.9567403450965082,0.21709200059116712,2.6919144577036054,-0.38949485213359547,-3.1242607765964716,0.0,0.0,0.0,-32466.72379242347,-2971.943439923697,6864.1702531036435
3,15546,-31759,-2792,8080,1024,2458,876,15546,-3905,-32229,-3626,669,-375,-564,15547,-9912,31256,6032,-394,2572,1526,15547,1929,-32632,7960,-1433,-2288,470,15545,312,31928,5080,-1016,1448,1112,1,1,-0.9257172107742614,0.04023920366382725,-0.0644915420833922,-0.3704987087218102,-0.027017918750757056,0.14977838965568246,0.759379979793331,0.0,0.0,0.0,-31757.53666142592,-2791.738042993843,8070.30668256132
4,15590,-32351,-4632,7848,1236,2852,566,15590,-4019,-32347,-3668,1675,-2000,472,15589,-10944,30672,5176,1404,3740,2020,15589,193,-32496,7768,-1081,-3072,1220,15585,-944,31624,6120,-1710,450,866,1,1,0.07950785516597728,-0.0379633778936003,-0.9893391190741885,-0.11595425984120845,2.9130612860265273,-0.1668982408414526,3.0840835372055935,0.0,0.0,0.0,-32352.629124764655,-4634.190799697238,7857.418956067966
5,15632,-32295,-5784,6984,786,3364,568,15632,-2459,-32503,-2900,1320,172,788,15631,-10656,30160,7224,-1196,4266,1016,15631,-663,-32376,8776,-885,-810,984,15625,-568,32032,7448,-1892,2012,1568,1,1,0.9798347979404668,-0.032314168742886576,0.028252974714826358,0.1951443892690343,-0.052443568260722134,0.06803081746332112,0.3913914518498951,0.0,0.0,0.0,-32294.333360084653,-5783.487129121372,6974.229486251603
6,15675,-31815,-5032,7008,-578,2404,512,15675,-3303,-32571,-3150,1074,740,148,15674,-9560,30728,5688,-1002,4486,1374,15674,-1887,-32520,8664,-1453,-794,904,15665,-96,32016,6744,-1818,1304,1140,1,1,-0.035033701569548215,-0.4053266228144537,0.8951919392287039,0.18197351601845224,2.7781619986427395,0.0848955875834155,-2.306870878534941,0.0,0.0,0.0,-31814.168458382766,-5035.473541253551,7017.133095527869
7,15717,-31951,-3992,7168,-1050,2656,210,15717,-3403,-32165,-3956,1785,-263,-566,15718,-8016,31064,4848,-712,2634,188,15718,25,-32552,8896,-1745,-304,958,15705,1304,31536,6088,-2008,2666,1120,1,1,-0.9928345054465343,-0.10437321101414324,-0.038207973075384476,-0.043886540200879655,0.2126740254838144,0.0667568021034978,0.095477258583111,0.0,0.0,0.0,-31950.345825544267,-3994.0653224837515,7158.435645184223
8,15759,-31639,-3848,7032,-1350,1597,-452,15759,-3671,-32199,-3492,1963,-1439,-348,15760,-10160,31304,4768,265,-550,602,15760,-1111,-32504,8488,-2007,-962,1266,15745,616,31568,6928,-3052,1164,254,1,1,-0.09291619794909045,0.6617147388667897,-0.7364476452898526,0.1055701201674658,-2.8593993109232607,-0.0028587825136774003,-1.6780023707120648,0.0,0.0,0.0,-31639.028035041352,-3845.2692229014174,7041.4187289321235
9,15803,-32415,-4672,7408,-2064,1565,-514,15803,-2511,-32235,-3726,2494,17,-356,15802,-12224,29624,6264,-831,-373,-414,15802,681,32688,8184,-1970,314,1354,15785,-1744,30424,7744,-3162,1240,338,1,1,0.9699756914289905,0.1783324033136472,-0.03664296642794428,-0.16125137201460055,0.36591793545522194,-0.01357330075046072,-0.3319837499008882,0.0,0.0,0.0,-32415.133104522643,-4675.508560961233,7398.843435830517
10,15845,-32575,-4704,7832,-1732,2163,-280,15845,-2727,32653,-2498,3544,2919,-352,15844,-10944,30864,7008,-1780,1920,368,15844,-1407,32496,8904,-1089,-198,1246,15825,-2632,-32528,6024,-2646,2208,1912,1,1,0.15787368438631882,-0.4675874520630992,0.8696460141310203,0.012396957588742312,-3.0096290725010864,0.29023955013728314,-2.135615324555378,0.0,0.0,0.0,-32572.193515600637,-4702.763601318224,7841.31479188379
